pga_g,annual_rate,annual_prob,prob_50yr,return_period_yr
0.001,2.1944197292842387,2.1944197292842387,1.0,0.45570133491561954
0.0011513953993264468,2.082527835994954,2.082527835994954,1.0,0.4801856583694774
0.0013257113655901094,1.9701814217344824,1.9701814217344824,1.0,0.5075674701671042
0.0015264179671752333,1.8576817109031294,1.8576817109031294,1.0,0.5383053480748543
0.0017575106248547913,1.7453946815730517,1.7453946815730517,1.0,0.5729363166723652
0.0020235896477251575,1.6337169593789413,1.6337169593789413,1.0,0.6121011318754692
0.002329951810515372,1.5230574420703922,1.5230574420703922,1.0,0.6565740545153925
0.0026826957952797246,1.4138323791599858,1.4138323791599858,1.0,0.7072974241784871
0.0030888435964774815,1.306469031488327,1.306469031488327,1.0,0.7654218935911569
0.0035564803062231283,1.2014117928751376,1.2014117928751376,1.0,0.8323540737076233
0.004094915062380427,1.099125425707068,1.099125425707068,1.0,0.9098142728858261
0.004714866363457394,1.0000923745426682,1.0000923745426682,1.0,0.9999076339895998
0.005428675439323859,0.9048036942899986,0.9048036942899986,1.0,1.1052121098872194
0.006250551925273976,0.8137447135338045,0.8137447135338045,1.0,1.2288866316038538
0.0071968567300115215,0.7273767345523654,0.7273767345523654,0.9999999999999999,1.3748033893542244
0.008286427728546842,0.6461154857988335,0.6461154857988335,0.9999999999999907,1.5477109309083292
0.009540954763499945,0.5703068677498464,0.5703068677498464,0.999999999999587,1.7534419740472595
0.010985411419875584,0.5002015944906948,0.5002015944906948,0.9999999999862513,1.9991939470288973
0.012648552168552958,0.4359324268534699,0.4359324268534699,0.9999999996581406,2.293933505286429
0.014563484775012436,0.3774995865586192,0.3774995865586192,0.9999999936510686,2.6490095237355105
0.016768329368110083,0.32477008629447907,0.32477008629447907,0.9999999113441942,3.0791013156712626
0.019306977288832496,0.2774942366832594,0.2774942366832594,0.9999990574829561,3.6036784473525167
0.022229964825261943,0.2353379669829823,0.2353379669829823,0.9999922428716415,4.249208118944581
0.025595479226995357,0.19792454600336706,0.19792454600336706,0.999949635666405,5.052430434691956
0.029470517025518096,0.1648759811503994,0.1648759811503994,0.9997371163600974,6.065164816746734
0.03393221771895328,0.13584433298271528,0.13584433298271528,0.9988775221251414,7.361367073937778
0.03906939937054617,0.11052652942731031,0.11052652942731031,0.9960194149434881,9.047601559385498
0.044984326689694466,0.08866166427314219,0.08866166427314219,0.9881221886718444,11.278831817540388
0.0517947467923121,0.07001509419627316,0.07001509419627316,0.9698253982414432,14.282634501593359
0.05963623316594643,0.05435697838128457,0.05435697838128457,0.9339833911297053,18.396901920955674
0.06866488450043001,0.04144329952246768,0.04144329952246768,0.8740871119887071,24.129352911629763
0.07906043210907697,0.031005176354990453,0.031005176354990453,0.7878069526079088,32.25267898981147
0.09102981779915217,0.02274865648178437,0.02274865648178437,0.6793588917262938,43.95863996630897
0.10481131341546852,0.0163636548501394,0.0163636548501394,0.5587672400827424,61.11104207208825
0.1206792640639329,0.01153839903930836,0.01153839903930836,0.43837446104956734,86.66713610729332
0.13894954943731375,0.007975077301685486,0.007975077301685486,0.3288441240800436,125.39063411819919
0.15998587196060574,0.005403110618969551,0.005403110618969551,0.23673922556740035,185.0785724225491
0.18420699693267165,0.003587953522226103,0.003587953522226103,0.16422653384091623,278.7104107690787
0.21209508879201905,0.0023348969733794052,0.0023348969733794052,0.11018779903104836,428.28442171161555
0.244205309454865,0.0014885310293656134,0.0014885310293656134,0.07172434796116045,671.8032612502428
0.28117686979742307,0.0009291435316300171,0.0009291435316300171,0.04539456083709359,1076.2599813246052
0.32374575428176433,0.0005674386833656483,0.0005674386833656483,0.027973230407859706,1762.304949089303
0.3727593720314938,0.0003387346940888368,0.0003387346940888368,0.01679411452174917,2952.162909352708
0.42919342601287785,0.00019743695272828773,0.00019743695272828773,0.009823280894413977,5064.907993065501
0.49417133613238334,0.00011222668474728537,0.00011222668474728537,0.005595620107553212,8910.536760947924
0.5689866029018293,6.212984586378295e-05,6.212984586378295e-05,0.003101672138554945,16095.324012109375
0.655128556859551,3.345517259933183e-05,3.345517259933183e-05,0.0016713603490203788,29890.744010687664
0.7543120063354615,1.7498802163793412e-05,1.7498802163793412e-05,0.0008745574596995542,57146.76871249448
0.868511373751352,8.879163059017963e-06,8.879163059017963e-06,0.000443859618112441,112623.22736424668
1.0,4.3652957148864884e-06,4.3652957148864884e-06,0.0002182409677189412,229079.55504361592
