pga_g,annual_rate,annual_prob,prob_50yr,return_period_yr
0.001,0.1674197971753392,0.1674197971753392,0.9997685136984519,5.973009266954835
0.0011513953993264468,0.14875882363003737,0.14875882363003737,0.9994115044432983,6.722290319309033
0.0013257113655901094,0.13167308364023106,0.13167308364023106,0.9986172129043605,7.594566576205424
0.0015264179671752333,0.11598371325392878,0.11598371325392878,0.9969699787997296,8.621900195682228
0.0017575106248547913,0.10160005553603339,0.10160005553603339,0.9937801082554872,9.842514304978316
0.0020235896477251575,0.08847171725024995,0.08847171725024995,0.9880088435395438,11.303047245838046
0.0023299518105153716,0.07656175068277425,0.07656175068277425,0.9782488257443379,13.061352321257612
0.0026826957952797246,0.06583261104904119,0.06583261104904119,0.9628068454627429,15.19004007383305
0.0030888435964774815,0.0562395737189531,0.0562395737189531,0.9399140166005123,17.781073608369002
0.0035564803062231283,0.047728462276469964,0.047728462276469964,0.9080419803130312,20.951858750601275
0.004094915062380427,0.04023587815500537,0.04023587815500537,0.8662514731871799,24.853440408274007
0.004714866363457394,0.033690859999717604,0.033690859999717604,0.8144708005681133,29.681640658872524
0.005428675439323859,0.02801727239579925,0.02801727239579925,0.7536159101422315,35.69226817917986
0.006250551925273976,0.023136413010075355,0.023136413010075355,0.6855155509052575,43.22191169238394
0.0071968567300115215,0.018969453846252465,0.018969453846252465,0.6126678527082704,52.71633058626811
0.008286427728546842,0.015439456828796893,0.015439456828796893,0.5378994826020187,64.76911792226075
0.009540954763499945,0.012472840019077705,0.012472840019077705,0.46401119319393247,80.17420238457802
0.010985411419875584,0.010000301785480635,0.010000301785480635,0.3934784923256507,99.99698223626538
0.012648552168552958,0.00795730901913843,0.00795730901913843,0.32824759477492516,125.6706252823488
0.014563484775012436,0.00628430230076026,0.00628430230076026,0.2696381005681048,159.1266543430004
0.016768329368110083,0.004926763728870984,0.004926763728870984,0.21834216586169253,202.97299708934077
0.019306977288832496,0.003835247241798247,0.003835247241798247,0.17449698400378977,260.73938313586433
0.022229964825261943,0.002965411110993712,0.002965411110993712,0.1378021890200597,337.22137085569193
0.025595479226995357,0.0022780407227154954,0.0022780407227154954,0.10765463079874438,438.97371545139407
0.029470517025518096,0.0017390206149969286,0.0017390206149969286,0.08327801427773363,575.0363114595776
0.03393221771895328,0.001319210759968508,0.001319210759968508,0.06383219338183621,758.0289900181468
0.03906939937054617,0.0009941975945062737,0.0009941975945062737,0.04849456452110579,1005.8362698982468
0.04498432668969446,0.0007439157057931852,0.0007439157057931852,0.03651251979369008,1344.2383219127898
0.0517947467923121,0.0005521618596279461,0.0005521618596279461,0.027230472688135055,1811.063155781555
0.05963623316594643,0.00040604215206664233,0.00040604215206664233,0.020097407438852577,2462.798492497088
0.06866488450043001,0.00029540169742959665,0.00029540169742959665,0.014661542219756685,3385.2208998844053
0.07906043210907697,0.00021228389767206706,0.00021228389767206706,0.010558063090558623,4710.672881768851
0.09102981779915217,0.00015045512059014046,0.00015045512059014046,0.007494530921581699,6646.500272490768
0.10481131341546852,0.00010501449238433633,0.00010501449238433633,0.005236963660240401,9522.49520323499
0.1206792640639329,7.209201919450029e-05,7.209201919450029e-05,0.003598112184508784,13871.16092978413
0.13894954943731375,4.862523160964895e-05,4.862523160964895e-05,0.002428308457802175,20565.454742257
0.15998587196060574,3.219716262425795e-05,3.219716262425795e-05,0.0016085630046948074,31058.637423118184
0.18420699693267165,2.091689193822344e-05,2.091689193822344e-05,0.0010452978920567624,47808.25004754192
0.21209508879201905,1.3326678044577259e-05,1.3326678044577259e-05,0.0006661119510947833,75037.45469463852
0.24420530945486496,8.32465486995704e-06,8.32465486995704e-06,0.00041614613066687234,120125.10015387108
0.28117686979742307,5.097126868084689e-06,5.097126868084689e-06,0.00025482387028508136,196188.95622579684
0.32374575428176433,3.0583153605807934e-06,3.0583153605807934e-06,0.00015290407700896402,326977.39837074676
0.3727593720314938,1.7975288381742914e-06,1.7975288381742914e-06,8.987240314228817e-05,556319.3083542832
0.4291934260128778,1.0343728044363908e-06,1.0343728044363908e-06,5.17173028360407e-05,966769.4236652714
0.4941713361323833,5.823351865569318e-07,5.823351865569318e-07,2.9116335439116625e-05,1717224.0714364517
0.5689866029018293,3.2045152291844466e-07,3.2045152291844466e-07,1.602244778509121e-05,3120596.8094415995
0.655128556859551,1.7217141638987345e-07,1.7217141638987345e-07,8.608533765830373e-06,5808165.030922152
0.7543120063354615,9.020214849996228e-08,9.020214849996228e-08,4.510097254439849e-06,11086210.435446758
0.868511373751352,4.601812656776928e-08,4.601812656776928e-08,2.3009036813625983e-06,21730567.378212042
1.0,2.2828084662875833e-08,2.2828084662875833e-08,1.1414035817614021e-06,43805689.998436436
