pga_g,annual_rate,annual_prob,prob_50yr,return_period_yr
0.001,0.017790305590822373,0.017790305590822373,0.5891451457523523,56.21038912990218
0.0011513953993264468,0.014483643696283278,0.014483643696283278,0.5152791810497258,69.04339964235761
0.0013257113655901094,0.011906892492071339,0.011906892492071339,0.4486274834130648,83.98496926598509
0.0015264179671752333,0.009824971073427707,0.009824971073427707,0.3881380254404623,101.78147014646864
0.0017575106248547913,0.00810479844975151,0.00810479844975151,0.3331831926821507,123.38369747253364
0.0020235896477251575,0.006666999415922839,0.006666999415922839,0.28348061059007246,149.99251351540445
0.0023299518105153716,0.005459990779840269,0.005459990779840269,0.23890686150113127,183.15049243164742
0.0026826957952797246,0.0044468023681467385,0.0044468023681467385,0.19935699540356422,224.88069340863527
0.0030888435964774815,0.003598627870916538,0.003598627870916538,0.16467248169545778,277.88369230445295
0.0035564803062231283,0.002891711722087259,0.002891711722087259,0.13461915534171742,345.8159374469709
0.004094915062380427,0.0023058080206441837,0.0023058080206441837,0.10889267215939025,433.6874497125852
0.004714866363457394,0.0018233597245896674,0.0018233597245896674,0.0871356506217672,548.438131277163
0.005428675439323859,0.0014290113993094778,0.0014290113993094778,0.0689577020896095,699.7844807138814
0.006250551925273976,0.0011092867653854197,0.0011092867653854197,0.05395423930195398,901.4801503131175
0.0071968567300115215,0.0008523569459825526,0.0008523569459825526,0.04172247155212916,1173.217399955898
0.008286427728546842,0.0006478639379099021,0.0006478639379099021,0.031874156844555857,1543.5339760168424
0.009540954763499945,0.0004867792726420313,0.0004867792726420313,0.024045159512746217,2054.3191877756512
0.010985411419875584,0.00036128462827907267,0.00036128462827907267,0.017902051207542846,2767.9007677779045
0.012648552168552958,0.0002646650899256868,0.0002646650899256868,0.013146079942035538,3778.3600409135256
0.014563484775012436,0.0001912088160116032,0.0001912088160116032,0.009514885079610291,5229.884379072336
0.016768329368110083,0.00013610952000716058,0.00013610952000716058,0.006782371191347947,7347.024660342576
0.019306977288832496,9.537037288537486e-05,9.537037288537486e-05,0.004757167309423216,10485.436616693265
0.022229964825261943,6.570953026027334e-05,6.570953026027334e-05,0.003280085240970343,15218.492599764935
0.025595479226995357,4.446842638399846e-05,4.446842638399846e-05,0.0022209513489525046,22487.865690696908
0.029470517025518096,2.9524316720964187e-05,2.9524316720964187e-05,0.0014751267654179445,33870.38587382227
0.03393221771895328,1.9208452598210076e-05,1.9208452598210076e-05,0.0009599615717118537,52060.41428309453
0.03906939937054617,1.223093563209596e-05,1.223093563209596e-05,0.0006113598249846142,81759.89393451126
0.04498432668969446,7.6129031322493e-06,7.6129031322493e-06,0.0003805727204360121,131355.93381766058
0.0517947467923121,4.626351193430698e-06,4.626351193430698e-06,0.00023129080782757772,216153.0671125821
0.05963623316594643,2.741648996717791e-06,2.741648996717791e-06,0.00013707305446619689,364743.99210007046
0.06866488450043001,1.5826199115415827e-06,1.5826199115415827e-06,7.912786480246403e-05,631863.6538737402
0.07906043210907697,8.889227038587625e-07,8.889227038587625e-07,4.4445147478144875e-05,1124957.204556771
0.09102981779915217,4.853261192309062e-07,4.853261192309062e-07,2.426601153715513e-05,2060470.1877259251
0.10481131341546852,2.5732193766596956e-07,2.5732193766596956e-07,1.2866014115431312e-05,3886182.45716035
0.1206792640639329,1.323786325070154e-07,1.323786325070154e-07,6.618909720312871e-06,7554089.214110933
0.13894954943731375,6.602605692887261e-08,6.602605692887261e-08,3.3012973971180415e-06,15145535.664461417
0.15998587196060574,3.1905211514503275e-08,3.1905211514503275e-08,1.5952593033219387e-06,31342841.89106304
0.18420699693267165,1.4927334739682376e-08,1.4927334739682376e-08,7.46366458415082e-07,66991195.510718346
0.21209508879201905,6.758258665338555e-09,6.758258665338555e-09,3.3791287623596844e-07,147967109.50540468
0.24420530945486496,2.9594234702594188e-09,2.9594234702594188e-09,1.479711625451685e-07,337903652.5355195
0.28117686979742307,1.2528978232382914e-09,1.2528978232382914e-09,6.264488916496447e-08,798149682.641605
0.32374575428176433,5.126296468083628e-10,5.126296468083628e-10,2.5631482047927534e-08,1950726038.2344444
0.3727593720314938,2.0264678866989772e-10,2.0264678866989772e-10,1.0132339411939029e-08,4934694532.11496
0.4291934260128778,7.737769309211805e-11,7.737769309211805e-11,3.86888465708779e-09,12923621266.525757
0.4941713361323833,2.8532942966229576e-11,2.8532942966229576e-11,1.42664713376206e-09,35047208455.97873
0.5689866029018293,1.0159416706433198e-11,1.0159416706433198e-11,5.079708875754818e-10,98430847842.55132
0.655128556859551,3.492537300721673e-12,3.492537300721673e-12,1.746268685209884e-10,286324787366.8714
0.7543120063354615,1.159163712759176e-12,1.159163712759176e-12,5.7958193799834135e-11,862690911553.5406
0.868511373751352,3.7143738469316766e-13,3.7143738469316766e-13,1.857192177823208e-11,2692243810692.5273
1.0,1.1492011488727843e-13,1.1492011488727843e-13,5.74607028624996e-12,8701696835065.549
