pga_g,annual_rate,return_period_yr,prob_50yr
0.001,8.534025034083664,0.11717800170565992,1.0
0.0011463626662674231,8.506805623141531,0.11755293870588097,1.0
0.0013141473626117567,8.463011642875921,0.118161245925,1.0
0.0015064894744719155,8.395386800830442,0.11911303478013467,1.0
0.0017269832906594343,8.29513732985581,0.12055255509764808,1.0
0.001979749169679639,8.15241651077593,0.12266301638025877,1.0
0.0022695105366946685,7.957212863110202,0.1256721439030518,1.0
0.0026016821499673134,7.70060276672046,0.12985996425132845,1.0
0.002982471286216891,7.376216502439967,0.1355708579959945,1.0
0.0034189937357336263,6.981664617594155,0.1432323170436959,1.0
0.003919406774847221,6.5196175523494535,0.15338323022331782,1.0
0.004493061600600462,5.998255702419653,0.16671513346731906,1.0
0.005150678076168122,5.430916585347851,0.1841309812597591,1.0
0.005904545052481256,4.834937275898051,0.20682791584183643,1.0
0.006768750009458534,4.229875461787866,0.23641357979303818,1.0
0.007759442308140531,3.6354347708133354,0.27507026340518703,1.0
0.008895134973108237,3.069476107968765,0.32578849446127567,1.0
0.01019705064458096,2.5464529802845153,0.3927031081046193,1.0
0.011689518164985783,2.076485166564157,0.48158302120435736,1.0
0.013400427210994584,1.665125396348902,0.6005553709004058,1.0
0.015361749466718281,1.3137272767751815,0.7611929946790092,1.0
0.017610136077199343,1.0202264986838292,0.9801745017308187,1.0
0.02018760254679039,0.7801157075752588,1.2818611268681943,1.0
0.023142313881085664,0.5874182966528735,1.7023644065873145,0.9999999999998245
0.02652948464431896,0.4355256072166638,2.2960762431186357,0.9999999996511155
0.030412410751562157,0.3178303786518983,3.146332343187508,0.9999998745701166
0.03486365227678086,0.2281472891603005,4.3831333858075405,0.9999888866609845
0.039966389379830825,0.16094928477629786,6.213137271096868,0.9996800878844557
0.04581597669054491,0.11146535174130345,8.971397697832323,0.9962019503236321
0.0525217251966192,0.0756863732647072,13.212417993693235,0.9772756595680268
0.06020894493336132,0.05031756418954391,19.873776008573206,0.9192080711954395
0.06902128664695653,0.03270471869726138,30.57662746641321,0.8050936193362345
0.07912342618981323,0.020751099702027844,48.1902171142418,0.6456800587229361
0.090704141811168,0.012834082822355252,77.9175274027478,0.4736053914384303
0.103979841848149,0.007725911987418789,129.43455758083232,0.320430384363549
0.11919860873910919,0.004520526025947345,221.21319383189143,0.20230287907942124
0.13664483492953258,0.0025674829572394876,389.486519153055,0.12047575453984238
0.1566445373014909,0.0014137322687333234,707.3475099326838,0.06824615448641291
0.17957144943716408,0.000753821357414306,1326.5742475513232,0.03698960020514053
0.2058540055622932,0.0003888229274793905,2571.8647984126524,0.019253386015380625
0.23598334667821938,0.00019381942693117593,5159.441526752083,0.009644165204758415
0.2705224984927535,9.328730394210249e-05,10719.572307724067,0.004653503939278658
0.3101168926574778,4.331928127968852e-05,23084.4088465724,0.002163620056471971
0.3555064279213946,1.9393692635423533e-05,51563.15606309295,0.0009692146395556822
0.4075392965871778,8.365236653778312e-06,119542.34427406566,0.0004181743734026355
0.46718783464442726,3.4744046686078195e-06,287819.092875182,0.0001737051449444138
0.5355666917706902,1.3887959755429901e-06,720048.1695009384,6.943738789011444e-05
0.6139536607422716,5.340067419970658e-07,1872635.5331399445,2.6699980649080857e-05
0.7038135554931554,1.9743320489023993e-07,5065004.139278067,9.871611519884915e-06
0.8068255840302895,7.016041111908108e-08,14253052.170728179,3.508014402853199e-06
0.9249147277217336,2.3955886325848277e-08,41743393.936587736,1.1977935989726518e-06
1.0602877133410942,7.856785323483305e-09,127278518.99059527,3.9283918906729554e-07
1.2154742500762872,2.4743859452290126e-09,404140672.5285318,1.2371928959087342e-07
1.3933743020968492,7.481157733588914e-10,1336691506.3295596,3.740578802258199e-08
1.597312280060254,2.1709430594784741e-10,4606293083.708193,1.0854715237762491e-08
1.8310991642315715,6.045251098735018e-11,16541910065.725016,3.0226255942622515e-09
2.0991037201085545,1.6150411237038998e-11,61917927990.99889,8.075206059388051e-10
2.4063341373555094,4.138837679682634e-12,241613727667.7833,2.0694190805414792e-10
2.7585316176291843,1.0172760114850056e-12,983017380445.4641,5.0863868672479384e-11
3.1622776601683795,2.3976294532012256e-13,4170786268348.6694,1.198818821990244e-11
