pga_g,annual_rate,return_period_yr,prob_50yr
0.001,8.56966986765262,0.116690609491812,1.0
0.0011463626662674231,8.569415134936065,0.11669407821347902,1.0
0.0013141473626117567,8.56885698976534,0.116701679254818,1.0
0.0015064894744719155,8.567685007180545,0.11671764299946878,1.0
0.0017269832906594343,8.56532640701937,0.11674978307662509,1.0
0.001979749169679639,8.560776532179629,0.11681183316034925,1.0
0.0022695105366946685,8.552362286574118,0.11692675853662618,1.0
0.0026016821499673134,8.537442353369121,0.11713109835586429,1.0
0.002982471286216891,8.512071938964821,0.11748021012632713,1.0
0.0034189937357336263,8.470693026829837,0.11805409508202315,1.0
0.003919406774847221,8.405946964243668,0.11896339630189134,1.0
0.004493061600600462,8.308731791726748,0.12035531114336002,1.0
0.005150678076168122,8.168625335464075,0.12241961883825195,1.0
0.005904545052481256,7.974751993942382,0.1253957490790434,1.0
0.006768750009458534,7.717081872046342,0.1295826604642241,1.0
0.007759442308140531,7.388028348659432,0.13535410975804543,1.0
0.008895134973108237,6.984086130493018,0.14318265572841787,1.0
0.01019705064458096,6.50716978383955,0.15367664179955526,1.0
0.011689518164985783,5.965312241681804,0.16763581845936523,1.0
0.013400427210994584,5.372481581191027,0.18613372328738811,1.0
0.015361749466718281,4.747456302553508,0.21063911624887022,1.0
0.017610136077199343,4.111915633105901,0.24319565118233188,1.0
0.02018760254679039,3.488086570055956,0.28669013223027834,1.0
0.023142313881085664,2.896385898713544,0.34525786099295647,1.0
0.02652948464431896,2.3534758417526835,0.42490344802319224,1.0
0.030412410751562157,1.871028629394526,0.534465365355529,1.0
0.03486365227678086,1.4553132404866813,0.6871372926323291,1.0
0.039966389379830825,1.107535292479481,0.9029057645298709,1.0
0.04581597669054491,0.8247280258534453,1.2125209386029774,1.0
0.0525217251966192,0.6009336642578905,1.6640771843510007,0.9999999999999107
0.06020894493336132,0.4284275944297907,2.3341166932324584,0.9999999995024772
0.06902128664695653,0.29880012671375544,3.346718794928692,0.9999996751837944
0.07912342618981323,0.20379205398897823,4.906962663294435,0.9999624411942322
0.090704141811168,0.13585512364813565,7.360782377188783,0.9988781275759557
0.103979841848149,0.0884619248361923,11.304298452150247,0.9880029709835441
0.11919860873910919,0.056217936830320156,17.787917102298703,0.9398489777393301
0.13664483492953258,0.034835871411354594,28.70604234903837,0.8247941254609114
0.1566445373014909,0.021026591437080862,47.558825832154504,0.6505272091045571
0.17957144943716408,0.012349086433352125,80.97765007937942,0.46068438435787706
0.2058540055622932,0.007049322223710785,141.8576096062746,0.2970476083697561
0.23598334667821938,0.003906882760239212,255.9585381412294,0.17744846190841224
0.2705224984927535,0.0020999950963036503,476.19158814235834,0.09967525666780364
0.3101168926574778,0.0010936115343099298,914.4014749542681,0.05321247436115728
0.3555064279213946,0.0005512383023024687,1814.0974526318246,0.027185551229806926
0.4075392965871778,0.00026868753176347715,3721.7953264771872,0.013344538108997162
0.46718783464442726,0.0001265362992768895,7902.87060483552,0.006306842812284663
0.5355666917706902,5.75304424925937e-05,17382.101660850898,0.0028723888989178326
0.6139536607422716,2.5233540886405757e-05,39629.792921323104,0.0012608814644616828
0.7038135554931554,1.0670038349289066e-05,93720.37543488576,0.0005333596306210664
0.8068255840302895,4.347059573283814e-06,230040.555723185,0.0002173293592168113
0.9249147277217336,1.7053954417952044e-06,586374.2657523104,8.526613672610317e-05
1.0602877133410942,6.439236885690253e-07,1552979.0528785696,3.219566613688052e-05
1.2154742500762872,2.338963872524277e-07,4275397.374653638,1.169475097850814e-05
1.3933743020968492,8.169788984805505e-08,12240218.221790543,4.0848861492248645e-06
1.597312280060254,2.743036218501255e-08,36455953.19723418,1.3715171687245231e-06
1.8310991642315715,8.849851681423552e-09,112996244.00475195,4.424924862078683e-07
2.0991037201085545,2.742763205591937e-09,364595819.99685687,1.371381508352698e-07
2.4063341373555094,8.163287733561158e-10,1224996634.491725,4.081643789621836e-08
2.7585316176291843,2.332673765093316e-10,4286926080.1241794,1.1663368826297926e-08
3.1622776601683795,6.398125355250195e-11,15629578110.397863,3.1990626814248913e-09
