pga_g,annual_rate,annual_prob,prob_50yr,return_period_yr
0.001,0.46349236855967985,0.46349236855967985,0.999999999913823,2.1575328265005487
0.0011513953993264468,0.4165162316916652,0.4165162316916652,0.9999999990974632,2.4008668184155444
0.0013257113655901094,0.3728425090864305,0.3728425090864305,0.9999999919863978,2.6820976032220214
0.0015264179671752333,0.3323098335710339,0.3323098335710339,0.9999999391887893,3.009239868871476
0.0017575106248547913,0.2948105081479172,0.2948105081479172,0.9999996034744691,3.3920093496065733
0.0020235896477251575,0.26025539117541485,0.26025539117541485,0.9999977683504977,3.8423795775511507
0.002329951810515372,0.22855656202617702,0.22855656202617702,0.9999891117692666,4.375284573476687
0.0026826957952797246,0.1996202286299462,0.1996202286299462,0.9999537297536788,5.009512346836297
0.0030888435964774815,0.1733447463981206,0.1733447463981206,0.999827866000896,5.76885092152318
0.0035564803062231283,0.14962066497618348,0.14962066497618348,0.9994363253016323,6.683568744726401
0.004094915062380427,0.1283312431566424,0.1283312431566424,0.9983657350667448,7.792334706673027
0.004714866363457394,0.10935285450902532,0.10935285450902532,0.995778829102051,9.144708700013553
0.005428675439323859,0.09255522249618536,0.09255522249618536,0.9902233767430876,10.804360607973415
0.006250551925273976,0.07780161553191074,0.07780161553191074,0.9795563054008102,12.853203537783155
0.0071968567300115215,0.06494915862283934,0.06494915862283934,0.9611271000741511,15.396658266306632
0.008286427728546842,0.05384940019867652,0.05384940019867652,0.9322865203241095,18.570308978568296
0.009540954763499945,0.044349263404879415,0.044349263404879415,0.8911150185830472,22.548288815321733
0.010985411419875584,0.036292503822451805,0.036292503822451805,0.8371010470768577,27.553899419344145
0.012648552168552958,0.029521759070786406,0.029521759070786406,0.7714700382335175,33.873320272082346
0.014563484775012436,0.02388118980701146,0.02388118980701146,0.6970112159063848,41.87396055561697
0.016768329368110083,0.019219584182191725,0.019219584182191725,0.6174818627182195,52.03026197239841
0.019306977288832496,0.01539366144037756,0.01539366144037756,0.5368401666360515,64.96180287407132
0.022229964825261943,0.012271207419455145,0.012271207419455145,0.45858022184782854,81.49157338947508
0.025595479226995357,0.009733641522684881,0.009733641522684881,0.38533758226377746,102.73647305270441
0.029470517025518096,0.007677669963601839,0.007677669963601839,0.31878921514702296,130.24784924863692
0.03393221771895328,0.006015818584594228,0.006015818584594228,0.25976748244752657,166.22841695407456
0.03906939937054617,0.004675830700699243,0.004675830700699243,0.20847319569457912,213.8657415142203
0.044984326689694466,0.0035991135285654468,0.0035991135285654468,0.16469276560911128,277.8461951986786
0.0517947467923121,0.0027385686500508003,0.0027385686500508003,0.1279673669078183,365.1542567616299
0.05963623316594643,0.002056208354218748,0.002056208354218748,0.09770198300892807,486.33203826270216
0.06866488450043001,0.0015209283461275836,0.0015209283461275836,0.07322681275400678,657.493170237827
0.07906043210907697,0.001106696939286321,0.001106696939286321,0.05383172666986502,903.5897403356632
0.09102981779915217,0.000791272702740782,0.000791272702740782,0.03879121460839885,1263.7868038872514
0.10481131341546852,0.0005554235035895651,0.0005554235035895651,0.027389101145784855,1800.4279500907805
0.1206792640639329,0.00038252536442552403,0.00038252536442552403,0.018944521708549655,2614.205731172359
0.13894954943731375,0.00025838345992263567,0.00025838345992263567,0.012836078702113451,3870.2167712260557
0.15998587196060574,0.00017113252291442265,0.00017113252291442265,0.008520122410691444,5843.42463355177
0.18420699693267165,0.00011111931936563271,0.00011111931936563271,0.00554056013399673,8999.335180496819
0.21209508879201905,7.072260600844416e-05,7.072260600844416e-05,0.0035298855545849994,14139.75044811841
0.244205309454865,4.410890376652011e-05,4.410890376652011e-05,0.0022030149809779687,22671.15966638527
0.28117686979742307,2.694765233002714e-05,2.694765233002714e-05,0.0013464753040884903,37108.98403144838
0.32374575428176433,1.6117299792242533e-05,1.6117299792242533e-05,0.0008055403676276995,62045.13242852956
0.3727593720314938,9.429872361877416e-06,9.429872361877416e-06,0.00047138248244515957,106045.97407306875
0.42919342601287785,5.391938799726808e-06,5.391938799726808e-06,0.0002695606019968988,185462.04568395077
0.49417133613238334,3.009688613388664e-06,3.009688613388664e-06,0.00015047310845539563,332260.2861809287
0.5689866029018293,1.6379175210861813e-06,1.6379175210861813e-06,8.189252267853941e-05,610531.3528466637
0.655128556859551,8.679127383962925e-07,8.679127383962925e-07,4.339469534275775e-05,1152189.5644114811
0.7543120063354615,4.4717309404617796e-07,4.4717309404617796e-07,2.2358404749400762e-05,2236270.5031102197
0.868511373751352,2.2371350812699533e-07,2.2371350812699533e-07,1.118561284696451e-05,4470002.76546703
1.0,1.085276767924488e-07,1.085276767924488e-07,5.42636911682326e-06,9214239.441542884
