pga_g,annual_rate,return_period_yr,prob_50yr
0.001,8.553681860789586,0.11690872027682479,1.0
0.0011463626662674231,8.539901788377554,0.11709736537731123,1.0
0.0013141473626117567,8.516473688000161,0.11741949034716269,1.0
0.0015064894744719155,8.478260575495039,0.11794872203979302,1.0
0.0017269832906594343,8.418449308757006,0.1187867222719728,1.0
0.001979749169679639,8.328588923447315,0.12006835842080275,1.0
0.0022695105366946685,8.198959411227234,0.12196669721655791,1.0
0.0026016821499673134,8.019343695743414,0.12469848380869245,1.0
0.002982471286216891,7.780196078402,0.12853146500716384,1.0
0.0034189937357336263,7.4740906522232935,0.13379554069263708,1.0
0.003919406774847221,7.097221296690391,0.14090021406917727,1.0
0.004493061600600462,6.650649514793619,0.1503612538558246,1.0
0.005150678076168122,6.140993009030459,0.16284011372907917,1.0
0.005904545052481256,5.5803328044736915,0.17920078157315475,1.0
0.006768750009458534,4.985276309701609,0.20059068703051575,1.0
0.007759442308140531,4.37530537920626,0.22855547517952074,1.0
0.008895134973108237,3.770704522188938,0.26520242944400435,1.0
0.01019705064458096,3.1904536821656087,0.313435047056136,1.0
0.011689518164985783,2.650457411414241,0.3772933666820989,1.0
0.013400427210994584,2.162377583053595,0.46245392471552216,1.0
0.015361749466718281,1.7331788990080608,0.5769744834606073,1.0
0.017610136077199343,1.365336463344804,0.7324201959348526,1.0
0.02018760254679039,1.0575363635027593,0.9455939620721996,1.0
0.023142313881085664,0.8056462920407821,1.2412394991192732,1.0
0.02652948464431896,0.6037422743926296,1.6563358943284356,0.9999999999999224
0.030412410751562157,0.4450301822178874,2.247038605373508,0.9999999997830836
0.03486365227678086,0.3225707490189282,3.1000951048457304,0.9999999010387474
0.039966389379830825,0.22978157187945214,4.351959088018683,0.9999897586651866
0.04581597669054491,0.16073566314547585,6.221394682615875,0.9996766525632507
0.0525217251966192,0.11030005997513923,9.066178207204894,0.9959740847342998
0.06020894493336132,0.07416350066918805,13.483721655219274,0.9754777652813418
0.06902128664695653,0.04879608478999277,20.49344746210218,0.9128220842159189
0.07912342618981323,0.03137286754792962,31.87467637353388,0.7916723873136724
0.090704141811168,0.01968229016238792,50.807095706319814,0.6262299492106864
0.103979841848149,0.01203168595832283,83.11387144444686,0.4520571566424081
0.11919860873910919,0.007156434670846899,139.73438534605657,0.30080229260419367
0.13664483492953258,0.004136174850437085,241.76927624187027,0.18682483905364655
0.1566445373014909,0.002319932997352258,431.0469315886714,0.10952179348764479
0.17957144943716408,0.0012612561067555073,792.8603831084154,0.06111549512108638
0.2058540055622932,0.000663890426233561,1506.2726626038036,0.03264962897674162
0.23598334667821938,0.00033799231466712435,2958.6471544030865,0.01675761825356714
0.2705224984927535,0.0001662739583912692,6014.170888064385,0.008279234704730798
0.3101168926574778,7.897229645658645e-05,12662.66836433877,0.0039408292940422696
0.3555064279213946,3.6184210862361424e-05,27636.363379702536,0.0018075749082746562
0.4075392965871778,1.598270291222164e-05,62567.63987243489,0.0007988159221604674
0.46718783464442726,6.801284185262464e-06,147031.05660058663,0.0003400063939836828
0.5355666917706902,2.786706662456257e-06,358846.524276287,0.00013932562640617263
0.6139536607422716,1.0988187503341678e-06,910068.1979588394,5.493942829104537e-05
0.7038135554931554,4.167662409785903e-07,2399426.5889961347,2.083809493280686e-05
0.8068255840302895,1.5198753268394715e-07,6579487.029896496,7.599347759068564e-06
0.9249147277217336,5.3273062370217776e-08,18771212.982849818,2.663649571021942e-06
1.0602877133410942,1.7940850774781844e-08,55738716.7728761,8.970421363496683e-07
1.2154742500762872,5.803364553769029e-09,172313834.6272843,2.90168185590467e-07
1.3933743020968492,1.8025889219494217e-09,554757653.1861426,9.01294420208032e-08
1.597312280060254,5.375064078330834e-10,1860442936.915719,2.687532008049942e-08
1.8310991642315715,1.538299083331941e-10,6500686445.408325,7.691495440553808e-09
2.0991037201085545,4.2245179772000756e-11,23671339674.6575,2.112259034348085e-09
2.4063341373555094,1.1130411818890501e-11,89843935361.20587,5.565206073754325e-10
2.7585316176291843,2.812967688857156e-12,355496440275.9553,1.4064838183003303e-10
3.1622776601683795,6.81816527798059e-13,1466670224656.362,3.4090841261047444e-11
