pga_g,annual_rate,annual_prob,prob_50yr,return_period_yr
0.001,0.47253037933627906,0.47253037933627906,0.9999999999451555,2.1162660513057596
0.0011513953993264468,0.4236429000353316,0.4236429000353316,0.9999999993680084,2.360478601002402
0.0013257113655901094,0.37823105185157985,0.37823105185157985,0.9999999938790749,2.643886574369378
0.0015264179671752333,0.33615369201386963,0.33615369201386963,0.9999999498217715,2.9748297393643983
0.0017575106248547913,0.29731973265526684,0.29731973265526684,0.9999996502288078,3.3633825480378374
0.0020235896477251575,0.2616508842002301,0.2616508842002301,0.9999979187548427,3.821886568649022
0.002329951810515372,0.22906198423363303,0.22906198423363303,0.9999893834792803,4.365630566528423
0.0026826957952797246,0.19945222151098185,0.19945222151098185,0.9999533394300063,5.013732072896165
0.0030888435964774815,0.17270284785886192,0.17270284785886192,0.9998222517603672,5.790292472867794
0.0035564803062231283,0.14867859214748702,0.14867859214748702,0.9994091389081614,6.725917871269687
0.004094915062380427,0.1272309739084449,0.1272309739084449,0.9982733094776168,7.859721334205911
0.004714866363457394,0.10820227184171179,0.10820227184171179,0.9955288677027412,9.241950127099843
0.005428675439323859,0.09142926687230962,0.09142926687230962,0.9896571864518805,10.937416805459053
0.006250551925273976,0.07674621015759223,0.07674621015759223,0.9784485139781545,13.029959367981554
0.0071968567300115215,0.06398681644441555,0.06398681644441555,0.9592109176246914,15.628219304654515
0.008286427728546842,0.05298541499211509,0.05298541499211509,0.9292972457236504,18.873118199580258
0.009540954763499945,0.043577626847570564,0.043577626847570564,0.8868319438335789,22.947555255771107
0.010985411419875584,0.03560101961532203,0.03560101961532203,0.8313704498142014,28.089083144394504
0.012648552168552958,0.028896113988833877,0.028896113988833877,0.7642081133995287,34.60672948571642
0.014563484775012436,0.023307929291454282,0.023307929291454282,0.6882009797408649,42.903854198950405
0.016768329368110083,0.018688033886547075,0.018688033886547075,0.6071791778371997,53.51017694375375
0.019306977288832496,0.014896879561142823,0.014896879561142823,0.5251916253137766,67.12815230166797
0.022229964825261943,0.011806088678746232,0.011806088678746232,0.4458414456184179,84.70205732066351
0.025595479226995357,0.009300341561043013,0.009300341561043013,0.37187562204284286,107.52293272633874
0.029470517025518096,0.007278571176038952,0.007278571176038952,0.3050591596242702,137.38960241152807
0.03393221771895328,0.005654292999514776,0.005654292999514776,0.2462651645700802,176.856770614083
0.03906939937054617,0.004355052174212293,0.004355052174212293,0.19567560009434593,229.61837424619878
0.044984326689694466,0.003321123792233102,0.003321123792233102,0.15300135967240058,301.10289846425945
0.0517947467923121,0.002503719617568532,0.002503719617568532,0.11766720970320932,399.4057453490508
0.05963623316594643,0.0018630080286482437,0.0018630080286482437,0.08894353420615764,536.7663395018095
0.06866488450043001,0.0013662336225214958,0.0013662336225214958,0.06603067240452754,731.9392404897914
0.07906043210907697,0.0009861415616403727,0.0009861415616403727,0.04811121936724483,1014.0531936779694
0.09102981779915217,0.0006997998246762245,0.0006997998246762245,0.03438491917522646,1428.9800664963996
0.10481131341546852,0.00048780591744868593,0.00048780591744868593,0.024095256175374113,2049.9956319312046
0.1206792640639329,0.0003337911131682893,0.0003337911131682893,0.016551056590751956,2995.885631909632
0.13894954943731375,0.00022410633227379722,0.00022410633227379722,0.011142770886356845,4462.167533839565
0.15998587196060574,0.0001475840585626378,0.0001475840585626378,0.007352043456349655,6775.799566289736
0.18420699693267165,9.530443262027305e-05,9.530443262027305e-05,0.004753885975202543,10492.691394369427
0.21209508879201905,6.033303430506867e-05,6.033303430506867e-05,0.00301210619336878,16574.667783880854
0.244205309454865,3.742961385857708e-05,3.742961385857708e-05,0.0018697305648840423,26716.813157046443
0.28117686979742307,2.2745219745718654e-05,2.2745219745718654e-05,0.0011366145510881553,43965.281988019946
0.32374575428176433,1.3530306340031324e-05,1.3530306340031324e-05,0.0006762865321096045,73908.15661293334
0.3727593720314938,7.872651184988958e-06,7.872651184988958e-06,0.0003935550961179368,127022.01285212951
0.42919342601287785,4.47621129948431e-06,4.47621129948431e-06,0.00022378552125812412,223403.21604460603
0.49417133613238334,2.4842364063723917e-06,2.4842364063723917e-06,0.00012420410634983448,402538.1793113043
0.5689866029018293,1.344110650343815e-06,1.344110650343815e-06,6.720327427600647e-05,743986.3673010897
0.655128556859551,7.080613307740134e-07,7.080613307740134e-07,3.540243985755698e-05,1412307.0368874057
0.7543120063354615,3.626756008954372e-07,3.626756008954372e-07,1.8133615628745936e-05,2757285.015950961
0.868511373751352,1.803825274706627e-07,1.803825274706627e-07,9.019085701389429e-06,5543774.189341256
1.0,8.700181595699603e-08,8.700181595699603e-08,4.350081336257361e-06,11494012.958238576
