pga_g,annual_rate,return_period_yr,prob_50yr
0.001,8.557214324229498,0.11686045973729203,1.0
0.0011463626662674231,8.546085490701012,0.11701263708256829,1.0
0.0013141473626117567,8.526854373418953,0.11727654258026657,1.0
0.0015064894744719155,8.494975295088507,0.11771664604818387,1.0
0.0017269832906594343,8.444270014912718,0.11842349880261809,1.0
0.001979749169679639,8.366866681966453,0.11951905510283228,1.0
0.0022695105366946685,8.253430090290093,0.12116174597231631,1.0
0.0026016821499673134,8.093776279735216,0.12355172238992433,1.0
0.002982471286216891,7.877900430059205,0.12693737485997708,1.0
0.0034189937357336263,7.597345880464569,0.13162491424424277,1.0
0.003919406774847221,7.246726021192058,0.1379933499728894,1.0
0.004493061600600462,6.825115859960484,0.14651765926297253,1.0
0.005150678076168122,6.336995164856996,0.15780349739663507,1.0
0.005904545052481256,5.792475904400449,0.17263774878033009,1.0
0.006768750009458534,5.206681898058913,0.1920608978191671,1.0
0.007759442308140531,4.598335624050686,0.21746998952614452,1.0
0.008895134973108237,3.987791457549717,0.25076536991591986,1.0
0.01019705064458096,3.3948793915739843,0.29456127439519,1.0
0.011689518164985783,2.83695119952579,0.3524910827395109,1.0
0.013400427210994584,2.327448137026014,0.4296551163016626,1.0
0.015361749466718281,1.8751650133967297,0.5332864003198152,1.0
0.017610136077199343,1.4842189282556881,0.6737550512007274,1.0
0.02018760254679039,1.1545912915653347,0.8661073466475329,1.0
0.023142313881085664,0.8830311011617046,1.1324629434732396,1.0
0.02652948464431896,0.6640935281205145,1.5058119943287986,0.9999999999999962
0.030412410751562157,0.49112693034589144,2.0361335088990513,0.9999999999783572
0.03486365227678086,0.3570883632686349,2.8004272971721216,0.9999999823832937
0.039966389379830825,0.2551372442228307,3.9194591250136113,0.9999971175277478
0.04581597669054491,0.17901154204915937,5.586231974502429,0.999870337689988
0.0525217251966192,0.12322353069058332,8.115333121812744,0.9978902304058231
0.06020894493336132,0.083124175913727,12.0301944531502,0.9843331583317124
0.06902128664695653,0.05488277057976524,18.22065448657744,0.9356963271594626
0.07912342618981323,0.03541863406120715,28.233725735213113,0.8298256370339848
0.090704141811168,0.022310237782699378,44.8224716267012,0.6722525344143
0.103979841848149,0.013697363321878313,73.00675148207067,0.49584330986040903
0.11919860873910919,0.008185066586061033,122.1737159356743,0.3358540366246373
0.13664483492953258,0.004754132263853348,210.34332755173997,0.21156602670924496
0.1566445373014909,0.0026805426312159503,373.0587935273311,0.12543366406827727
0.17957144943716408,0.0014653719888411832,682.4205782661373,0.0706488267081593
0.2058540055622932,0.0007758074268329317,1288.9796686818102,0.03804765920965736
0.23598334667821938,0.00039736108700658547,2516.60273916914,0.01967198520965352
0.2705224984927535,0.00019670886054007396,5083.655089325668,0.009787233241560944
0.3101168926574778,9.403465247509258e-05,10634.377579742477,0.004690696781556314
0.3555064279213946,4.3374082492616994e-05,23055.24272865523,0.002166354184922392
0.4075392965871778,1.9290195677789297e-05,51839.80591505345,0.0009640447938357166
0.46718783464442726,8.266520340331957e-06,120969.8831951151,0.0004132406095859187
0.5355666917706902,3.4113964507651428e-06,293135.08835236955,0.00017055527633313972
0.6139536607422716,1.3549830039946107e-06,738016.6371474114,6.774685527788371e-05
0.7038135554931554,5.177491875182219e-07,1931437.1207290508,2.5887124298518138e-05
0.8068255840302895,1.90239743722344e-07,5256525.163635133,9.511941947315528e-06
0.9249147277217336,6.719085030645863e-08,14882978.790102858,3.359536872027391e-06
1.0602877133410942,2.2803075947619638e-08,43853732.816444345,1.1401531474497517e-06
1.2154742500762872,7.433841255547146e-09,134519956.18736118,3.7169199373909834e-07
1.3933743020968492,2.3272605012824875e-09,429689757.3129129,1.163630183320663e-07
1.597312280060254,6.994805929131384e-10,1429632230.1599298,3.4974029006207275e-08
1.8310991642315715,2.0179152961509877e-10,4955609395.039624,1.008957639658803e-08
2.0991037201085545,5.5864242034462814e-11,17900538225.92092,2.7932121060558757e-09
2.4063341373555094,1.4838259735655482e-11,67393347859.86106,7.419129754993037e-10
2.7585316176291843,3.78068782196979e-12,264502134820.2683,1.89034454756154e-10
3.1622776601683795,9.239107561585671e-13,1082355620750.4244,4.6195602898535526e-11
