name,latitude,longitude,pga_median_g,pga_mean_g,pga_std_g,pga_p05_g,pga_p16_g,pga_p50_g,pga_p84_g,pga_p95_g,prob_pga_gt_0.1g,prob_pga_gt_0.2g,prob_pga_gt_0.5g
Ma Mya,18.106536,95.081046,0.0404,0.0496,0.0344,0.0138,0.021,0.0404,0.0754,0.1131,0.076,0.007,0.0
Maday,19.033781,94.868121,0.0377,0.0453,0.0344,0.0129,0.0192,0.0377,0.0676,0.1051,0.056,0.009,0.0
Male-Nattaung,22.593002,96.096806,0.1923,0.2384,0.1704,0.0644,0.1002,0.1923,0.37,0.5476,0.841,0.471,0.074
Manchaung (Mann),20.096772,94.423262,0.0318,0.0396,0.0285,0.0105,0.0161,0.0318,0.0639,0.093,0.04,0.003,0.0
Meikhtila,20.875818,95.865057,0.3131,0.3891,0.2665,0.1152,0.1706,0.3131,0.6086,0.9093,0.969,0.758,0.242
Mēntóu xī,24.835331,97.768566,0.0383,0.0491,0.0391,0.013,0.0199,0.0383,0.0753,0.1161,0.09,0.01,0.0
Middle Yeywa,21.938771,96.930558,0.0563,0.07,0.0505,0.0191,0.0288,0.0563,0.1091,0.1775,0.199,0.034,0.0
Min Hla,18.117447,95.909904,0.0918,0.1166,0.0854,0.0296,0.0474,0.0918,0.1806,0.2896,0.46,0.135,0.003
Mone,20.478481,94.259852,0.0298,0.0373,0.0273,0.0108,0.0162,0.0298,0.0573,0.0859,0.035,0.004,0.0
Mone Yin,23.145283,97.577462,0.032,0.039,0.0279,0.0114,0.017,0.032,0.0596,0.0921,0.038,0.002,0.0
Myaing Chaung,21.615887,94.816231,0.049,0.0622,0.0444,0.0169,0.0261,0.049,0.0971,0.1469,0.15,0.017,0.0
Myotha,21.672793,95.719008,0.1727,0.2136,0.1475,0.0601,0.0948,0.1727,0.337,0.5066,0.818,0.422,0.053
Myothit,22.41452,95.214678,0.0716,0.0919,0.0758,0.0259,0.037,0.0716,0.1438,0.2169,0.327,0.065,0.001
Nagar,20.395229,95.16702,0.0654,0.0769,0.0502,0.0218,0.0338,0.0654,0.1204,0.1684,0.229,0.027,0.0
Namtu,22.857605,97.307334,0.0387,0.0481,0.0335,0.0143,0.0204,0.0387,0.0758,0.1097,0.075,0.004,0.0
Nankathu,17.850106,95.036264,0.038,0.0463,0.0305,0.013,0.0199,0.038,0.0726,0.1082,0.062,0.0,0.0
Nat Thar Taw,21.800573,95.722506,0.1753,0.2131,0.15,0.059,0.0889,0.1753,0.3264,0.5002,0.786,0.421,0.051
Natkar,20.684856,95.884964,0.3155,0.3936,0.2909,0.1127,0.1704,0.3155,0.6107,0.9457,0.96,0.768,0.247
Natmouk,20.409266,95.48095,0.0947,0.115,0.0816,0.0323,0.0481,0.0947,0.1744,0.2607,0.459,0.117,0.005
Nga Moe Yeik,17.355585,96.160508,0.1322,0.163,0.1141,0.0427,0.0681,0.1322,0.2565,0.3897,0.661,0.277,0.015
Ngathayauk,21.168644,95.107695,0.0683,0.0852,0.0624,0.0232,0.0369,0.0683,0.1267,0.2153,0.278,0.062,0.001
Ngwe Thar,21.902657,95.041531,0.0618,0.0756,0.0516,0.0218,0.0333,0.0618,0.1164,0.182,0.216,0.036,0.0
North Pinle,21.659382,95.5687,0.1228,0.1496,0.1086,0.0412,0.0642,0.1228,0.2288,0.356,0.62,0.208,0.017
North Yamar (1),22.053354,94.67744,0.0431,0.054,0.0387,0.0153,0.0234,0.0431,0.0843,0.1254,0.098,0.01,0.0
Nwegway,22.008236,95.303983,0.0819,0.0983,0.0685,0.0272,0.0417,0.0819,0.1518,0.2226,0.37,0.068,0.002
Nyaung-gaing,18.797819,95.14163,0.0474,0.0578,0.0416,0.0168,0.0244,0.0474,0.088,0.1365,0.115,0.009,0.0
Nyaunggone,20.789507,95.819567,0.2262,0.2832,0.1928,0.0873,0.121,0.2262,0.4484,0.6731,0.916,0.591,0.121
Pade,19.212315,95.610306,0.0764,0.0957,0.0758,0.0283,0.0411,0.0764,0.1456,0.2122,0.344,0.062,0.004
Palin,20.291535,95.525824,0.0945,0.1182,0.0889,0.0319,0.0502,0.0945,0.1859,0.2861,0.453,0.136,0.007
Pashe,26.476081,98.289919,0.0488,0.0597,0.0458,0.0175,0.0261,0.0488,0.0886,0.1437,0.115,0.021,0.001
Paunggadaw,21.81169,95.589723,0.1239,0.1533,0.1084,0.0412,0.0662,0.1239,0.2376,0.363,0.627,0.233,0.018
Paunglinn,17.509063,96.095995,0.1145,0.135,0.088,0.0382,0.0595,0.1145,0.2128,0.3172,0.567,0.185,0.004
Pegyi,23.013559,95.637255,0.1376,0.1711,0.1217,0.0485,0.0737,0.1376,0.2697,0.4186,0.692,0.277,0.027
Phaunggada,22.021024,95.070568,0.0664,0.0824,0.0596,0.0234,0.0347,0.0664,0.1256,0.2044,0.263,0.052,0.0
Phizaw,26.827594,98.385556,0.0503,0.0635,0.0451,0.0177,0.0273,0.0503,0.0987,0.1478,0.154,0.021,0.0
Phugyi,17.245914,96.042454,0.1023,0.1242,0.0887,0.0327,0.0526,0.1023,0.1906,0.2885,0.512,0.135,0.007
Pinn Chaung,20.712043,95.300929,0.076,0.0936,0.0656,0.0262,0.0386,0.076,0.1452,0.2246,0.328,0.072,0.0
Popa,20.808545,95.247579,0.0752,0.0921,0.0658,0.0247,0.0393,0.0752,0.1424,0.2105,0.322,0.059,0.001
Samon,20.938996,96.136176,0.1815,0.2244,0.1718,0.0636,0.0948,0.1815,0.3333,0.5295,0.822,0.434,0.057
Sarlingyi,21.981113,95.066611,0.0632,0.0802,0.0607,0.0227,0.0343,0.0632,0.1218,0.201,0.243,0.053,0.001
Sedawgyi,22.348589,96.323053,0.1066,0.1335,0.0956,0.0363,0.0581,0.1066,0.2082,0.3197,0.551,0.178,0.008
Shanma-Nge,20.839191,95.597897,0.1186,0.1468,0.1078,0.04,0.0627,0.1186,0.2242,0.3469,0.599,0.205,0.011
Shwedaung,18.710748,95.252426,0.0522,0.0632,0.0426,0.0174,0.0288,0.0522,0.0971,0.142,0.145,0.018,0.0
Shwezaye,22.33525,94.9989,0.0617,0.0749,0.0528,0.0205,0.0317,0.0617,0.1161,0.1775,0.224,0.033,0.001
Sin Chaung,21.496183,95.16705,0.0687,0.0855,0.0609,0.0243,0.037,0.0687,0.1335,0.2003,0.29,0.051,0.001
Sindewa,21.118182,95.305956,0.0809,0.0985,0.068,0.0275,0.0428,0.0809,0.1515,0.2264,0.379,0.074,0.002
Sinlan,22.074457,96.436115,0.0901,0.1127,0.0795,0.0322,0.0458,0.0901,0.179,0.2724,0.435,0.121,0.003
South Khayan,22.598882,94.028495,0.0259,0.033,0.0245,0.0093,0.0134,0.0259,0.0514,0.0789,0.022,0.0,0.0
South Nawin (2),18.959728,95.492622,0.0658,0.0806,0.0578,0.0229,0.0348,0.0658,0.1221,0.1837,0.26,0.039,0.002
South Pinle,21.641813,95.549981,0.1226,0.1478,0.102,0.0424,0.0652,0.1226,0.2345,0.3465,0.616,0.219,0.01
South Yamar,21.821946,94.736177,0.0481,0.0598,0.0434,0.0172,0.0244,0.0481,0.0943,0.1412,0.136,0.014,0.0
Sunchaung,20.169512,95.584486,0.1059,0.1269,0.0857,0.0358,0.0569,0.1059,0.197,0.2842,0.536,0.153,0.007
Sunlun,21.417041,95.416244,0.0935,0.1129,0.078,0.0317,0.0481,0.0935,0.1728,0.2629,0.456,0.114,0.005
Taungnawin,18.922544,95.578598,0.0686,0.0869,0.0667,0.0245,0.0362,0.0686,0.135,0.2069,0.284,0.059,0.003
Taungnyo,20.452426,95.969404,0.4957,0.6088,0.4217,0.1718,0.2593,0.4957,0.9656,1.4228,0.991,0.915,0.496
Taungtha,21.268241,95.476952,0.098,0.122,0.0848,0.0329,0.0526,0.098,0.1938,0.2973,0.489,0.144,0.004
Thaphan Chaung,20.515519,95.864282,0.2537,0.3137,0.2167,0.0899,0.1311,0.2537,0.5011,0.753,0.929,0.645,0.161
Thapanzeik,23.306586,95.354794,0.0849,0.1059,0.0753,0.0283,0.0449,0.0849,0.1639,0.263,0.403,0.103,0.002
Thazi,22.240321,95.262088,0.0764,0.0929,0.0652,0.0267,0.0392,0.0764,0.1446,0.218,0.33,0.064,0.001
The-gaw,17.816109,95.866928,0.0814,0.1008,0.0725,0.0255,0.0401,0.0814,0.1605,0.2429,0.383,0.087,0.001
Thettaw,20.711113,96.210114,0.1528,0.1812,0.1277,0.0537,0.0813,0.1528,0.271,0.3863,0.735,0.32,0.026
Thinbon,20.971218,95.712494,0.169,0.2048,0.1478,0.0574,0.0836,0.169,0.3214,0.4721,0.777,0.39,0.041
Thirinandar,21.51692,94.932945,0.0556,0.0701,0.0532,0.0195,0.0301,0.0556,0.106,0.1647,0.182,0.026,0.0
Thonze,17.739216,95.951677,0.0964,0.1157,0.0769,0.0345,0.0486,0.0964,0.1793,0.2783,0.471,0.12,0.001
Tum Baing,25.48725,97.963157,0.0421,0.052,0.0364,0.0137,0.0219,0.0421,0.0829,0.1212,0.092,0.009,0.0
Upper Bu,20.803853,94.037043,0.0263,0.0321,0.023,0.0089,0.0135,0.0263,0.0481,0.0747,0.02,0.0,0.0
Upper Yeywa,22.240208,97.162877,0.0438,0.0542,0.0413,0.0142,0.0215,0.0438,0.0822,0.132,0.1,0.01,0.001
Wegyi,18.622783,95.609994,0.0726,0.0907,0.0647,0.0265,0.039,0.0726,0.1429,0.2182,0.323,0.063,0.001
Welaung,21.092847,95.396977,0.0812,0.1033,0.0761,0.029,0.0431,0.0812,0.1651,0.2331,0.382,0.092,0.004
