name,latitude,longitude,pga_median_g,pga_mean_g,pga_std_g,pga_p05_g,pga_p16_g,pga_p50_g,pga_p84_g,pga_p95_g,prob_pga_gt_0.1g,prob_pga_gt_0.2g,prob_pga_gt_0.5g
Hkankawn,26.023865,98.429523,0.0374,0.0456,0.0322,0.0126,0.019,0.0374,0.071,0.1072,0.062,0.005,0.0
Pisa,26.598389,98.34309,0.0468,0.0593,0.0456,0.0169,0.0256,0.0468,0.0901,0.1401,0.127,0.015,0.001
Tamanthi,25.322227,95.296955,0.058,0.0708,0.0506,0.0197,0.0305,0.058,0.1073,0.172,0.198,0.033,0.0
Hutgyi,17.528,97.747,0.04,0.05,0.0353,0.0134,0.0209,0.04,0.0782,0.1158,0.094,0.002,0.0
Kabaung,18.896717,96.220825,0.2969,0.3682,0.2607,0.1068,0.1538,0.2969,0.5811,0.8792,0.963,0.735,0.22
Keng Tawng,20.598345,98.29305,0.0185,0.0232,0.0166,0.0065,0.0097,0.0185,0.036,0.055,0.004,0.0,0.0
Keng Tawng (upper),20.74558,98.184077,0.0207,0.0251,0.0174,0.0076,0.0108,0.0207,0.0391,0.0603,0.004,0.0,0.0
Keng Tong,21.617799,99.500985,0.0094,0.0111,0.0073,0.0033,0.0048,0.0094,0.017,0.0247,0.0,0.0,0.0
Keng Yang,21.3469,100.5619,0.0057,0.0072,0.0051,0.0022,0.003,0.0057,0.0109,0.0175,0.0,0.0,0.0
Khaunglanphu,26.849507,98.376808,0.0544,0.0664,0.0479,0.0192,0.0278,0.0544,0.1029,0.1626,0.173,0.023,0.0
Kinda,21.160437,96.321037,0.1098,0.1365,0.0994,0.0373,0.0561,0.1098,0.2091,0.3244,0.566,0.173,0.008
Kun Chaung,18.420367,96.363854,0.4911,0.6017,0.4429,0.175,0.2548,0.4911,0.9135,1.45,0.998,0.914,0.484
KunLong,23.531667,98.611111,0.0167,0.0203,0.0147,0.0053,0.0085,0.0167,0.0314,0.0487,0.003,0.0,0.0
Kyee Ohn Kyee Wa,20.331,94.416,0.0336,0.0422,0.0318,0.0118,0.0181,0.0336,0.0641,0.0999,0.049,0.003,0.0
Lawngdin,26.043012,98.277743,0.0402,0.0496,0.034,0.0135,0.0209,0.0402,0.0757,0.1163,0.085,0.004,0.0
Lemro 1,20.857443,93.350503,0.0159,0.0201,0.016,0.0054,0.008,0.0159,0.0311,0.047,0.006,0.0,0.0
Laza,26.491779,97.77695,0.074,0.0938,0.0715,0.025,0.0379,0.074,0.1467,0.2312,0.334,0.076,0.003
Lemro 2,20.740347,93.268689,0.0148,0.0187,0.0138,0.0051,0.0078,0.0148,0.029,0.0447,0.001,0.0,0.0
Nam Pawn (lower),19.555,97.408611,0.0463,0.0545,0.0373,0.015,0.0226,0.0463,0.0837,0.1222,0.102,0.007,0.0
Mong Ton,20.456389,98.65,0.0155,0.0195,0.0138,0.0056,0.0084,0.0155,0.0305,0.0433,0.001,0.0,0.0
Manipur,22.804356,93.943248,0.0249,0.0291,0.0193,0.0085,0.0128,0.0249,0.0449,0.0633,0.011,0.001,0.0
Mantong,22.97469,98.55727,0.0163,0.0202,0.0142,0.0056,0.0088,0.0163,0.0322,0.0467,0.001,0.0,0.0
Mone Chaung,20.479942,94.255325,0.0313,0.038,0.0276,0.0108,0.0162,0.0313,0.0581,0.0869,0.035,0.003,0.0
Mongwa,21.39699,100.325821,0.0063,0.0075,0.0051,0.002,0.0033,0.0063,0.0116,0.0174,0.0,0.0,0.0
Myitsone,25.715,97.535,0.0663,0.0838,0.0619,0.0237,0.0349,0.0663,0.1369,0.2027,0.278,0.053,0.001
Myittha,21.992222,94.036944,0.0263,0.0334,0.0247,0.0088,0.0139,0.0263,0.0534,0.0803,0.025,0.002,0.0
Myogyi,21.46349,96.39144,0.0993,0.1212,0.0845,0.0331,0.0518,0.0993,0.1863,0.2787,0.494,0.139,0.004
Nam Hka,21.733821,98.950044,0.013,0.0154,0.0099,0.0046,0.0072,0.013,0.0232,0.0345,0.001,0.0,0.0
Nam Hsim,22.560266,97.124079,0.0471,0.058,0.0413,0.0169,0.0244,0.0471,0.0892,0.1438,0.118,0.013,0.0
Nam Lang,22.155565,97.248615,0.0406,0.0494,0.035,0.0139,0.0206,0.0406,0.0751,0.1208,0.082,0.006,0.0
Nam Li,25.369858,97.811427,0.0431,0.0546,0.0381,0.015,0.0225,0.0431,0.0871,0.127,0.107,0.004,0.0
Nam Lin,20.742516,100.241026,0.0071,0.009,0.0066,0.0024,0.0037,0.0071,0.014,0.0216,0.0,0.0,0.0
Nam Paw,23.944341,97.911001,0.0286,0.0344,0.0242,0.0091,0.0152,0.0286,0.052,0.0777,0.022,0.0,0.0
Nam Pawn (upper),20.062121,97.437368,0.0396,0.0483,0.0348,0.0138,0.0215,0.0396,0.0737,0.1109,0.073,0.006,0.0
Nam Tabak I,25.090722,97.713906,0.0434,0.054,0.0386,0.0155,0.0232,0.0434,0.0843,0.1282,0.1,0.013,0.0
Nam Tu,22.720943,97.319365,0.0398,0.0486,0.0347,0.0131,0.0211,0.0398,0.0765,0.1116,0.072,0.004,0.0
Nancho,19.7412,96.450483,0.1282,0.156,0.1071,0.0422,0.0651,0.1282,0.2521,0.3664,0.641,0.244,0.017
Naopha,22.987464,98.499151,0.0178,0.0216,0.0156,0.0057,0.0091,0.0178,0.0327,0.0517,0.004,0.0,0.0
Paung Laung (lower),19.785,96.335,0.1536,0.1929,0.1409,0.0507,0.0816,0.1536,0.301,0.4533,0.762,0.355,0.039
Paung Laung (middle),19.86,96.508,0.1043,0.1287,0.092,0.0338,0.0538,0.1043,0.2006,0.3077,0.527,0.161,0.004
Paung Laung (upper),19.756,96.598,0.0997,0.1218,0.0902,0.0346,0.0515,0.0997,0.1852,0.2767,0.495,0.136,0.007
Hpak Nam,20.209251,97.456152,0.0361,0.0457,0.0329,0.0125,0.0194,0.0361,0.0703,0.1076,0.067,0.006,0.0
Hpi Hseng,20.118443,97.43497,0.0407,0.05,0.0366,0.0135,0.0204,0.0407,0.0771,0.1208,0.086,0.009,0.0
Phyu Chaung,18.506214,96.351028,0.5203,0.6404,0.4733,0.1842,0.2675,0.5203,0.9803,1.5325,0.994,0.93,0.522
Renan,27.525941,98.090192,0.0795,0.1006,0.0766,0.0299,0.0427,0.0795,0.1546,0.2366,0.375,0.083,0.004
Sedawgyi,22.348646,96.326937,0.1106,0.1361,0.0982,0.0373,0.0566,0.1106,0.2154,0.3168,0.556,0.188,0.01
Sedawgyi (upper),22.74764,96.20626,0.1381,0.1701,0.1231,0.0459,0.072,0.1381,0.261,0.4174,0.694,0.271,0.022
Shwegyin,17.970227,96.935001,0.0952,0.1133,0.0777,0.0307,0.0479,0.0952,0.175,0.2653,0.467,0.109,0.004
Shweli 1,23.698,97.506,0.036,0.0434,0.0301,0.0125,0.0185,0.036,0.0681,0.0993,0.049,0.002,0.0
Shweli 2,23.6531,97.31235,0.0423,0.0516,0.0369,0.0147,0.022,0.0423,0.0814,0.1193,0.094,0.007,0.0
Shweli 3,23.315,96.769,0.0657,0.0786,0.0528,0.0227,0.0356,0.0657,0.1219,0.1739,0.249,0.031,0.001
Suo Lwe,21.359543,100.176054,0.0066,0.008,0.0054,0.0024,0.0035,0.0066,0.0124,0.0173,0.0,0.0,0.0
Taninthayi,12.777,98.94,0.0279,0.0346,0.0262,0.0095,0.0145,0.0279,0.0529,0.0831,0.03,0.002,0.0
Thahtay,18.64,94.381,0.024,0.0301,0.0229,0.0086,0.0131,0.024,0.0463,0.0711,0.017,0.002,0.0
Thapanzeik,23.305918,95.35833,0.081,0.1011,0.073,0.0295,0.0438,0.081,0.1536,0.2295,0.379,0.084,0.005
Thauk Ye Khat 2,18.914102,96.619907,0.1365,0.1688,0.1275,0.0451,0.0717,0.1365,0.2645,0.3879,0.669,0.277,0.028
Tongxinqiao,25.963646,98.360249,0.0368,0.0456,0.0315,0.0137,0.0197,0.0368,0.0721,0.109,0.068,0.002,0.0
Wutsok,26.403585,98.292511,0.0449,0.0568,0.0408,0.016,0.0242,0.0449,0.0898,0.1359,0.125,0.007,0.0
Yenwe,18.085211,96.446152,0.4245,0.5215,0.3646,0.1485,0.2271,0.4245,0.7827,1.2394,0.989,0.886,0.407
Yeywa,21.675196,96.474077,0.0881,0.1099,0.083,0.0285,0.0446,0.0881,0.1687,0.285,0.422,0.106,0.003
Yeywa (middle),21.96024,96.87313,0.0586,0.0723,0.0507,0.0197,0.0292,0.0586,0.1183,0.1754,0.222,0.026,0.0
Yeywa (upper),22.254093,97.046741,0.0499,0.0617,0.0466,0.0174,0.0255,0.0499,0.0961,0.1475,0.144,0.021,0.001
Ywathit,19.131059,97.521257,0.0457,0.0554,0.0392,0.0145,0.0231,0.0457,0.0849,0.1341,0.105,0.01,0.0
Zaungtu,17.755818,96.19898,0.1491,0.1823,0.1272,0.0503,0.0767,0.1491,0.2828,0.4555,0.737,0.313,0.037
Zawgyi I,21.3833,96.90147,0.06,0.075,0.0538,0.0212,0.0314,0.06,0.117,0.1793,0.24,0.037,0.001
Zawgyi II,21.5648,96.8726,0.0587,0.0726,0.0542,0.0198,0.0319,0.0587,0.1094,0.1772,0.187,0.029,0.001
Mali,24.98458,97.6135,0.0449,0.0572,0.0424,0.0147,0.0234,0.0449,0.0902,0.1324,0.122,0.01,0.0
Nam Tabak II,25.119755,97.650627,0.0471,0.0595,0.0436,0.0158,0.0246,0.0471,0.094,0.14,0.138,0.016,0.0
