name,status,function,river,state,latitude,longitude,height_m,capacity_mw,storage_mcm,dist_to_major_km,dist_to_fault_km,vs30,pga_g,seismic_score,fault_score,proximity_score,exposure_score,composite_risk,risk_grade,return_period_m6_yrs
Kyauktalone (1),Complete,Irrigation,Kyauktalone,,21.107401,95.458244,0.0,,6.46,464.2,53.0,760,0.0657,10.0,1.9,1.1,10.0,5.8,High,0.0
Thauk Ye Khat 1,Identified Sites,,Thauk Ye Khat,Kayin,18.938587,96.719624,0.0,,0.0,519.8,45.6,760,0.0708,10.0,2.2,1.0,10.0,5.8,High,0.0
Palin,Complete,Irrigation,Palin,,20.291535,95.525824,0.0,,15.06,501.6,51.8,760,0.0665,10.0,1.9,1.0,10.0,5.8,High,0.0
Dam near 20.70N 95.47E,Complete,Irrigation,,,20.704069,95.467041,0.0,,0.0,483.1,54.5,760,0.0649,10.0,1.8,1.0,10.0,5.8,High,0.0
Dam near 17.62N 96.01E,Complete,Irrigation,,,17.623217,96.014876,0.0,,0.0,681.3,48.2,760,0.0689,10.0,2.1,0.7,10.0,5.8,High,0.0
Yenam,Planned,Hydropower,May Hka,,27.727616,97.879027,0.0,,0.0,576.1,45.4,760,0.071,10.0,2.2,0.9,10.0,5.8,High,0.0
Gyobyu,Complete,Water Supply,Gyobyu Chaung,,17.376582,96.035673,0.0,,75.0,703.4,47.8,760,0.0692,10.0,2.1,0.7,10.0,5.8,High,0.0
Sunchaung,Complete,Irrigation,Sun Creek,,20.169512,95.584486,0.0,,38.515,504.3,46.5,760,0.0702,10.0,2.2,1.0,10.0,5.8,High,0.0
Sinlan,Complete,Irrigation,Sinlan,,22.074457,96.436115,0.0,,8.421,334.4,57.5,760,0.0632,10.0,1.7,1.5,10.0,5.8,High,0.0
Taungtha,Complete,Irrigation,Taungtha,,21.268241,95.476952,0.0,,6.15,455.5,50.4,760,0.0674,10.0,2.0,1.1,10.0,5.8,High,0.0
Phugyi,Complete,Water Supply,,,17.245914,96.042454,0.0,,222.0,715.5,47.1,760,0.0697,10.0,2.1,0.7,10.0,5.8,High,0.0
Dam near 20.72N 95.42E,Complete,Irrigation,,,20.720078,95.424149,0.0,,0.0,486.1,59.0,760,0.0623,10.0,1.7,1.0,10.0,5.7,High,0.0
Thonze,Complete,Irrigation,Thonze,,17.739216,95.951677,0.0,,293.1,674.1,54.1,760,0.0651,10.0,1.8,0.7,10.0,5.7,High,0.0
Welaung,Complete,Irrigation,Welaung,,21.092847,95.396977,0.0,,24.81,470.5,59.9,760,0.0619,10.0,1.7,1.1,10.0,5.7,High,0.0
Yanpe,Complete,Irrigation,Yanpe,,19.790566,95.517982,0.0,,43.36,535.0,61.2,760,0.0613,10.0,1.6,0.9,10.0,5.7,High,0.0
Natmouk,Complete,Irrigation,,,20.409266,95.48095,0.0,,124.582,498.4,55.7,760,0.0642,10.0,1.8,1.0,10.0,5.7,High,0.0
Sunlun,Complete,Irrigation,Sunlun,,21.417041,95.416244,0.0,,5.66,455.5,56.6,760,0.0637,10.0,1.8,1.1,10.0,5.7,High,0.0
Thapanzeik,Complete,Multi-purpose,Mu,,23.306586,95.354794,0.0,,3552.48,439.3,63.9,760,0.0599,10.0,1.6,1.1,10.0,5.7,High,0.0
Dam near 18.28N 95.86E,Complete,Irrigation,,,18.281025,95.855019,0.0,,0.0,631.0,58.8,760,0.0625,10.0,1.7,0.8,10.0,5.7,High,0.0
Dam near 20.75N 95.40E,Complete,Irrigation,,,20.751761,95.400055,0.0,,0.0,486.7,61.4,760,0.0611,10.0,1.6,1.0,10.0,5.7,High,0.0
Letpan,Complete,Irrigation,Htan Pin Su,,22.053801,95.400088,0.0,,5.959,438.6,57.5,760,0.0632,10.0,1.7,1.1,10.0,5.7,High,0.0
Min Hla,Complete,Irrigation,Min Hla,,18.117447,95.909904,0.0,,53.86,642.1,54.7,760,0.0647,10.0,1.8,0.8,10.0,5.7,High,0.0
Nwegway,Complete,Irrigation,,,22.008236,95.303983,0.0,,3.701,449.2,68.2,760,0.0581,10.0,1.5,1.1,10.0,5.7,High,0.0
Ta Rung Hka,Identified Sites,,Ta Rung Hka,Kachin,26.718029,96.46829,0.0,,0.0,541.9,63.3,760,0.0602,10.0,1.6,0.9,10.0,5.7,High,0.0
Kantin-BeeLin,Complete,Irrigation,Kantin-BeeLin,,17.9571,95.887794,0.0,,165.36,657.9,59.1,760,0.0623,10.0,1.7,0.8,10.0,5.7,High,0.0
Shweli 3,Under Construction,Hydropower,Shweli,Shan,23.315,96.769,122.0,1050.0,5464.0,296.6,92.5,760,0.0499,10.0,1.1,1.7,10.0,5.7,High,0.0
Dam near 20.76N 95.36E,Complete,Irrigation,,,20.762818,95.355246,0.0,,0.0,490.2,66.3,760,0.0589,10.0,1.5,1.0,10.0,5.7,High,0.0
Dam near 20.77N 95.35E,Complete,Irrigation,,,20.768534,95.35271,0.0,,0.0,490.1,66.5,760,0.0588,10.0,1.5,1.0,10.0,5.7,High,0.0
Dam near 20.74N 95.38E,Complete,Irrigation,,,20.740185,95.383724,0.0,,0.0,488.7,63.3,760,0.0602,10.0,1.6,1.0,10.0,5.7,High,0.0
Dam near 20.76N 95.39E,Complete,Irrigation,,,20.758838,95.386066,0.0,,0.0,487.6,62.9,760,0.0604,10.0,1.6,1.0,10.0,5.7,High,0.0
Renan,Proposed,Hydropower,N'Mai  Hka,Kachin,27.525941,98.090192,159.0,1200.0,1183.0,548.3,71.4,760,0.0567,10.0,1.4,0.9,10.0,5.6,High,0.0
Bawbin,Complete,Irrigation,Bawbin,,18.362836,95.796146,0.0,,120.56,627.5,64.3,760,0.0598,10.0,1.6,0.8,10.0,5.6,High,0.0
Laiza,Planned,Hydropower,Malikha,,26.1973,97.746971,0.0,,0.0,423.7,89.9,760,0.0506,10.0,1.1,1.2,10.0,5.6,High,0.0
Bewt Gyi,Complete,Irrigation,,,19.313794,95.528459,0.0,,0.0,568.6,76.8,760,0.0547,10.0,1.3,0.9,10.0,5.6,High,0.0
Upper Baluchaung 1,Under Construction,Hydropower,Balchuang,,20.478991,96.689153,0.0,,0.0,393.9,78.6,760,0.0541,10.0,1.3,1.3,10.0,5.6,High,0.0
Thazi,Complete,Irrigation,Thazi,,22.240321,95.262088,0.0,,8.141,449.2,72.8,760,0.0562,10.0,1.4,1.1,10.0,5.6,High,0.0
Pinn Chaung,Complete,Irrigation,Pinn Chaung,,20.712043,95.300929,0.0,,23.25,497.7,72.7,760,0.0562,10.0,1.4,1.0,10.0,5.6,High,0.0
Sindewa,Complete,Irrigation,Sindewa,,21.118182,95.305956,0.0,,14.76,478.0,69.9,760,0.0574,10.0,1.4,1.0,10.0,5.6,High,0.0
Popa,Complete,Irrigation,,,20.808545,95.247579,0.0,,0.0,497.7,77.7,760,0.0544,10.0,1.3,1.0,10.0,5.6,High,0.0
Sin Chaung,Complete,Irrigation,Sin Chaung,,21.496183,95.16705,0.0,,3.961,476.9,84.0,760,0.0524,10.0,1.2,1.0,10.0,5.6,High,0.0
The-gaw,Complete,Irrigation,The-gaw,,17.816109,95.866928,0.0,,64.79,671.9,62.8,760,0.0605,10.0,1.6,0.7,10.0,5.6,High,0.0
Dam near 18.53N 95.72E,Complete,Irrigation,,,18.533566,95.718861,0.0,,0.0,617.9,70.8,760,0.057,10.0,1.4,0.8,10.0,5.6,High,0.0
Htanzaloke,Complete,Irrigation,Htanzaloke,,22.159941,95.257973,0.0,,3.454,450.9,73.3,760,0.056,10.0,1.4,1.1,10.0,5.6,High,0.0
Dam near 20.78N 95.34E,Complete,Irrigation,,,20.775632,95.342022,0.0,,0.0,490.7,67.6,760,0.0583,10.0,1.5,1.0,10.0,5.6,High,0.0
Myothit,Complete,Irrigation,Myothit,,22.41452,95.214678,0.0,,9.21,451.8,78.0,760,0.0543,10.0,1.3,1.1,10.0,5.6,High,0.0
