name,status,function,river,state,latitude,longitude,height_m,capacity_mw,storage_mcm,dist_to_major_km,dist_to_fault_km,vs30,pga_g,seismic_score,fault_score,proximity_score,exposure_score,composite_risk,risk_grade,return_period_m6_yrs
Mone Yin,Complete,Irrigation,Nam Swam,,23.145283,97.577462,0.0,,31.961,211.8,183.4,760,0.0355,7.1,0.5,2.4,10.0,4.6,Moderate,0.0
Naopha,Proposed,Hydropower,Thanlwin Mainstem,Shan,22.987464,98.499151,90.0,1200.0,857.0,115.9,286.8,760,0.0284,5.7,0.3,4.3,10.0,4.5,Moderate,0.0
Shweli 2,Proposed,Hydropower,Shweli,Shan,23.6531,97.31235,92.0,520.0,72.0,254.0,148.4,760,0.0394,7.9,0.7,2.0,7.7,4.5,Moderate,0.0
Wanpon,Complete,Irrigation,Wanpon,,20.938172,97.648021,0.0,,4.23,287.3,189.0,760,0.035,7.0,0.5,1.7,10.0,4.5,Moderate,0.0
Maday,Complete,Irrigation,Maday,,19.033781,94.868121,0.0,,66.636,639.8,155.5,760,0.0385,7.7,0.6,0.8,10.0,4.5,Moderate,0.0
Ywathit,Planned,Hydropower,Salween,,19.777904,97.732943,0.0,,0.0,385.5,172.2,760,0.0366,7.3,0.6,1.3,10.0,4.5,Moderate,0.0
Yinshe,Complete,Irrigation,,,19.962479,94.572117,0.0,,3.21,603.6,160.4,760,0.0379,7.6,0.6,0.8,10.0,4.5,Moderate,0.0
Nankathu,Complete,Irrigation,Nankathu,,17.850106,95.036264,0.0,,49.36,720.9,154.3,760,0.0387,7.7,0.6,0.7,10.0,4.5,Moderate,0.0
Mindon,Identified Sites,,,Magway,19.37089,94.712866,0.0,,0.0,628.7,160.7,760,0.0379,7.6,0.6,0.8,10.0,4.5,Moderate,0.0
Kaukkwe,Complete,Irrigation,Kaukkwe,,22.933678,97.798928,0.0,,6.212,186.1,209.6,760,0.0332,6.6,0.5,2.7,10.0,4.5,Moderate,0.0
Upper Salween,Planned,Hydropower,Salween,,23.423472,98.601643,0.0,,0.0,125.0,293.8,760,0.0281,5.6,0.3,4.0,10.0,4.4,Moderate,0.0
Dam near 20.87N 94.37E,Complete,Multi-purpose,,,20.869511,94.367835,0.0,,0.0,577.3,174.8,760,0.0363,7.3,0.6,0.9,10.0,4.4,Moderate,0.0
Zawgyi II,Complete,Multi-purpose,Zawgyi River,Shan,21.5648,96.8726,44.0,12.0,639.0,311.4,105.5,760,0.0468,9.4,0.9,1.6,3.3,4.4,Moderate,0.0
Nam Tu,Proposed,Hydropower,Myitnge Upper,Shan,22.720943,97.319365,114.0,100.0,0.0,234.6,156.1,760,0.0385,7.7,0.6,2.1,7.2,4.4,Moderate,0.0
Baluchaung (upper),Under Construction,Hydropower,Baluchaung,Shan,20.484592,96.781918,35.0,30.0,0.0,386.3,88.9,760,0.0509,10.0,1.1,1.3,2.2,4.4,Moderate,0.0
Kyeeon Kyeewa,Complete,Hydropower,Mone,,20.331771,94.417348,0.0,,0.0,597.4,174.0,760,0.0364,7.3,0.6,0.8,10.0,4.4,Moderate,0.0
Manchaung (Mann),Complete,Irrigation,Mann Creek,,20.096772,94.423262,0.0,,148.018,609.2,175.6,760,0.0363,7.3,0.6,0.8,10.0,4.4,Moderate,0.0
Lawngdin,Proposed,Hydropower,Naw Chang  Hka,Kachin,26.043012,98.277743,79.0,600.0,67.0,386.1,150.9,760,0.0391,7.8,0.7,1.3,7.2,4.3,Moderate,0.0
Mantong,Proposed,Hydropower,Nam Ma,Shan,22.97469,98.55727,109.0,225.0,1215.0,109.8,293.3,760,0.0281,5.6,0.3,4.6,8.7,4.3,Moderate,0.0
Mone,Complete,Hydropower,Mone,,20.478481,94.259852,0.0,,0.0,604.7,190.1,760,0.0349,7.0,0.5,0.8,10.0,4.3,Moderate,0.0
Hawkham (upper),Proposed,Hydropower,Nam Pawn,Kayah,19.211667,97.399722,72.0,180.0,333.0,457.0,125.0,760,0.043,8.6,0.8,1.1,5.4,4.3,Moderate,0.0
KunLong,Proposed,Hydropower,Thanlwin Mainstem,Shan,23.531667,98.611111,103.0,1400.0,691.0,131.4,292.4,760,0.0281,5.6,0.3,3.8,10.0,4.3,Moderate,0.0
Sar Ra Wa Chaung,Identified Sites,,,Tanintharyi,12.829406,98.98167,0.0,,0.0,1107.4,179.1,760,0.0359,7.2,0.6,0.5,10.0,4.3,Moderate,0.0
Nam Pawn (lower),Proposed,Hydropower,Nam Pawn,Kayah,19.555,97.408611,88.0,105.0,526.0,423.9,132.2,760,0.0418,8.4,0.8,1.2,6.2,4.3,Moderate,0.0
Nam Hka,Proposed,Hydropower,Nam Hka,,22.056938,98.772066,0.0,,0.0,118.2,316.8,760,0.027,5.4,0.3,4.2,10.0,4.3,Moderate,0.0
Yazagyo,Complete,Multi-purpose,Nay Yin Za Yar,,23.53123,94.09707,0.0,,0.0,570.3,205.1,760,0.0336,6.7,0.5,0.9,10.0,4.2,Moderate,0.0
Dum Ban,Proposed,Hydropower,N'Mai  Hka Tributary,Kachin,25.511556,97.907021,81.0,130.0,34.0,348.9,138.1,760,0.0409,8.2,0.7,1.4,5.4,4.2,Moderate,0.0
Taninthayi,Proposed,Hydropower,Taninthayi,Tanintharyi,12.777,98.94,0.0,600.0,27086.0,1113.5,184.8,760,0.0354,7.1,0.5,0.4,10.0,4.2,Moderate,0.0
Lam Pha,Identified Sites,,Lam Pha,Kayin,16.305021,98.348758,0.0,,0.0,731.2,207.6,760,0.0334,6.7,0.5,0.7,10.0,4.1,Moderate,0.0
Buywa (upper),Proposed,Multi-purpose,Mon Chaung,Magway,20.76609,94.0818,138.0,150.0,721.0,608.8,207.1,760,0.0334,6.7,0.5,0.8,9.6,4.1,Moderate,0.0
Than Dwe,Identified Sites,,Than Dwe,Rakhine,18.386144,94.493902,0.0,,0.0,716.3,207.7,760,0.0334,6.7,0.5,0.7,10.0,4.1,Moderate,0.0
Kyein Ta Li,Identified Sites,,Kyein Ta Li,Rakhine,17.950012,94.576508,0.0,,0.0,744.3,203.9,760,0.0337,6.7,0.5,0.7,10.0,4.1,Moderate,0.0
South Khayan,Complete,Irrigation,Khayan,,22.598882,94.028495,0.0,,14.69,571.7,209.4,760,0.0332,6.6,0.5,0.9,10.0,4.1,Moderate,0.0
Manipur,Under Construction,Multi-purpose,Manipur,Chin,22.804356,93.943248,168.0,380.0,1643.0,580.0,218.5,760,0.0325,6.5,0.5,0.9,10.0,4.1,Moderate,0.0
Upper Bu,Planned,Hydropower,,,20.803853,94.037043,0.0,,0.0,611.5,211.8,760,0.033,6.6,0.5,0.8,10.0,4.1,Moderate,0.0
Shweli 1,Complete,Hydropower,Shweli,Shan,23.698,97.506,47.0,600.0,24.11,237.9,168.5,760,0.037,7.4,0.6,2.1,5.2,4.0,Moderate,0.0
Nam Tabak I,Proposed,Hydropower,Namtamhpak,Kachin,25.090722,97.713906,56.0,141.0,15.0,320.9,140.0,760,0.0406,8.1,0.7,1.6,3.9,4.0,Moderate,0.0
Dapein 2,Proposed,Hydropower,Dapein,Kachin,24.36827,97.4214,59.0,140.0,55.0,284.5,142.3,760,0.0403,8.1,0.7,1.8,4.2,4.0,Moderate,0.0
Tongxinqiao,Proposed,Hydropower,Naw Chang  Hka,Kachin,25.963646,98.360249,63.0,340.0,5.0,374.9,162.7,760,0.0377,7.5,0.6,1.3,5.1,3.9,Moderate,0.0
Mong Ton,Proposed,Hydropower,Thanlwin Mainstem,Shan,20.456389,98.65,241.0,7000.0,39800.0,277.0,292.0,760,0.0281,5.6,0.3,1.8,10.0,3.9,Moderate,0.0
Nam Hka,Proposed,Hydropower,Nam Hka,Shan,21.733821,98.950044,120.0,210.0,450.0,135.3,336.5,760,0.0262,5.2,0.3,3.7,8.5,3.9,Moderate,0.0
Nam Li,Proposed,Hydropower,N'Mai  Hka Tributary,Kachin,25.369858,97.811427,44.0,165.0,2.0,340.6,135.7,760,0.0412,8.2,0.7,1.5,3.3,3.9,Moderate,0.0
Dapein 1,Complete,Hydropower,Dapein,Kachin,24.421451,97.525448,46.0,240.0,22.0,280.0,151.7,760,0.039,7.8,0.7,1.8,3.7,3.8,Moderate,0.0
Zawgyi I,Complete,Hydropower,Zawgyi River,Shan,21.3833,96.90147,0.0,18.0,0.0,318.2,108.0,760,0.0462,9.2,0.9,1.6,0.1,3.8,Moderate,0.0
Nam Tabak II,Proposed,Hydropower,Namtamhpak,Kachin,25.119755,97.650627,27.0,144.0,0.0,327.4,132.3,760,0.0418,8.4,0.8,1.5,2.2,3.8,Moderate,0.0
Tha Gyet Chaung,Identified Sites,,Tha Gyet,Tanintharyi,12.132896,99.227161,0.0,,0.0,1183.5,256.7,760,0.03,6.0,0.4,0.4,10.0,3.8,Moderate,0.0
Chipwi Nge,Complete,Hydropower,Chipwi Hka,Kachin,25.806073,98.184039,48.0,99.0,1.0,365.3,151.5,760,0.039,7.8,0.7,1.4,3.3,3.7,Moderate,0.0
Lemro 1,Proposed,Hydropower,Le Mro,Chin,20.857443,93.350503,0.0,600.0,9129.0,675.6,287.7,760,0.0284,5.7,0.3,0.7,10.0,3.7,Moderate,0.0
Nam Hkok,Identified Sites,,Nam Hkoke,Shan,20.196337,99.34667,0.0,,0.0,289.1,357.2,760,0.0255,5.1,0.3,1.7,10.0,3.7,Moderate,0.0
Baluchaung 1,Complete,Hydropower,Baluchaung,Kayah,19.648,97.287,11.0,28.0,2.0,422.0,120.7,760,0.0437,8.7,0.8,1.2,0.8,3.7,Moderate,0.0
Thein Kun Chaung,Identified Sites,,Thein Kun,Tanintharyi,11.769949,99.331205,0.0,,0.0,1223.4,297.3,760,0.0279,5.6,0.3,0.4,10.0,3.6,Moderate,0.0
Mi Chaung,Identified Sites,,Mi Chaung,Chin,21.334187,93.073495,0.0,,0.0,688.2,316.8,760,0.027,5.4,0.3,0.7,10.0,3.6,Moderate,0.0
Baluchaung 2,Complete,Hydropower,Baluchaung,Kayah,19.557,97.358,0.0,168.0,0.0,426.5,126.7,760,0.0427,8.5,0.8,1.2,0.7,3.6,Moderate,0.0
Kyee Ohn Kyee Wa,Complete,Multi-purpose,Mon Chaung,Magway,20.331,94.416,50.0,74.0,571.0,597.6,174.2,760,0.0364,7.3,0.6,0.8,3.9,3.5,Moderate,0.0
Hkankawn,Proposed,Hydropower,Naw Chang  Hka,Kachin,26.023865,98.429523,42.0,140.0,5.0,378.9,167.2,760,0.0372,7.4,0.6,1.3,3.1,3.5,Moderate,0.0
Nam Hsim,Proposed,Hydropower,Myitnge Upper,Shan,22.560266,97.124079,0.0,30.0,0.0,255.8,134.2,760,0.0415,8.3,0.7,2.0,0.1,3.5,Moderate,0.0
Nam Lang,Proposed,Hydropower,Myitnge Upper,Shan,22.155565,97.248615,0.0,210.0,0.0,251.8,147.7,760,0.0395,7.9,0.7,2.0,0.8,3.5,Moderate,0.0
Thahtay,Under Construction,Hydropower,Thahtay,Rakhine,18.64,94.381,91.0,111.0,0.0,706.1,215.9,760,0.0327,6.5,0.5,0.7,5.9,3.5,Moderate,0.0
Nam Paw,Proposed,Hydropower,Nam Paw Creek,Shan,23.944341,97.911001,54.0,20.0,52.0,216.1,207.0,760,0.0334,6.7,0.5,2.3,3.4,3.5,Moderate,0.0
Mone Chaung,Complete,Multi-purpose,Mon Chaung,Magway,20.479942,94.255325,61.0,75.0,832.0,605.0,190.6,760,0.0348,7.0,0.5,0.8,4.8,3.5,Moderate,0.0
Baluchaung 3,Complete,Hydropower,Baluchaung,Kayah,19.546,97.397,0.0,52.0,0.0,425.3,130.7,760,0.042,8.4,0.8,1.2,0.2,3.4,Moderate,0.0
Hpak Nam,Proposed,Hydropower,Nam Pawn,Shan,20.209251,97.456152,20.0,105.0,20.0,361.4,157.6,760,0.0383,7.7,0.6,1.4,1.6,3.4,Moderate,0.0
Nam Pawn (upper),Proposed,Hydropower,Nam Pawn,Shan,20.062121,97.437368,10.0,150.0,7.0,375.6,150.5,760,0.0392,7.8,0.7,1.3,1.2,3.4,Moderate,0.0
Gaw Lan,Proposed,Hydropower,Naw Chang  Hka,Kachin,26.051936,98.580461,47.0,120.0,1.0,377.2,181.4,760,0.0357,7.1,0.6,1.3,3.3,3.4,Moderate,0.0
Mali,Complete,Hydropower,Mali Creek,Kachin,24.98458,97.6135,0.0,11.0,0.0,318.1,135.6,760,0.0412,8.2,0.7,1.6,0.0,3.4,Moderate,0.0
Hpi Hseng,Proposed,Hydropower,Nam Pawn,Shan,20.118443,97.43497,10.0,45.0,4.0,370.8,152.2,760,0.039,7.8,0.7,1.3,0.8,3.3,Moderate,0.0
Glohong Kra,Identified Sites,,Glohong Kra,Tanintharyi,10.775209,98.858324,0.0,,0.0,1335.8,406.9,760,0.0239,4.8,0.2,0.4,10.0,3.3,Moderate,0.0
Myittha,Complete,Multi-purpose,Myittha,Magway,21.992222,94.036944,63.0,40.0,325.0,577.2,208.8,760,0.0333,6.7,0.5,0.9,4.3,3.3,Moderate,0.0
Keng Tawng (upper),Under Construction,Hydropower,Nam Teng,Shan,20.74558,98.184077,56.0,51.0,128.0,269.8,246.4,760,0.0306,6.1,0.4,1.9,3.7,3.2,Moderate,0.0
Buywa,Under Construction,Multi-purpose,Mon Chaung,Magway,20.658056,94.150833,46.0,42.0,209.0,606.8,200.5,760,0.034,6.8,0.5,0.8,3.1,3.2,Moderate,0.0
Keng Tawng,Complete,Hydropower,Nam Teng,Shan,20.598345,98.29305,27.0,54.0,61.0,278.1,257.1,760,0.03,6.0,0.4,1.8,1.9,2.9,Low,0.0
Mongwa,Complete,Hydropower,Nam Lwe,Shan,21.39699,100.325821,51.0,66.0,78.0,171.0,486.8,760,0.0218,4.4,0.2,2.9,3.4,2.7,Low,0.0
Suo Lwe,Proposed,Hydropower,Nam Lwe,Shan,21.359543,100.176054,0.0,240.0,1338.0,168.9,471.3,760,0.0222,4.4,0.2,3.0,2.3,2.6,Low,0.0
Keng Tong,Proposed,Hydropower,Nam Lwe,Shan,21.617799,99.500985,0.0,170.0,32.0,130.5,397.3,760,0.0241,4.8,0.3,3.8,0.7,2.6,Low,0.0
Nam Lin,Proposed,Hydropower,Nam Lin,Shan,20.742516,100.241026,26.0,36.0,14.0,236.1,425.6,760,0.0233,4.7,0.2,2.1,1.7,2.4,Low,0.0
Lemro 2,Proposed,Hydropower,Le Mro,Rakhine,20.740347,93.268689,0.0,90.0,0.0,687.7,297.3,760,0.0279,5.6,0.3,0.7,0.4,2.3,Low,0.0
Mong Hsat,Proposed,Hydropower,Nam Hkoke,Shan,20.662222,99.375,0.0,30.0,0.0,237.3,375.6,760,0.0248,5.0,0.3,2.1,0.1,2.3,Low,0.0
Keng Yang,Proposed,Hydropower,Nam Lwe,Shan,21.3469,100.5619,0.0,70.0,41.0,187.3,470.4,760,0.0222,4.4,0.2,2.7,0.3,2.2,Low,0.0
He Kou,Proposed,Hydropower,Nam Lwe,Shan,21.341291,100.720928,0.0,138.0,68.0,196.8,462.1,760,0.0224,4.5,0.2,2.5,0.6,2.2,Low,0.0
Saing Din,Identified Sites,,,Rakhine,20.893779,92.652188,0.0,77.0,0.0,742.6,365.1,760,0.0252,5.0,0.3,0.7,0.3,2.0,Low,0.0
