# USGS completeness backfill manifest (spec 008) — frozen event-id list
# Query: earthquake.usgs.gov/fdsnws/event/1/query GeoJSON,
#   starttime=1970-01-01 endtime=2020-01-01 minmagnitude=4.0
#   minlatitude=9 maxlatitude=29 minlongitude=92 maxlongitude=102
# Filter: epicenter inside a Myanmar ADM1 polygon (pipeline geocoder);
#   spatio-temporal dedup vs the catalog (within 35s AND 250km = same event).
# Pulled 2026-07-07. 160 events. ComCat is mutable — this list is the
# authoritative record of exactly what was added; regenerate via
#   python tools/backfill_usgs.py --start 1970-01-01 --end 2020-01-01
# id,time_utc,mag,net
us2000aplr,2017-09-17 21:49:08,4.5,us
us2000asj3,2017-09-21 16:34:33,4.4,us
us1000apnq,2017-10-03 15:20:11,4.6,us
us1000aul4,2017-10-13 01:32:43,4.1,us
us2000bikw,2017-11-04 20:29:36,4.3,us
us2000bscd,2017-11-12 01:16:52,4.2,us
us2000btym,2017-11-15 01:39:21,4.0,us
us2000c3gs,2017-12-05 02:24:15,4.2,us
us2000c3h8,2017-12-05 15:50:58,4.3,us
us2000c2cj,2017-12-09 11:02:34,4.4,us
us2000cpbb,2018-01-11 18:28:38,5.2,us
us2000cpb5,2018-01-11 18:53:05,4.6,us
us2000cpaz,2018-01-11 18:55:04,4.7,us
us2000cpre,2018-01-12 07:29:48,4.3,us
us2000cpva,2018-01-13 13:51:14,4.4,us
us2000ck92,2018-01-17 07:43:28,4.5,us
us2000d4v9,2018-02-09 18:04:25,4.3,us
us2000d2hu,2018-02-15 03:28:07,4.2,us
us1000d17e,2018-03-07 20:51:53,4.4,us
us2000e1ju,2018-04-10 03:17:51,4.3,us
us1000dx90,2018-04-27 03:18:43,4.3,us
us1000dx96,2018-04-27 10:46:56,4.4,us
us1000egf2,2018-05-28 05:43:17,4.5,us
us1000erl8,2018-06-12 13:08:45,4.2,us
us1000ex34,2018-06-21 03:31:23,4.6,us
us1000f08c,2018-06-24 11:07:47,4.3,us
us2000fpmm,2018-06-27 22:46:05,4.4,us
us2000gfr0,2018-07-28 00:49:16,4.0,us
us1000g6ei,2018-08-07 21:39:50,4.4,us
us2000hgnv,2018-09-08 11:36:46,4.5,us
us1000han6,2018-10-05 09:43:16,4.2,us
us1000hw7r,2018-11-24 21:03:22,4.3,us
us1000i4ai,2018-12-04 09:44:47,4.5,us
us2000jheq,2019-01-30 23:12:59,4.0,us
us2000jnzs,2019-02-15 22:11:33,4.1,us
us2000jpmv,2019-02-17 08:22:55,4.1,us
us1000jfjm,2019-03-05 15:34:04,4.1,us
us1000jkba,2019-03-14 15:17:36,4.3,us
us1000jkdd,2019-03-16 19:23:40,4.0,us
us2000k966,2019-03-25 04:56:41,4.3,us
us2000k9nt,2019-03-26 13:52:12,4.7,us
us2000k7vt,2019-03-31 06:42:20,4.1,us
us70003en8,2019-04-21 07:01:41,4.2,us
us70003d0d,2019-04-27 16:47:56,4.4,us
us70003wcv,2019-05-29 01:54:23,4.5,us
us700048dc,2019-06-18 04:28:20,4.8,us
us7000493b,2019-07-03 05:57:40,4.5,us
us70004jl6,2019-07-13 15:08:59,4.3,us
us60004ykk,2019-07-24 10:31:13,4.0,us
us600062aj,2019-10-19 13:35:36,4.3,us
us600064cf,2019-10-20 13:12:17,4.3,us
