latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
20.632,97.327,2.0,2.4,ml,,,,,,th_12279_202408312309,2024-08-31T23:09:04.000Z,"Pacharkalo, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1725155091,1725145744,0,,"20.63,97.33",2024-08-31 23:09:04,2024-09-01 05:39:04,Shan,Hti Tan Leik,village
25.31,94.71,60.0,2.8,ml,,,,,,in_bVlwamRmQWlkLzc5NmZiQitJNGw4dz09,2024-08-31T09:42:30.000Z,,Myanmar,MM,Asia,earthquake,1725097268,1725096765,0,,"25.31,94.71",2024-08-31 09:32:45,2024-08-31 16:02:45,Saigang,Ngajang,village
20.276,97.858,5.0,2.2,ml,,,,,,th_12278_202408300303,2024-08-30T03:03:26.000Z,"Wanhat, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724990882,1724987006,0,,"20.28,97.86",2024-08-30 03:03:26,2024-08-30 09:33:26,Shan,Tin Put,village
21.733,96.554,10.0,3.7,ml,,,,,,th_12276_202408291614,2024-08-29T16:14:02.000Z,"Zayitke, Mandalay Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724948922,1724948042,0,,"21.73,96.55",2024-08-29 16:14:02,2024-08-29 22:44:02,Mandalay,Za Yit Khe,village
23.637,98.013,10.0,3.6,ml,,,,,,th_12275_202408290448,2024-08-29T04:48:52.000Z,,Myanmar,MM,Asia,earthquake,1724915534,1724906932,0,,"23.64,98.01",2024-08-29 04:48:52,2024-08-29 11:18:52,Shan,Loi Tan,village
20.385,94.951,10.0,3.8,ml,,,,,,in_M1BoMFAvWUJoT1BxeTRRNTFmNXV4dz09,2024-08-27T20:19:43.000Z,"Chauk, Magway Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724790407,1724789983,1,,"20.86,94.79",2024-08-27 20:19:43,2024-08-28 02:49:43,Magway,Sar Gi,village
24.58,95.22,10.0,3.6,ml,,,,,,in_ZDBMSVc3aVMwMEREbGhRK2tYYUhNQT09,2024-08-27T15:49:37.000Z,"Nawnghkun, Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724773682,1724773286,0,,"24.58,95.22",2024-08-27 15:41:26,2024-08-27 22:11:26,Saigang,Ton Ma Kyaing,village
25.05,94.94,107.0,3.8,ml,,,,,,in_TTh1UkszQUdYVndCdHFMd2k0aFpSZz09,2024-08-26T17:00:27.000Z,"Pinpalu, Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724691437,1724690913,0,,"25.05,94.94",2024-08-26 16:48:33,2024-08-26 23:18:33,Saigang,Gwayt Gyi,village
19.968,98.645,1.0,1.7,ml,,,,,,th_12270_202408261257,2024-08-26T12:57:46.000Z,"Kiu-kaw, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724678050,1724677066,0,,"19.97,98.65",2024-08-26 12:57:46,2024-08-26 19:27:46,Shan,Mong Kyut (Wa),village
14.437,95.922,22.0,3.9,ml,,,,,,th_12268_202408251651,2024-08-25T16:51:47.000Z,,Near South Coast of Myanmar,MM,Asia,earthquake,1724605390,1724604707,0,,"14.44,95.92",2024-08-25 16:51:47,2024-08-25 23:21:47,,Sit Kone,village
26.05,96.12,20.0,3.6,ml,,,,,,in_RTNoaFhsYzZGYUtPS3h2K1FiN21ydz09,2024-08-24T10:42:45.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724495859,1724495285,0,,"26.05,96.12",2024-08-24 10:28:05,2024-08-24 16:58:05,Saigang,Wan Ma Lar,village
19.898,97.734,1.0,2.2,ml,,,,,,th_12257_202408240802,2024-08-24T08:02:41.000Z,"Ta-hsopteng, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1724487401,1724486561,0,,"19.90,97.73",2024-08-24 08:02:41,2024-08-24 14:32:41,Shan,Wan Sa Lawng,village
