time_utc,time_mmt,latitude,longitude,depth,mag,location,country
1994-01-29 18:28:34,1994-01-30 00:58:34,24.643,94.723,93.7,4.5,,MM
1994-01-12 00:27:16,1994-01-12 06:57:16,25.138,97.261,33.0,3.9,,MM
1994-01-11 02:18:05,1994-01-11 08:48:05,25.223,97.128,31.5,4.6,,MM
1994-01-11 00:51:56,1994-01-11 07:21:56,25.231,97.203,9.9,6.1,,MM
1994-01-11 00:34:55,1994-01-11 07:04:55,25.269,97.093,33.0,3.8,,MM
1994-01-05 06:15:54,1994-01-05 12:45:54,27.012,96.584,33.0,4.1,,MM
1994-01-04 16:51:22,1994-01-04 23:21:22,26.37,95.939,88.1,4.5,,MM
