latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
25.303,95.099,80.8,5.2,mw,,,,1.1,us,usp0003k7u,2015-02-11T17:15:38.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1988-08-21 13:16:28,1988-08-21 19:46:28,Saigang,Saw Pa Ka,village
22.837,99.74,33.0,4.7,mb,,,,1.4,us,usp0003jzq,2014-11-07T00:42:40.409Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1988-08-14 17:50:52,1988-08-15 00:20:52,,Fubang,town
25.32,95.156,92.0,5.1,mw,,,,0.9,us,usp0003jyn,2015-02-11T17:15:38.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1988-08-13 19:59:51,1988-08-14 02:29:51,Saigang,Tar Na Yon,village
25.382,95.001,95.7,4.8,mb,,,,1.2,us,usp0003jsj,2014-11-07T00:42:38.961Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1988-08-08 16:14:22,1988-08-08 22:44:22,Saigang,Shangnole,village
24.47,94.566,139.4,4.6,mb,,,,0.6,us,usp0003jsa,2014-11-07T00:42:38.929Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1988-08-08 11:55:01,1988-08-08 18:25:01,Saigang,Ywar Thar,village
26.686,98.243,33.0,4.5,mb,,,,0.2,us,usp0003jrq,2014-11-07T00:42:38.807Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1988-08-07 23:23:02,1988-08-08 05:53:02,Kachin,Jahtung Au Mar,village
25.707,95.218,33.0,4.4,mb,,,,0.8,us,usp0003jr8,2014-11-07T00:42:38.714Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1988-08-07 13:04:12,1988-08-07 19:34:12,Saigang,,village
25.362,94.97,87.1,4.5,mb,,,,1.3,us,usp0003jq3,2014-11-07T00:42:38.363Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1988-08-06 06:21:42,1988-08-06 12:51:42,Saigang,Shangnole,village
25.149,95.127,90.5,7.3,mw,,,,1.1,us,usp0003jpw,2015-02-12T21:36:48.804Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1988-08-06 00:36:24,1988-08-06 07:06:24,Saigang,Ton Ma Lauk,village
21.028,94.966,119.8,4.2,mb,,,,1.1,us,usp0003jha,2014-11-07T00:42:36.378Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1988-08-01 15:22:27,1988-08-01 21:52:27,Mandalay,Ah Nauk Ohn,village
