latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city
17.934,97.612,2.0,1.7,ml,,,,,,th_12096_202406301955,2024-06-30T19:55:54.000Z,,Myanmar,MM,Asia,earthquake,1719778845,1719777354,0,,"17.93,97.61",2024-06-30 19:55:54,2024-07-01 02:25:54,Kayin,Hpa-An
21.124,99.375,1.0,1.7,ml,,,,,,th_12093_202406290036,2024-06-29T00:36:44.000Z,"Wan Na-hsai, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1719622227,1719621404,1,,"21.12,99.38",2024-06-29 00:36:44,2024-06-29 07:06:44,Shan,Kengtung
19.805,98.26,3.0,1.7,ml,,,,,,th_12092_202406282142,2024-06-28T21:42:36.000Z,"Wan Payok, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1719612586,1719610956,0,,"19.81,98.26",2024-06-28 21:42:36,2024-06-29 04:12:36,Shan,Loikaw
21.13,99.381,1.0,2.5,ml,,,,,,th_12089_202406262333,2024-06-26T23:33:23.000Z,"Wan Na-hsai, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1719445215,1719444803,1,,"21.13,99.38",2024-06-26 23:33:23,2024-06-27 06:03:23,Shan,Kengtung
23.55,93.91,10.0,3.4,ml,,,,,,in_Y25ENEhZV3ZvNXVKOUVDRW05YzZuUT09,2024-06-27T05:14:33.000Z,"Sialthaw, Chin State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1719465120,1719427195,0,,"23.55,93.91",2024-06-26 18:39:55,2024-06-27 01:09:55,Chin,Kalay
19.024,95.645,10.0,2.7,ml,,,,,,th_12085_202406251713,2024-06-25T17:13:36.000Z,"Ayadaw, Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1719338165,1719335616,0,,"19.02,95.65",2024-06-25 17:13:36,2024-06-25 23:43:36,Bago,Pyay
19.291,95.787,10.0,2.9,ml,,,,,,th_12080_202406230026,2024-06-23T00:26:26.000Z,,Myanmar,MM,Asia,earthquake,1719105561,1719102386,0,,"19.29,95.79",2024-06-23 00:26:26,2024-06-23 06:56:26,Magway,Naypyidaw
20.184,98.35,1.0,1.9,ml,,,,,,th_12081_202406230011,2024-06-23T00:11:53.000Z,,Myanmar,MM,Asia,earthquake,1719106193,1719101513,0,,"20.18,98.35",2024-06-23 00:11:53,2024-06-23 06:41:53,Shan,Loikaw
25.58,95.88,5.0,2.8,ml,,,,,,in_d0gyeThXWWVOM1AvTlRBeUdIdkpaZz09,2024-06-21T23:56:34.000Z,"Ainda, Sagaing Region, Myanmar (Burma)","West Khasi Hills, Meghalaya",MM,Asia,earthquake,1719013867,1719013185,0,,"25.58,95.88",2024-06-21 23:39:45,2024-06-22 06:09:45,Saigang,Myitkyina
21.071,99.943,1.0,1.7,ml,,,,,,th_12077_202406202123,2024-06-20T21:23:29.000Z,"Wan Hkang Ho-paw, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718919018,1718918609,1,,"21.07,99.94",2024-06-20 21:23:29,2024-06-21 03:53:29,Shan,Kengtung
21.809,99.024,10.0,3.0,ml,,,,,,th_12074_202406170951,2024-06-17T09:51:33.000Z,"Wan Hsi-hsaw, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718620144,1718617893,0,,"21.81,99.02",2024-06-17 09:51:33,2024-06-17 16:21:33,Shan,Kengtung
18.919,95.95,10.0,2.9,ml,,,,,,th_12073_202406160040,2024-06-16T00:40:01.000Z,"Shwe-eik Te, Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718501694,1718498401,0,,"18.92,95.95",2024-06-16 00:40:01,2024-06-16 07:10:01,Bago,Taungoo
20.936,97.811,5.0,2.2,ml,,,,,,th_12072_202406151919,2024-06-15T19:19:46.000Z,"Nawnghe, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718480351,1718479186,0,,"20.94,97.81",2024-06-15 19:19:46,2024-06-16 01:49:46,Shan,Taunggyi
19.612,97.683,1.0,1.9,ml,,,,,,th_12071_202406141914,2024-06-14T19:14:46.000Z,"Daw Pawtu, Kayah State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718393819,1718392486,0,,"19.61,97.68",2024-06-14 19:14:46,2024-06-15 01:44:46,Kayah,Loikaw
21.145,99.92,2.0,2.1,ml,,,,,,th_12070_202406131434,2024-06-13T14:34:28.000Z,"Wan Hsenlong, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718292365,1718289268,1,,"21.15,99.92",2024-06-13 14:34:28,2024-06-13 21:04:28,Shan,Kengtung
21.062,99.849,3.0,2.6,ml,,,,,,th_12069_202406131430,2024-06-13T14:30:38.000Z,"Yangka, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718289743,1718289038,0,,"21.06,99.85",2024-06-13 14:30:38,2024-06-13 21:00:38,Shan,Kengtung
23.53,93.96,10.0,3.6,ml,,,,,,in_dG9IUjZmRmhWdzZ3V21KQXVWTHJiZz09,2024-06-13T02:42:39.000Z,"Sialthaw, Chin State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718246291,1718245590,0,,"23.53,93.96",2024-06-13 02:26:30,2024-06-13 08:56:30,Chin,Kalay
20.314,98.187,7.0,2.1,ml,,,,,,th_12068_202406121510,2024-06-12T15:10:35.000Z,"Na-law, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718207321,1718205035,0,,"20.31,98.19",2024-06-12 15:10:35,2024-06-12 21:40:35,Shan,Loikaw
20.3,99.17,3.0,2.7,ml,,,,,,th_12067_202406121235,2024-06-12T12:35:46.000Z,"Wan Me-hai, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718196042,1718195746,0,,"20.30,99.17",2024-06-12 12:35:46,2024-06-12 19:05:46,Shan,Kengtung
19.464,97.735,4.0,1.7,ml,,,,,,th_12066_202406111406,2024-06-11T14:06:33.000Z,"Hwè-yao, Kayah State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718121017,1718114793,0,,"19.46,97.74",2024-06-11 14:06:33,2024-06-11 20:36:33,Kayah,Loikaw
20.094,97.929,10.0,2.3,ml,,,,,,th_12065_202406111301,2024-06-11T13:01:21.000Z,"Wan Kongpao, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718113751,1718110881,0,,"20.09,97.93",2024-06-11 13:01:21,2024-06-11 19:31:21,Shan,Loikaw
21.851,99.096,10.0,3.0,ml,,,,,,th_12064_202406111256,2024-06-11T12:56:13.000Z,"Wan Namtawnkang, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718111960,1718110573,0,,"21.85,99.10",2024-06-11 12:56:13,2024-06-11 19:26:13,Shan,Kengtung
20.16,98.95,1.0,2.1,ml,,,,,,th_12062_202406110525,2024-06-11T05:25:08.000Z,"Wan Mè-kin, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718097608,1718083508,1,,"20.16,98.95",2024-06-11 05:25:08,2024-06-11 11:55:08,Shan,Kengtung
20.137,98.964,2.0,2.6,ml,,,,,,th_12061_202406110522,2024-06-11T05:22:22.000Z,Mong Ton Township,Myanmar,MM,Asia,earthquake,1718084144,1718083342,0,,"20.14,98.96",2024-06-11 05:22:22,2024-06-11 11:52:22,Shan,Kengtung
20.141,98.93,2.0,1.9,ml,,,,,,th_12059_202406102147,2024-06-10T21:47:44.000Z,"Wan Mè-kin, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718056463,1718056064,1,,"20.14,98.93",2024-06-10 21:47:44,2024-06-11 04:17:44,Shan,Kengtung
20.761,98.993,1.0,2.3,ml,,,,,,th_12058_202406101839,2024-06-10T18:39:30.000Z,"Ta Pe, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718045786,1718044770,0,,"20.76,98.99",2024-06-10 18:39:30,2024-06-11 01:09:30,Shan,Kengtung
18.796,97.417,1.0,2.5,ml,,,,,,th_12057_202406101455,2024-06-10T14:55:49.000Z,"Hwè Papük, Kayah State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1718032059,1718031349,0,,"18.80,97.42",2024-06-10 14:55:49,2024-06-10 21:25:49,Kayah,Loikaw
18.945,96.328,10.0,2.9,ml,,,,,,th_12054_202406092126,2024-06-09T21:26:39.000Z,"Kanbaukkyi, Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1717968890,1717968399,0,,"18.95,96.33",2024-06-09 21:26:39,2024-06-10 03:56:39,Bago,Taungoo
20.159,98.941,2.0,1.8,ml,,,,,,th_12053_202406092050,2024-06-09T20:50:01.000Z,"Wan Mè-kin, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1717967040,1717966201,0,,"20.16,98.94",2024-06-09 20:50:01,2024-06-10 03:20:01,Shan,Kengtung
21.01,99.897,1.0,1.8,ml,,,,,,th_12052_202406091910,2024-06-09T19:10:48.000Z,"Wan Mu-hsö Hsensawmawng, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1717960870,1717960248,1,,"21.01,99.90",2024-06-09 19:10:48,2024-06-10 01:40:48,Shan,Kengtung
18.6,97.613,5.0,2.0,ml,,,,,,th_12049_202406082017,2024-06-08T20:17:11.000Z,"Panti Sakan, Kayah State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1717878427,1717877831,0,,"18.60,97.61",2024-06-08 20:17:11,2024-06-09 02:47:11,Kayah,Loikaw
18.056,95.895,10.0,2.8,ml,,,,,,th_12051_202406081653,2024-06-08T16:53:26.000Z,"Haingyu, Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1717886781,1717865606,0,,"18.06,95.90",2024-06-08 16:53:26,2024-06-08 23:23:26,Bago,Bago
24.46,95.56,17.0,3.3,ml,,,,,,in_ZURKVHdaL1RIUHJvSERFTTU0S2RpUT09,2024-06-08T12:42:35.000Z,"Naungkan, Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1717850369,1717849895,0,,"24.46,95.56",2024-06-08 12:31:35,2024-06-08 19:01:35,Saigang,Bhamo
19.69,96.997,2.0,2.4,ml,,,,,,th_12050_202406080820,2024-06-08T08:20:28.000Z,"Moe Bye, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1717886027,1717834828,0,,"19.69,97.00",2024-06-08 08:20:28,2024-06-08 14:50:28,Shan,Loikaw
