time_utc,time_mmt,latitude,longitude,depth,mag,location,country
2023-06-19 01:57:58,2023-06-19 08:27:58,15.39,96.64,10.0,3.6,,MM
2023-06-19 01:40:23,2023-06-19 08:10:23,15.2785,96.3165,4.52,5.6,,MM
2023-06-18 23:37:16,2023-06-19 06:07:16,23.57,94.33,15.0,3.5,"Mawlaik, Sagaing Region, Myanmar (Burma)",MM
2023-06-18 07:57:10,2023-06-18 14:27:10,15.86,97.635,5.0,3.0,"Panga, Mon State, Myanmar (Burma)",MM
2023-06-17 04:29:56,2023-06-17 10:59:56,22.139,98.787,10.0,3.4,"Man Nawkwa, Shan, Myanmar (Burma)",MM
2023-06-16 04:32:53,2023-06-16 11:02:53,16.307,95.52,10.0,3.5,"Gonmingyaung, Ayeyarwady, Myanmar (Burma)",MM
2023-06-15 16:15:46,2023-06-15 22:45:46,17.856,97.64,1.0,2.2,,MM
2023-06-14 20:28:18,2023-06-15 02:58:18,27.17,97.41,10.0,3.4,"Meulahde, Kachin, Myanmar (Burma)",MM
2023-06-14 20:20:45,2023-06-15 02:50:45,21.174,99.984,1.0,2.4,"Wan Hkang, Shan, Myanmar (Burma)",MM
2023-06-14 12:04:56,2023-06-14 18:34:56,25.29,96.1,10.0,3.3,"Wura, Kachin, Myanmar (Burma)",MM
2023-06-14 11:53:55,2023-06-14 18:23:55,21.125,99.861,1.0,2.1,"Yangka, Shan, Myanmar (Burma)",MM
2023-06-14 11:15:05,2023-06-14 17:45:05,24.96,96.57,9.0,3.4,"Hopin, Kachin, Myanmar (Burma)",MM
2023-06-13 20:33:22,2023-06-14 03:03:22,21.177,99.963,1.0,2.1,"Wan Hsenlong, Shan, Myanmar (Burma)",MM
2023-06-13 08:52:08,2023-06-13 15:22:08,17.78,96.63,10.0,4.1,"Ein Chay Lay Se, Bago Region, Myanmar (Burma)",MM
2023-06-13 01:14:43,2023-06-13 07:44:43,18.098,96.225,10.0,3.3,"Atet Bandayaw, Bago Region, Myanmar (Burma)",MM
2023-06-13 01:02:51,2023-06-13 07:32:51,21.131,99.929,1.0,2.5,"Wan Hsenlong, Shan, Myanmar (Burma)",MM
2023-06-12 21:23:06,2023-06-13 03:53:06,26.31,95.2,10.0,3.7,Pounyiu Noakgong,MM
2023-06-12 11:25:01,2023-06-12 17:55:01,21.269,98.684,1.0,2.7,"Ta-kaw, Shan, Myanmar (Burma)",MM
2023-06-11 11:46:50,2023-06-11 18:16:50,21.163,99.882,2.0,2.6,"Wan Hpaya-hkè, Shan, Myanmar (Burma)",MM
2023-06-11 11:03:53,2023-06-11 17:33:53,21.183,99.846,1.0,3.0,"Wan Hpaya-hkè, Shan, Myanmar (Burma)",MM
2023-06-10 05:05:44,2023-06-10 11:35:44,19.025,97.721,3.0,2.0,,MM
2023-06-09 23:44:42,2023-06-10 06:14:42,21.232,99.98,1.0,2.7,"Wan Hkang, Shan, Myanmar (Burma)",MM
2023-06-09 21:03:03,2023-06-10 03:33:03,21.19,99.921,1.0,2.3,"Wan Hpaya-hkè, Shan, Myanmar (Burma)",MM
2023-06-09 20:57:31,2023-06-10 03:27:31,21.155,99.911,2.0,2.1,"Wan Hsenlong, Shan, Myanmar (Burma)",MM
2023-06-09 19:55:28,2023-06-10 02:25:28,21.185,99.941,4.0,1.9,"Wan Hkang, Shan, Myanmar (Burma)",MM
2023-06-09 19:44:52,2023-06-10 02:14:52,21.32,100.025,3.0,3.1,"Wan Luk, Shan, Myanmar (Burma)",MM
2023-06-09 19:35:15,2023-06-10 02:05:15,21.1174,99.8612,14.854,4.4,,MM
2023-06-09 05:44:03,2023-06-09 12:14:03,25.15,96.25,10.0,3.5,He pan,MM
2023-06-08 20:35:24,2023-06-09 03:05:24,19.517,94.369,10.0,3.3,,MM
2023-06-08 17:57:34,2023-06-09 00:27:34,25.0853,96.1529,60.6,3.1,"Sanlaik, Kachin, Myanmar (Burma)",MM
2023-06-08 00:41:43,2023-06-08 07:11:43,21.117,99.964,2.0,2.3,"Wan Hsenlong, Shan, Myanmar (Burma)",MM
