latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km
22.948635,95.939613,10.0,5.52,mb,,,,,,gfz2021osnh,2021-08-02T04:29:24.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1627548415,1627547968,0,,"22.86,95.94",2021-07-29 08:39:28,2021-07-29 15:09:28,Saigang,Kanbalu,Kanbalu,Mei Za Taw,village,1.9
19.34,94.73,10.0,3.3,ml,,,,,,th_7630,2021-07-28T19:28:25.000Z,"Magway Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1627501707,1627500505,0,,"19.34,94.73",2021-07-28 19:28:25,2021-07-29 01:58:25,Magway,Thayet,Mindon,Mindon,town,0.7
19.858,98.08,2.0,2.3,ml,,,,,,th_7627,2021-07-27T19:12:45.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1627413680,1627413165,0,,"19.86,98.08",2021-07-27 19:12:45,2021-07-28 01:42:45,Shan,Langkho,Langkho,Ho-mong,town,15.1
20.575,99.932,5.0,2.2,ml,,,,,,th_7623,2021-07-26T10:47:08.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1627296835,1627296428,0,,"20.58,99.93",2021-07-26 10:47:08,2021-07-26 17:17:08,Shan,Tachileik,Tachileik,Hsi Li Mon,village,3.9
24.5629,94.4303,66.8,4.9,mb,,32.0,0.352,0.73,us,gfz2021omtq,2021-07-26T14:54:18.141Z,"Wāngjing, India","37km E of Wāngjing, India",MM,Asia,earthquake,1627276358,1627275810,1,,"24.57,94.51",2021-07-26 05:03:30,2021-07-26 11:33:30,,,,Kangkum,village,0.4
17.832,96.012,10.0,3.8,ml,,,,,,th_7616,2021-07-22T10:12:05.000Z,"Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626949619,1626948725,0,,"17.83,96.01",2021-07-22 10:12:05,2021-07-22 16:42:05,Bago,Thayarwady,Thayarwady,Nyaung Pin Zin,village,14.3
20.535,99.344,2.0,1.9,ml,,,,,,th_7615,2021-07-21T22:34:30.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626907357,1626906870,0,,"20.54,99.34",2021-07-21 22:34:30,2021-07-22 05:04:30,Shan,Monghsat,Monghsat,Mae Pang,village,6.0
20.511,99.994,1.0,1.8,ml,,,,,,th_7606,2021-07-21T03:27:27.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626839037,1626838047,0,,"20.51,99.99",2021-07-21 03:27:27,2021-07-21 09:57:27,Shan,Tachileik,Tachileik,Mae Leik Par Kaw,village,1.3
20.971,98.571,10.0,3.1,ml,,,,,,th_7605,2021-07-20T09:54:48.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626775500,1626774888,0,,"20.97,98.57",2021-07-20 09:54:48,2021-07-20 16:24:48,Shan,Loilen,Kunhing,,village,7.9
20.526,99.995,1.0,2.2,ml,,,,,,th_7603,2021-07-18T15:56:03.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626624833,1626623763,0,,"20.53,100.00",2021-07-18 15:56:03,2021-07-18 22:26:03,Shan,Tachileik,Tachileik,Mae Leik Par Kaw,village,0.4
20.342,99.481,3.0,1.5,ml,,,,,,th_7601,2021-07-16T18:55:28.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626462399,1626461728,0,,"20.34,99.48",2021-07-16 18:55:28,2021-07-17 01:25:28,Shan,Monghsat,Monghsat,Ban Hua Mae Kham,village,3.0
22.48,94.42,10.0,3.1,ml,,,,,,in_TWdPSDdTUENTc0QreEd0UWU4S1JEQT09,2021-07-15T19:21:46.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1627639309,1626376906,0,,"22.48,94.42",2021-07-15 19:21:46,2021-07-16 01:51:46,Saigang,Yinmarbin,Kani,Ku Seik,village,7.9
23.54,94.8,100.0,4.5,mb,,,,,,th_7600,2021-07-15T06:30:00.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626295450,1626294890,0,,"23.56,94.78",2021-07-14 20:34:50,2021-07-15 03:04:50,Saigang,Mawlaik,Mawlaik,Kyaung Gyi,village,8.2
22.34,94.03,44.0,4.2,mb,,,,,,us7000elzr,2021-07-15T06:28:00.000Z,"Chin State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626294451,1626293452,0,,"22.41,94.11",2021-07-14 20:10:52,2021-07-15 02:40:52,Magway,Gangaw,Gangaw,Htei Hlaw,village,6.1
22.652,94.336,10.0,3.7,ml,,,,,,th_7597,2021-07-13T23:40:48.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626220521,1626219648,0,,"22.65,94.34",2021-07-13 23:40:48,2021-07-14 06:10:48,Saigang,Kale,Mingin,Pyar,village,4.5
20.441,98.272,6.0,2.7,ml,,,,,,th_7596,2021-07-13T23:24:50.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1626219495,1626218690,0,,"20.44,98.27",2021-07-13 23:24:50,2021-07-14 05:54:50,Shan,Langkho,Mongpan,Long Kyein,village,14.3
