latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km
20.47,99.12,1.0,1.8,ml,,,,,,th_7808,2021-09-30T20:05:08.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1633032916,1633032308,0,,"20.47,99.12",2021-09-30 20:05:08,2021-10-01 02:35:08,Shan,Monghsat,Monghsat,Chaung Son,village,1.9
19.927,97.904,2.0,2.1,ml,,,,,,th_7806,2021-09-30T17:12:54.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1633022942,1633021974,0,,"19.91,97.92",2021-09-30 17:12:54,2021-09-30 23:42:54,Shan,Langkho,Langkho,Wan Sa Lawng,village,19.7
19.832,98.123,10.0,2.0,ml,,,,,,th_7805,2021-09-30T15:18:05.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1633016440,1633015085,0,,"19.83,98.12",2021-09-30 15:18:05,2021-09-30 21:48:05,Shan,Langkho,Langkho,Loi Tai Leng,town,13.7
23.02,93.82,10.0,3.8,ml,,,,,,in_MjhURzFaRlJVcDd0RTVydU10bnVyQT09,2021-09-26T11:41:00.000Z,"Chin State, Myanmar (Burma)",Myanmar-india Border Region,MM,Asia,earthquake,1632655932,1632655602,0,,"23.09,93.86",2021-09-26 11:26:42,2021-09-26 17:56:42,Chin,Falam,Falam,Simcing,village,2.6
23.9,93.8,30.0,3.4,ml,,,,,,in_ZFltK3NrdVRqRUtrMFZsY2F0TjA0dz09,2021-09-26T06:55:00.000Z,"Khuangkhan, Chin State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632639225,1632637721,0,,"23.90,93.80",2021-09-26 06:28:41,2021-09-26 12:58:41,Chin,Falam,Tonzang,Lennakot,village,0.8
18.512,97.479,1.0,2.3,ml,,,,,,th_7793,2021-09-25T09:03:23.000Z,"Pakyiko, Kayah State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632561447,1632560603,0,,"18.51,97.48",2021-09-25 09:03:23,2021-09-25 15:33:23,Kayah,Bawlake,Mese,Ho Gyit,village,8.3
20.162,97.72,1.0,2.4,ml,,,,,,th_7792,2021-09-25T06:37:47.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632552637,1632551867,0,,"20.16,97.72",2021-09-25 06:37:47,2021-09-25 13:07:47,Shan,Langkho,Mawkmai,Ti Nu,village,3.2
20.644,99.879,1.0,2.2,ml,,,,,,th_7791,2021-09-24T23:38:34.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632529049,1632526714,0,,"20.64,99.88",2021-09-24 23:38:34,2021-09-25 06:08:34,Shan,Tachileik,Tachileik,Nam Tun,village,4.9
20.488,99.487,3.0,1.3,ml,,,,,,th_7790,2021-09-24T20:30:34.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632515938,1632515434,0,,"20.49,99.49",2021-09-24 20:30:34,2021-09-25 03:00:34,Shan,Monghsat,Monghsat,Wan Kat,village,1.0
20.15,97.785,1.0,2.4,ml,,,,,,th_7788,2021-09-24T01:43:06.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632449858,1632447786,0,,"20.15,97.79",2021-09-24 01:43:06,2021-09-24 08:13:06,Shan,Langkho,Langkho,Nar Kan,village,8.6
20.171,97.699,1.0,3.0,ml,,,,,,th_7787,2021-09-23T05:34:36.000Z,Nam Lut Village,Myanmar,MM,Asia,earthquake,1632375834,1632375276,0,,"20.17,97.70",2021-09-23 05:34:36,2021-09-23 12:04:36,Shan,Langkho,Mawkmai,Kun Ma Hkay,village,1.4
20.005,97.827,1.0,2.7,ml,,,,,,th_7786,2021-09-23T04:00:13.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632370366,1632369613,0,,"20.01,97.83",2021-09-23 04:00:13,2021-09-23 10:30:13,Shan,Langkho,Langkho,Wan Sa Lawng,village,9.2
20.179,97.787,10.0,2.8,ml,,,,,,th_7785,2021-09-23T01:08:47.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632360288,1632359327,0,,"20.18,97.79",2021-09-23 01:08:47,2021-09-23 07:38:47,Shan,Langkho,Langkho,Ti Nyu,village,6.6
21.08,99.871,10.0,1.7,ml,,,,,,th_7784,2021-09-22T21:47:16.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632348459,1632347236,0,,"21.08,99.87",2021-09-22 21:47:16,2021-09-23 04:17:16,Shan,Kengtung,Kengtung,Yang Kyaw (Lower),village,1.7
20.148,97.704,3.0,2.7,ml,,,,,,th_7783,2021-09-22T21:06:20.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632345122,1632344780,1,,"20.15,97.70",2021-09-22 21:06:20,2021-09-23 03:36:20,Shan,Langkho,Mawkmai,Nar Lawt,village,2.3
20.193,97.729,8.0,4.0,ml,,,,,,th_7782,2021-09-22T20:56:56.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632344524,1632344216,0,,"20.19,97.73",2021-09-22 20:56:56,2021-09-23 03:26:56,Shan,Langkho,Mawkmai,Ti Nu,village,2.8
20.099,97.887,1.0,2.7,ml,,,,,,th_7780,2021-09-22T15:02:37.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632323405,1632322957,0,,"20.10,97.89",2021-09-22 15:02:37,2021-09-22 21:32:37,Shan,Langkho,Langkho,Pong Lawng,village,9.1
20.181,97.967,10.0,3.0,ml,,,,,,th_7779,2021-09-22T13:24:46.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632317440,1632317086,0,,"20.18,97.97",2021-09-22 13:24:46,2021-09-22 19:54:46,Shan,Langkho,Langkho,Pang Ta Wi,village,1.6
21.076,97.126,10.0,2.9,ml,,,,,,th_7778,2021-09-22T06:46:34.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632294061,1632293194,0,,"21.08,97.13",2021-09-22 06:46:34,2021-09-22 13:16:34,Shan,Taunggyi,Taunggyi,Nar Lin,village,1.9
25.2231,94.8718,79.04,5.1,mb,,89.0,1.117,0.67,us,gfz2021skis,2021-09-20T10:16:46.758Z,,"61km SE of Phek, India",MM,Asia,earthquake,1632080099,1632079444,1,,"25.19,94.89",2021-09-19 19:24:04,2021-09-20 01:54:04,Saigang,Hkamti,Lay Shi,Thaya,village,10.8
20.5437,93.9428,7.8,3.7,ml,,,,,,in_VHZ2aDl5SENEQ21XMHhOelFEVUUxQT09,2021-09-19T18:17:41.000Z,"Magway Region, Myanmar (Burma)","257km SW of Burma, Myanmar",MM,Asia,earthquake,1632075795,1632075461,0,,"20.54,93.94",2021-09-19 18:17:41,2021-09-20 00:47:41,Magway,Minbu,Sidoktaya,Chi Chaung,village,22.3
20.508,94.008,40.0,3.8,ml,,,,,,th_7772,2021-09-19T17:30:50.000Z,"Magway Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632073189,1632072650,0,,"20.51,94.01",2021-09-19 17:30:50,2021-09-20 00:00:50,Magway,Minbu,Sidoktaya,Chi Chaung,village,17.6
20.389,100.096,4.0,1.8,ml,,,,,,th_7771,2021-09-19T09:55:01.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632047090,1632045301,0,,"20.39,100.10",2021-09-19 09:55:01,2021-09-19 16:25:01,Shan,Tachileik,Tachileik,Mouangkham,village,1.8
19.855,98.315,10.0,1.4,ml,,,,,,th_7769,2021-09-18T20:01:45.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1632001386,1631995305,0,,"19.86,98.32",2021-09-18 20:01:45,2021-09-19 02:31:45,Shan,Langkho,Langkho,,village,5.8
20.14,97.719,6.0,2.2,ml,,,,,,th_7768,2021-09-17T23:17:36.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631921547,1631920656,0,,"20.14,97.72",2021-09-17 23:17:36,2021-09-18 05:47:36,Shan,Langkho,Mawkmai,Nar Lawt,village,4.1
18.013,97.701,1.0,2.5,ml,,,,,,th_7766,2021-09-16T15:18:22.000Z,"Kayin State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631806116,1631805502,0,,"18.01,97.70",2021-09-16 15:18:22,2021-09-16 21:48:22,Kayin,Hpapun,Hpapun,Mae Sam Laep,village,5.6
23.6514,94.5667,92.11,4.3,mb,,106.0,0.625,0.51,us,th_7765,2021-09-17T01:43:09.040Z,"Mawlaik, Myanmar","16km E of Mawlaik, Myanmar",MM,Asia,earthquake,1631768234,1631767783,0,,"23.50,94.70",2021-09-16 04:49:43,2021-09-16 11:19:43,Saigang,Mawlaik,Mawlaik,Kaung Kway,village,5.5
23.98,94.42,70.0,3.8,ml,,,,,,in_VGlzb3BoaGd1M3BXRU5SY3gzNkNRdz09,2021-09-15T02:45:00.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631673619,1631673314,0,,"23.82,94.28",2021-09-15 02:35:14,2021-09-15 09:05:14,Saigang,Tamu,Tamu,Put Thar,village,11.2
20.61,99.433,1.0,2.1,ml,,,,,,th_7761,2021-09-14T23:20:16.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631663222,1631661616,0,,"20.61,99.43",2021-09-14 23:20:16,2021-09-15 05:50:16,Shan,Monghsat,Monghsat,War Kaw Day (2),village,1.2
20.768,98.418,18.0,3.0,ml,,,,,,th_7757,2021-09-14T11:24:18.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631619260,1631618658,0,,"20.77,98.42",2021-09-14 11:24:18,2021-09-14 17:54:18,Shan,Langkho,Mongnai,,village,2.8
18.467,94.78,10.0,3.4,ml,,,,,,th_7754,2021-09-13T22:16:41.000Z,"Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631572204,1631571401,0,,"18.47,94.78",2021-09-13 22:16:41,2021-09-14 04:46:41,Bago,Pyay,Padaung,Ma Thon,village,15.6
24.88,95.1,10.0,3.4,ml,,,,,,in_M1lXdFg4aHNPQklMYjJSYndEemxudz09,2021-09-12T19:50:00.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631475734,1631475381,0,,"24.83,95.32",2021-09-12 19:36:21,2021-09-13 02:06:21,Saigang,Hkamti,Homalin,Moe Lin,village,2.2
16.116,96.414,4.0,3.8,ml,,,,,,th_7748,2021-09-12T05:23:03.000Z,Myanmar (Burma),Near South Coast of Myanmar,MM,Asia,earthquake,1631426072,1631424183,0,,"16.12,96.41",2021-09-12 05:23:03,2021-09-12 11:53:03,,,,Ngwe Thaung Yan,village,34.0
19.374,97.13,9.0,2.4,ml,,,,,,th_7744,2021-09-10T03:48:51.000Z,"Kayah State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631246257,1631245731,0,,"19.37,97.13",2021-09-10 03:48:51,2021-09-10 10:18:51,Kayah,Loikaw,Hpruso,Law Htaw Ta Naw,village,1.1
16.806,94.867,10.0,3.5,ml,,,,,,th_7739,2021-09-07T20:43:16.000Z,"Ayeyarwady, Myanmar (Burma)",Near South Coast of Myanmar,MM,Asia,earthquake,1631048073,1631047396,0,,"16.81,94.87",2021-09-07 20:43:16,2021-09-08 03:13:16,Ayeyarwady,Pathein,Kangyidaunt,Ngu Kaing,village,0.4
20.662,99.31,1.0,2.2,ml,,,,,,th_7737,2021-09-07T08:01:20.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1631002132,1631001680,0,,"20.66,99.31",2021-09-07 08:01:20,2021-09-07 14:31:20,Shan,Monghsat,Monghsat,Bar Htan,village,1.7
21.627,100.885,10.0,2.6,ml,,,,,,th_7735,2021-09-06T00:53:38.000Z,"Shan, Myanmar (Burma)",Myanmar - China Border Region,MM,Asia,earthquake,1630891378,1630889618,1,,"21.43,100.55",2021-09-06 00:53:38,2021-09-06 07:23:38,Shan,Tachileik,Mongyawng,Mong Nang,village,1.3
20.693,100.069,1.0,1.8,ml,,,,,,th_7730,2021-09-04T17:39:11.000Z,"Mong Lin, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1630777691,1630777151,1,,"20.69,100.07",2021-09-04 17:39:11,2021-09-05 00:09:11,Shan,Tachileik,Tachileik,Par Nawt (Haung),village,0.7
26.49,96.5,111.0,4.5,mb,,,,,,ems_202109_1031753_a2696,2021-09-05T12:14:00.000Z,"Kachin, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1630758093,1630757116,0,,"26.62,96.40",2021-09-04 12:05:16,2021-09-04 18:35:16,Kachin,Myitkyina,Tanai,Daik Hpar,village,1.3
20.9,96.015,10.0,3.3,ml,,,,,,th_7724,2021-09-02T08:31:32.000Z,"Mandalay Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1630572570,1630571492,0,,"20.90,96.02",2021-09-02 08:31:32,2021-09-02 15:01:32,Mandalay,Meiktila,Thazi,Ywar Gyi,village,1.4
20.962,98.049,10.0,2.3,ml,,,,,,th_7721,2021-09-01T20:55:28.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1630530404,1630529728,0,,"20.96,98.05",2021-09-01 20:55:28,2021-09-02 03:25:28,Shan,Loilen,Nansang,Nar Law,village,5.7
22.208,97.74,10.0,3.5,ml,,,,,,th_7719,2021-09-01T04:09:42.000Z,"Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1630470594,1630469382,0,,"22.21,97.74",2021-09-01 04:09:42,2021-09-01 10:39:42,Shan,Kyaukme,Hsipaw,Nar Hpwei,village,5.1
