latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt
21.0920000,99.9550000,1.0000,2.30,ml,,,,,,th_9629_202207312357,2022-07-31T23:57:21.000Z,"Wan Hsenlong, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659314733,1659311841,1,,"21.09,99.96",2022-07-31 23:57:21,2022-08-01 06:27:21
21.1930000,99.9690000,5.0000,2.30,ml,,,,,,th_9628_202207312059,2022-07-31T20:59:38.000Z,"Wan Hkang, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659301552,1659301178,1,,"21.19,99.97",2022-07-31 20:59:38,2022-08-01 03:29:38
21.2360000,99.9230000,1.0000,2.10,ml,,,,,,th_9626_202207312013,2022-07-31T20:13:59.000Z,"Wan Hpaya-hkè, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659299034,1659298439,1,,"21.24,99.92",2022-07-31 20:13:59,2022-08-01 02:43:59
21.1940000,99.9840000,4.0000,3.20,ml,,,,,,th_9625_202207311933,2022-07-31T19:33:07.000Z,"Wan Hkang, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659296791,1659295987,1,,"21.19,99.98",2022-07-31 19:33:07,2022-08-01 02:03:07
21.1490000,99.9170000,2.0000,2.50,ml,,,,,,th_9624_202207311900,2022-07-31T19:00:42.000Z,"Wan Hsenlong, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659294508,1659294042,1,,"21.15,99.92",2022-07-31 19:00:42,2022-08-01 01:30:42
21.2080000,99.9450000,2.0000,2.10,ml,,,,,,th_9623_202207311825,2022-07-31T18:25:00.000Z,"Wan Hkang, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659292205,1659291900,1,,"21.21,99.95",2022-07-31 18:25:00,2022-08-01 00:55:00
21.1870000,99.9700000,2.0000,2.40,ml,,,,,,th_9619_202207311808,2022-07-31T18:08:51.000Z,"Wan Hkang, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659291222,1659290931,1,,"21.19,99.97",2022-07-31 18:08:51,2022-08-01 00:38:51
21.1150000,100.0160000,2.0000,2.00,ml,,,,,,th_9618_202207311804,2022-07-31T18:04:32.000Z,"Wan Hsenlong, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659291228,1659290672,0,,"21.12,100.02",2022-07-31 18:04:32,2022-08-01 00:34:32
21.1580000,99.9490000,3.0000,2.10,ml,,,,,,th_9620_202207311748,2022-07-31T17:48:09.000Z,"Wan Hsenlong, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659291466,1659289689,0,,"21.16,99.95",2022-07-31 17:48:09,2022-08-01 00:18:09
21.1690000,99.9310000,2.0000,2.00,ml,,,,,,th_9617_202207311708,2022-07-31T17:08:03.000Z,"Wan Hsenlong, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1659287969,1659287283,1,,"21.17,99.93",2022-07-31 17:08:03,2022-07-31 23:38:03
