latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km,shakemapURL,shakemapLastUpdated
22.802,94.093,54.6,4.3,mb,51.0,69.0,,0.98,us,usp000k0aj,2014-11-07T01:50:35.451Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2013-04-18 03:00:00,2013-04-18 09:30:00,Saigang,Kale,Kale,Tin Thar,village,1.8,,
19.223,95.646,6.0,5.4,mww,388.0,19.9,,0.74,us,usb000fz1t,2022-07-24T22:19:08.131Z,,"48 km ESE of Myaydo, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-03 16:35:45,2013-04-03 23:05:45,Magway,Thayet,Aunglan,Ye Din,village,0.6,,
19.25,95.748,10.0,4.6,mb,67.0,35.0,,0.97,us,usb000fzej,2014-11-07T01:50:30.123Z,,"57 km ESE of Myaydo, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-03 23:00:22,2013-04-04 05:30:22,Magway,Thayet,Aunglan,Ka Thit San,village,2.9,,
19.247,95.745,10.7,5.1,mwc,338.0,19.0,,1.07,us,usb000fzn7,2022-05-03T16:13:09.798Z,,"57 km ESE of Myaydo, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-04 15:16:26,2013-04-04 21:46:26,Magway,Thayet,Aunglan,Ka Thit San,village,2.4,,
19.243,95.611,10.0,4.6,mb,68.0,54.7,,0.71,us,us2013nqd3,2014-11-07T01:50:30.595Z,,"43 km ESE of Myaydo, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-05 06:44:32,2013-04-05 13:14:32,Magway,Thayet,Aunglan,Inn Gyi Kone,village,0.7,,
18.787,97.479,10.0,4.6,mb,54.0,92.1,,1.07,us,usb000g4i5,2014-11-07T01:50:32.707Z,,Myanmar-Thailand border region,MM,Asia,earthquake,0,0,1,,,2013-04-10 22:05:52,2013-04-11 04:35:52,Kayah,Bawlake,Mese,Nan Pin Lein,village,6.5,,
19.258,95.623,9.9,5.5,mb,325.0,23.0,,0.89,us,usb000g4nw,2022-05-03T16:13:59.456Z,,"44 km ESE of Myaydo, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-11 03:47:02,2013-04-11 10:17:02,Magway,Thayet,Aunglan,Inn Lel,village,0.7,,
19.647,95.887,16.2,4.3,mb,39.0,72.0,,0.77,us,usb000g5l5,2014-11-07T01:50:33.156Z,,"27 km WSW of Nay Pyi Taw, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-12 06:32:41,2013-04-12 13:02:41,Mandalay,Det Khi Na,Lewe,Kyee Taung,village,3.3,,
19.281,95.759,10.1,4.6,mb,101.0,44.0,,0.81,us,usb000g5mv,2014-11-07T01:50:33.188Z,,"57 km E of Myaydo, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-12 08:42:03,2013-04-12 15:12:03,Magway,Thayet,Aunglan,Ngar Yant Kyaw,village,1.3,,
22.999,94.028,74.3,4.6,mb,37.0,82.3,,0.77,us,usb000gd6n,2014-11-07T01:50:37.314Z,,"37 km ENE of Falam, Myanmar",MM,Asia,earthquake,0,0,1,,,2013-04-21 19:35:38,2013-04-22 02:05:38,Sagaing,Kale,Kale,Chaung Gwa,village,0.3,,
