latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km,shakemapURL,shakemapLastUpdated
18.9383,94.3804,52.79,4.3,mb,,171.0,3.09,0.78,us,us1000jmhe,2019-03-27T21:23:42.040Z,"Prome, Burma","89km W of Prome, Burma",MM,Asia,earthquake,1553721834,1553704761,1,,,2019-03-27 16:39:21,2019-03-27 23:09:21,Rakhine,Thandwe,Toungup,Tat,village,6.2,,
23.4028,98.4577,15.59,4.6,mb,,136.0,2.353,0.61,us,us1000jlgz,2019-03-25T20:42:34.040Z,"Nansan, China","56km SW of Nansan, China",MM,Asia,earthquake,1553546561,1553544286,1,,,2019-03-25 20:04:46,2019-03-26 02:34:46,Shan,Lashio,Kunlong,曼囊隆,village,5.1,,
16.13,97.01,10.0,3.9,ml,,,,,,ems_201903_753438,2019-03-25T09:05:00.000Z,,Near South Coast Of Myanmar,MM,Asia,earthquake,1553504764,1553503403,1,,,2019-03-25 08:43:23,2019-03-25 15:13:23,,,,Zee Kone,village,52.0,,
22.83,93.87,40.0,4.3,mb,,,,,,ems_201903_752393,2019-03-21T08:11:00.000Z,"Chin State, Myanmar (Burma)",Myanmar-india Border Region,MM,Asia,earthquake,1553126387,1553125062,1,,,2019-03-20 23:37:42,2019-03-21 06:07:42,Chin,Falam,Falam,Hmungsum,village,1.0,,
21.96,94.59,100.0,4.7,ml,,,,,,ems_201903_751747,2019-03-19T07:42:00.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1552930178,1552928070,1,,,2019-03-18 16:54:30,2019-03-18 23:24:30,Saigang,Yinmarbin,Pale,Hpa Lan Pin,village,2.1,,
23.0247,93.9379,78.57,4.5,mb,,61.0,0.492,0.68,us,ems_201903_750574,2019-03-15T05:47:32.040Z,"Chin State, Myanmar (Burma)","28km ENE of Falam, Burma",MM,Asia,earthquake,1552487456,1552484644,1,,,2019-03-13 13:44:04,2019-03-13 20:14:04,Chin,Falam,Falam,Webula,town,2.7,,
26.5453,98.3488,10.69,4.1,mb,,134.0,7.205,0.99,us,us1000jfjm,2019-05-24T21:21:36.040Z,,"158 km ENE of Sarupathar, India",MM,Asia,earthquake,0,0,1,,,2019-03-05 15:34:04,2019-03-05 22:04:04,Kachin,Myitkyina,Tsawlaw,Hpawng Jar,village,1.2,,
26.1211,96.9489,45.71,4.3,mb,,84.0,3.05,0.62,us,us1000jkba,2019-06-01T21:24:28.040Z,,"16 km SE of Sarupathar, India",MM,Asia,earthquake,0,0,1,,,2019-03-14 15:17:36,2019-03-14 21:47:36,Kachin,Myitkyina,Tanai,,village,12.9,,
24.0646,94.6842,96.09,4.0,mb,,127.0,0.387,1.22,us,us1000jkdd,2019-06-01T21:24:29.040Z,,"54 km NNE of Mawlaik, Myanmar",MM,Asia,earthquake,0,0,1,,,2019-03-16 19:23:40,2019-03-17 01:53:40,Sagaing,Mawlaik,Paungbyin,Mar Thee,village,7.6,,
22.1287,94.167,86.04,4.3,mb,,146.0,0.732,0.36,us,us2000k966,2019-06-06T18:54:26.040Z,,"80 km SE of Hakha, Myanmar",MM,Asia,earthquake,0,0,1,,,2019-03-25 04:56:41,2019-03-25 11:26:41,Magway,Gangaw,Gangaw,Lel Ma,village,1.6,,
20.6982,93.4157,35.0,4.7,mb,,223.0,1.941,0.32,us,us2000k9nt,2019-06-08T20:51:33.040Z,,"81 km NE of Sittwe, Myanmar",MM,Asia,earthquake,0,0,1,,,2019-03-26 13:52:12,2019-03-26 20:22:12,Rakhine,Mrauk-U,Minbya,Wun Chaung Wa,village,9.6,,
25.3484,95.5572,125.53,4.1,mb,,58.0,1.595,0.5,us,us2000k7vt,2019-06-08T20:51:26.040Z,,"111 km ESE of Phek, India",MM,Asia,earthquake,0,0,1,,,2019-03-31 06:42:20,2019-03-31 13:12:20,Sagaing,Hkamti,Hkamti,,village,18.9,,
