latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt
20.8410000,97.9750000,4.0000,2.90,ml,,,,,,th_12452_202410311528,2024-10-31T15:28:52.000Z,"Wan Kang, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730389492,1730388532,0,,"20.84,97.98",2024-10-31 15:28:52,2024-10-31 21:58:52
18.6650000,97.2550000,5.0000,2.20,ml,,,,,,th_12451_202410311123,2024-10-31T11:23:14.000Z,"Dwedo, Kayin State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730374877,1730373794,0,,"18.67,97.26",2024-10-31 11:23:14,2024-10-31 17:53:14
16.8650000,98.3650000,2.0000,2.30,ml,,,,,,th_12449_202410301249,2024-10-30T12:49:55.000Z,"Hpakalu, Kayin State, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730297625,1730292595,0,,"16.87,98.37",2024-10-30 12:49:55,2024-10-30 19:19:55
21.4610000,99.5370000,4.0000,2.80,ml,,,,,,th_12448_202410300626,2024-10-30T06:26:05.000Z,"Wan Pingfun, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730273635,1730269565,0,,"21.46,99.54",2024-10-30 06:26:05,2024-10-30 12:56:05
20.8750000,100.0160000,1.0000,2.60,ml,,,,,,th_12447_202410300623,2024-10-30T06:23:50.000Z,"Wan Hwè-sai-kao, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730273185,1730269430,0,,"20.88,100.02",2024-10-30 06:23:50,2024-10-30 12:53:50
20.1640000,97.8890000,3.0000,1.90,ml,,,,,,th_12444_202410291708,2024-10-29T17:08:49.000Z,"Wan Hat, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730225440,1730221729,0,,"20.16,97.89",2024-10-29 17:08:49,2024-10-29 23:38:49
18.0880000,96.6720000,1.0000,2.00,ml,,,,,,th_12443_202410291638,2024-10-29T16:38:59.000Z,"Pein Za Loke, Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730225384,1730219939,0,,"18.09,96.67",2024-10-29 16:38:59,2024-10-29 23:08:59
19.3280000,96.3980000,10.0000,2.90,ml,,,,,,th_12442_202410290804,2024-10-29T08:04:37.000Z,"Sibaing, Bago Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730190203,1730189077,0,,"19.33,96.40",2024-10-29 08:04:37,2024-10-29 14:34:37
20.7150000,98.0520000,10.0000,2.40,ml,,,,,,th_12440_202410281914,2024-10-28T19:14:45.000Z,"Loi-lam, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730144638,1730142885,0,,"20.72,98.05",2024-10-28 19:14:45,2024-10-29 01:44:45
20.9850000,99.9520000,3.0000,2.30,ml,,,,,,th_12439_202410280143,2024-10-28T01:43:58.000Z,"Wan Hkang Ho-paw, Shan, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,1730080547,1730079838,0,,"20.99,99.95",2024-10-28 01:43:58,2024-10-28 08:13:58
