time_utc,time_mmt,latitude,longitude,depth,mag,location,country
2002-07-22 12:26:14,2002-07-22 18:56:14,24.749,94.542,74.0,3.9,,MM
2002-07-18 15:52:50,2002-07-18 22:22:50,21.2,98.266,33.0,4.5,,MM
2002-07-18 09:50:38,2002-07-18 16:20:38,21.232,98.384,33.0,4.2,,MM
2002-07-14 02:17:54,2002-07-14 08:47:54,23.518,93.901,79.5,4.6,,MM
2002-07-14 01:15:11,2002-07-14 07:45:11,23.92,94.225,65.4,4.7,,MM
2002-07-07 02:47:10,2002-07-07 09:17:10,22.459,94.672,132.1,3.9,,MM
2002-07-04 01:03:36,2002-07-04 07:33:36,22.911,94.655,113.7,4.6,,MM
