name,name_en,place,lat,lon
เชียงใหม่,Chiang Mai,city,18.7883,98.9859
ลำปาง,Lampang,city,18.2899,99.4959
เถิน,Thoen,town,17.6052,99.2095
ตันทอน,Thonton,village,17.5132,99.1467
布树,Bushu,village,27.709,100.8509
红桥镇,Hongqiao,town,27.4321,100.7956
关丫口,Guanyakou,village,26.7723,100.789
清水河,Qingshuihe,village,26.8195,100.827
สันกำแพง,San Kamphaeng,town,18.7451,99.1195
昌宁县,Changning,city,24.8257,99.6104
大姚县,Dayao,city,25.7247,101.3221
华坪县,Huaping,city,26.6319,101.2629
临沧市,Lincang,city,23.8885,100.0879
南华县,Nanhua,city,25.1952,101.272
南涧县,Nanjian,city,25.0432,100.5146
木里县 སྨི་ལི།,Muli,city,27.9292,101.2787
瑞丽市,Ruili,city,24.0204,97.8554
腾冲市,Tengchong,city,25.0284,98.4937
普洱市,Pu'er,city,22.8272,100.965
祥云县,Xiangyun,city,25.4869,100.5491
姚安县,Yao'an,city,25.5075,101.2401
永德县,Yongde,city,24.0277,99.2573
永胜县,Yongsheng,city,26.693,100.7487
云龙县,Yunlong,city,25.8883,99.3691
康普乡,Kangpu,town,27.6009,99.0175
霞若傈僳族乡,Xiaruo,town,27.7825,99.301
小中甸镇,Xiaozhongdian,town,27.5576,99.8123
巴迪乡,Badi,town,27.8724,99.0051
叶枝镇,Yezhi,town,27.7024,99.0465
拖顶傈僳族乡,Tuoding,town,27.7708,99.4262
五境乡,Wujing,town,27.6997,99.4615
燕门乡,Yanmen,town,28.0787,98.9202
云岭乡,Yunling,town,28.2968,98.8689
玉龙县,Yulong,city,26.8265,100.235
古城区,Gucheng,city,26.8806,100.2246
Lomasu,,village,22.1039,92.8481
Bunglang,,village,22.3554,92.7581
Damdep,Damdep,village,22.2947,92.6066
Fursuril,Fursuril,village,22.3851,92.6106
Lawngtlai,,town,22.528,92.8981
Amobyu,,village,22.4347,92.9644
Thingeal,,village,22.4922,92.7258
Chawngte,Chawngte,village,22.6217,92.646
Sangau,,village,22.7387,93.0496
Theriat,,village,22.8501,92.7947
Lunglei,,town,22.8932,92.747
Demagiri,Demagiri,village,22.9138,92.4473
Lungsen,,village,23.0556,92.7015
Thingsei,,village,22.9261,93.1034
Vantaiphai,,village,23.1302,93.0635
Farkawn,,village,23.0791,93.2947
Holangchari,,village,23.1118,92.5071
Lungchem,,village,23.1263,92.6871
Vaphai,,village,23.1481,93.3254
Lungdar,,village,23.2128,93.0843
Leitham,,village,23.2428,93.2706
Thenzawl,,town,23.2813,92.7753
Laisawrai,,village,23.2659,92.4755
Sabual,,village,23.4604,92.5974
Champhai,Champhai,town,23.4787,93.3199
Phuldungsei,Phuldungsei,village,23.4745,92.4201
N. Kawbung,,village,23.5444,93.3112
Aibawk,Aibawk,village,23.5524,92.699
Hnahlan,,village,23.6975,93.3822
Phalleng,,village,23.6981,92.4893
Serkmun,Serkmun,village,23.7568,92.3568
Aizawl,Aizawl,city,23.7278,92.718
Lengpui,,town,23.8314,92.6288
Sakhan,,village,23.8076,92.1581
Sabual,,village,23.8638,92.2633
Phullen,,village,23.8487,93.045
Vanghmun,,village,23.9884,92.2788
Teikhang,,village,23.9486,93.3022
Twakzawl,,village,23.9536,92.7766
Behiang,,village,23.9893,93.5532
Damchara,,village,24.2382,92.2942
Pecharthal,,village,24.1894,92.1028
Thingsat,,village,24.2293,92.9552
Bikhawatlir,,village,24.2892,92.6955
Thanlon,,village,24.2682,93.2832
Manipur Bagan,,village,24.3962,92.5625
Tinsong,,village,24.2898,93.1969
Chhimluang,,village,24.3876,92.7176
Dengarband,,village,24.401,92.3017
Katlicherra,,town,24.4691,92.5582
Palel,,town,24.4508,94.0263
Songsang,,village,24.4851,93.3091
Umednagar,,village,24.5671,92.6165
Kangkum,,village,24.6013,94.407
Pathar Kandi,,village,24.6055,92.3193
Thoubal,,town,24.6387,93.9969
Bishnupur,,town,24.6267,93.76
Nungba,Nungba,village,24.7435,93.4175
Meiti,,village,24.7,94.4823
Hailakandi,,town,24.6847,92.5646
Yairepok,,village,24.6771,94.047
Sonāimukh,Sonaimukh,village,24.7256,92.8812
Oinamlong,Oinamlong,village,24.7422,93.2689
Silkuri,,village,24.7271,92.784
Nilambazar,,village,24.7462,92.3507
Lakhipur,Lakhipur,town,24.7928,93.0091
Karimganj,,town,24.8647,92.3681
Kamjong,,town,24.8578,94.5108
Udharbond,Udarband,village,24.882,92.8818
Khebuching,,village,24.9227,93.5422
Kumbhir,,village,24.9399,92.9653
Haflong,Haflong,town,25.1645,93.0176
Mahur,Mahur,town,25.1831,93.1134
Karong,,village,25.3033,94.0451
Sutnga,,village,25.3702,92.4368
Maibong,,town,25.3021,93.1333
Chingai,,village,25.3169,94.4984
Tening,,village,25.3499,93.5982
Khliehriat,,town,25.3587,92.367
Chingjaroi Khullen,,village,25.4015,94.4185
Jowai,,town,25.4435,92.1973
Kharasom,,village,25.4537,94.4666
Langting,,town,25.4972,93.1136
Chingmai Khullen,,village,25.4687,94.3716
Barato,,village,25.6053,92.4525
Lungding,,village,25.5987,93.1781
Nartiang,,village,25.5737,92.217
Pedi,,village,25.5955,93.8292
Hatikhali,,village,25.6419,93.1028
Meluri,,town,25.6845,94.6285
Khonoma,,village,25.6543,94.022
Phek,,town,25.7098,94.4633
Akhegwo,,village,25.7244,94.6815
Umroi,,village,25.7139,92.0397
Lumding,,town,25.7535,93.1732
Kheroni,,village,25.8494,92.8764
Kseh Kyntang,,village,25.8335,92.276
Lanka,,town,25.9207,92.9503
Burakek,,village,26.003,93.1638
Wokha,,town,26.0963,94.2544
Shamator Town,,town,26.0714,94.8745
Kathiatoli,,village,26.1857,92.7377
Sanis,,village,26.2059,94.2018
Santipur,,village,26.2973,93.8463
Nagaon,,city,26.3482,92.6858
Mangaldoi,,town,26.4363,92.0307
Dhing,,town,26.4582,92.4819
Moirabari,,town,26.4549,92.4229
Golaghat,,city,26.5108,93.9744
Bagori,,village,26.5778,93.2788
Titabor,,town,26.5925,94.1952
Singri,,village,26.6127,92.4808
Changtongya,,town,26.5349,94.6797
Tezpur,,town,26.623,92.7976
Dhekiajuli,,village,26.7063,92.4823
Jamugurihat,,village,26.723,92.9308
Mon,,town,26.7253,95.0304
Udalguri,Udalguri,town,26.7504,92.0977
Amguri,,town,26.8098,94.525
Niaunu,,village,26.8232,95.298
Gingia,,village,26.8291,93.2431
Teok,,village,26.8349,94.418
Chariduar,,town,26.8629,92.7809
Gohpur,,town,26.8815,93.6138
Khairabari,,village,26.8492,92.1245
