latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt
23.1330000,95.7360000,10.0000,4.40,mb,15,148.8,,1.14,us,usp000drp8,2014-11-07T01:25:58.652Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-05-27 14:58:50,2005-05-27 21:28:50
17.4360000,95.0100000,60.5000,4.10,mb,18,99,,0.84,us,usp000dr1v,2014-11-07T01:25:55.356Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-05-17 17:27:28,2005-05-17 23:57:28
24.9800000,95.6760000,10.0000,0.00,,7,161.2,,0.93,us,usp000dprk,2014-11-07T01:25:47.633Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-05-02 08:57:56,2005-05-02 15:27:56
15.8220000,96.1940000,10.0000,4.70,mb,76,79.5,,1.11,us,usp000dpjq,2014-11-07T01:25:42.479Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2005-04-30 04:06:13,2005-04-30 10:36:13
26.7410000,96.2460000,87.7000,3.90,mb,10,151.4,,1.34,us,usp000dpjf,2014-11-07T01:25:42.466Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-04-30 02:41:10,2005-04-30 09:11:10
23.7070000,94.4780000,90.1000,4.50,mb,34,89.1,,1.07,us,usp000dns2,2014-11-07T01:25:38.315Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-04-19 14:04:20,2005-04-19 20:34:20
22.4280000,94.4460000,111.6000,4.60,mb,13,163,,0.8,us,usp000dn5w,2014-11-07T01:25:34.423Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-04-12 14:12:08,2005-04-12 20:42:08
24.3450000,94.5490000,90.8000,3.50,mb,10,115.4,,0.65,us,usp000dkyw,2014-11-07T01:25:27.337Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-04-02 01:55:40,2005-04-02 08:25:40
25.7460000,96.2580000,87.0000,0.00,,16,159.8,,0.57,us,usp000dttk,2014-11-07T01:26:17.116Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-06-24 10:31:38,2005-06-24 17:01:38
22.5460000,94.5430000,88.6000,4.40,mb,14,165.6,,0.92,us,usp000dtj7,2014-11-07T01:26:15.857Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-06-20 18:22:16,2005-06-21 00:52:16
26.0720000,95.6910000,83.7000,4.90,mb,49,54.9,,1.04,us,usp000dsye,2014-11-07T01:26:12.316Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2005-06-14 11:37:19,2005-06-14 18:07:19
26.4540000,96.2490000,91.3000,4.10,mb,21,105.2,,1.13,us,usp000dss2,2014-11-07T01:26:10.954Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-06-12 03:42:33,2005-06-12 10:12:33
22.6530000,94.3850000,93.3000,0.00,,15,151.2,,0.86,us,usp000dsab,2014-11-07T01:26:07.790Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-06-05 21:40:26,2005-06-06 04:10:26
16.0290000,94.0220000,10.0000,4.20,mb,16,254.6,,0.43,us,usp000ds6a,2014-11-07T01:26:05.814Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2005-06-04 05:57:54,2005-06-04 12:27:54
25.2020000,96.2850000,78.0000,0.00,,7,164.4,,1.06,us,usp000ds4r,2014-11-07T01:26:05.464Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-06-03 13:34:55,2005-06-03 20:04:55
21.0150000,94.9860000,120.3000,5.00,mwc,313,33.8,,0.69,us,usp000dvc2,2015-02-11T17:18:04.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-07-17 01:04:44,2005-07-17 07:34:44
19.7870000,94.2010000,65.0000,3.90,mb,8,326.4,,1,us,usp000dv9b,2014-11-07T01:26:30.085Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-07-15 21:26:22,2005-07-16 03:56:22
22.1630000,94.2420000,46.0000,4.10,mb,32,165.1,,0.53,us,usp000dv0w,2014-11-07T01:26:28.694Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-07-11 20:58:41,2005-07-12 03:28:41
26.9380000,97.2540000,36.0000,4.40,mb,29,70.5,,1.13,us,usp000duqm,2014-11-07T01:26:26.987Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-07-07 17:41:10,2005-07-08 00:11:10
17.2680000,95.2580000,35.0000,4.70,mb,19,196.2,,1.04,us,usp000dy9x,2014-11-07T01:26:54.409Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-29 20:32:52,2005-08-30 03:02:52
23.1910000,94.5470000,98.8000,3.90,mb,20,171.1,,0.87,us,usp000dxzj,2014-11-07T01:26:52.145Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2005-08-24 20:32:36,2005-08-25 03:02:36
