latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city
22.257,93.937,81.6,0.0,,12,117.8,,0.52,us,usp000cjv0,2014-11-07T01:21:08.737Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2004-01-28 13:06:50,2004-01-28 19:36:50,Chin,Hakha
17.363,94.333,33.9,4.9,mb,92,51.2,,0.83,us,usp000cju2,2014-11-07T01:21:08.627Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-01-28 01:16:17,2004-01-28 07:46:17,,Pathein
23.595,94.393,85.4,0.0,,19,158.9,,1.03,us,usp000cj7p,2014-11-07T01:21:05.974Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-01-19 01:42:37,2004-01-19 08:12:37,Saigang,Kalay
19.49,95.547,10.0,0.0,,11,204.3,,0.82,us,usp000chuw,2014-11-07T01:21:03.988Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-01-14 01:05:40,2004-01-14 07:35:40,Magway,Naypyidaw
19.805,95.896,10.0,4.5,mb,15,109.9,,0.79,us,usp000chp1,2014-11-07T01:21:02.559Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-01-11 14:56:21,2004-01-11 21:26:21,Mandalay,Naypyidaw
23.11,94.211,93.0,4.3,mb,17,177.2,,1.27,us,usp000cgz5,2014-11-07T01:20:57.929Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-01-03 15:44:50,2004-01-03 22:14:50,Saigang,Kalay
24.863,96.512,47.2,4.3,mb,11,117.9,,1.17,us,usp000cmju,2014-11-07T01:21:22.832Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-02-19 09:31:19,2004-02-19 16:01:19,Kachin,Bhamo
25.474,96.773,45.3,4.8,mb,40,110.6,,1.26,us,usp000cmjs,2014-11-07T01:21:22.825Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-02-19 09:11:42,2004-02-19 15:41:42,Kachin,Myitkyina
21.122,94.369,79.8,4.2,mb,17,105.3,,1.03,us,usp000ckrv,2014-11-07T01:21:19.429Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-02-08 19:27:48,2004-02-09 01:57:48,Magway,Bagan
26.504,96.564,108.7,4.4,mb,26,90.4,,0.66,us,usp000ck8b,2014-11-07T01:21:16.036Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-02-02 12:42:03,2004-02-02 19:12:03,Kachin,Putao
25.269,95.471,113.9,4.1,mb,9,160.5,,1.09,us,usp000cr1h,2014-11-07T01:21:47.665Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-03-27 18:28:38,2004-03-28 00:58:38,Saigang,Myitkyina
19.99,95.681,41.9,4.4,mb,19,103.6,,0.48,us,usp000cqw5,2014-11-07T01:21:47.029Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-03-25 22:21:29,2004-03-26 04:51:29,Magway,Naypyidaw
23.624,94.616,102.0,4.1,mb,16,169.0,,1.14,us,usp000cqv2,2014-11-07T01:21:46.856Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-03-25 12:57:25,2004-03-25 19:27:25,Saigang,Kalay
24.489,94.855,142.6,4.1,mb,9,107.6,,1.07,us,usp000cqsc,2014-11-07T01:21:46.608Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2004-03-24 10:56:51,2004-03-24 17:26:51,Saigang,Kalay
20.169,95.998,40.5,4.4,mb,32,137.2,,1.35,us,usp000cqfp,2014-11-07T01:21:45.208Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2004-03-20 19:39:33,2004-03-21 02:09:33,Mandalay,Naypyidaw
