latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
25.185,96.424,33.0,4.7,mb,,,,1.1,us,usp00044n3,2014-11-07T00:45:35.371Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-01-23 15:40:53,1990-01-23 22:10:53,Kachin,Ma Na Hkaw,village
25.047,95.364,141.8,4.7,mb,,,,1.3,us,usp000444b,2014-11-07T00:45:31.747Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-01-11 11:14:43,1990-01-11 17:44:43,Saigang,Tin Chei,village
24.516,94.682,86.5,5.2,mb,,,,1.0,us,usp000442q,2014-11-07T00:45:31.551Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1990-01-10 06:37:54,1990-01-10 13:07:54,Saigang,Saik Kun,village
22.466,94.552,122.5,4.8,mb,,,,0.9,us,usp000442n,2014-11-07T00:45:31.546Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-01-10 06:11:06,1990-01-10 12:41:06,Saigang,Pwint Kar,village
24.753,95.241,119.2,6.3,mw,,,,1.1,us,usp0004421,2015-02-12T21:57:22.896Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-01-09 18:51:29,1990-01-10 01:21:29,Saigang,Naung Thea,village
20.142,98.752,49.5,4.3,mb,,,,0.7,us,usp0004400,2014-11-07T00:45:30.209Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-01-07 23:35:09,1990-01-08 06:05:09,Shan,Wufu,village
23.03,94.011,89.5,5.0,mb,,,,0.6,us,usp00045xk,2014-11-07T00:45:47.914Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-02-26 06:20:13,1990-02-26 12:50:13,Saigang,Si Thar,village
25.262,94.14,50.3,4.8,mb,,,,1.2,us,usp00045xf,2014-11-07T00:45:47.907Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1990-02-26 01:31:24,1990-02-26 08:01:24,,Ngamju,village
18.175,94.705,44.4,4.9,mb,,,,1.2,us,usp00045p7,2014-11-07T00:45:47.064Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-02-20 10:39:57,1990-02-20 17:09:57,Rakhine,Chin Chaung,village
23.128,99.605,33.0,4.7,mb,,,,1.4,us,usp00045ed,2014-11-07T00:45:43.348Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1990-02-14 05:49:32,1990-02-14 12:19:32,,永改,village
23.236,99.361,33.0,4.2,mb,,,,1.5,us,usp00045eb,2014-11-07T00:45:43.344Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1990-02-14 05:24:30,1990-02-14 11:54:30,,Nansa,village
26.011,98.98,33.0,4.8,mb,,,,1.2,us,usp00045e1,2014-11-07T00:45:43.315Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1990-02-13 21:13:07,1990-02-14 03:43:07,,Daxingdi,town
26.066,98.9,10.0,4.7,mb,,,,1.1,us,usp000457v,2014-11-07T00:45:41.128Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1990-02-09 04:04:34,1990-02-09 10:34:34,,Weilaba,village
25.334,96.498,33.0,4.0,mb,,,,1.3,us,usp00046nb,2014-11-07T00:45:57.016Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-03-15 19:25:48,1990-03-16 01:55:48,Kachin,Aing Lay Tu,village
25.471,96.547,33.0,4.1,mb,,,,1.1,us,usp00046bz,2014-11-07T00:45:54.534Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1990-03-08 20:01:08,1990-03-09 02:31:08,Kachin,Ka Htan Yang,village
