latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
23.515,94.805,105.0,4.9,mb,,,,,us,usp00004uq,2014-11-06T23:21:22.303Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-01-07 05:18:24,1974-01-07 11:48:24,Saigang,Kyaung Gyi,village
17.412,94.0,33.0,4.9,mb,,,,,us,usp00005rm,2014-11-06T23:21:23.467Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-03-25 21:14:44,1974-03-26 03:44:44,,Nwei Nyo Chaung,village
24.67,95.13,83.0,4.5,mb,,,,,us,usp00006g8,2014-11-06T23:21:24.364Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-05-25 16:07:22,1974-05-25 22:37:22,Saigang,Pin Khoke,village
21.325,93.536,49.0,5.0,mb,,,,,us,usp00005vf,2014-11-06T23:21:23.599Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-04-05 03:46:30,1974-04-05 10:16:30,Chin,Mar Seik,village
23.09,94.776,107.0,3.9,mb,,,,,us,usp00006um,2014-11-06T23:21:24.845Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-06-22 18:48:46,1974-06-23 01:18:46,Saigang,Sa Myin,village
21.974,93.122,35.0,4.4,mb,,,,,us,usp0000794,2014-11-06T23:21:25.371Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-07-23 03:06:30,1974-07-23 09:36:30,Chin,Lalengpi,town
22.854,94.515,106.0,4.5,mb,,,,,us,usp00007ve,2014-11-06T23:21:26.083Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-08-30 20:02:46,1974-08-31 02:32:46,Saigang,Myay See Taung,village
25.811,96.242,33.0,4.7,mb,,,,,us,usp00007rz,2014-11-06T23:21:25.956Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-08-24 18:18:45,1974-08-25 00:48:45,Kachin,Kan Hsee Hseng Yar,village
24.169,94.734,82.0,4.8,mb,,,,,us,usp0000845,2014-11-06T23:21:26.488Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1974-09-21 17:53:34,1974-09-22 00:23:34,Saigang,Ka Ni Tar,village
20.071,95.181,33.0,5.1,mb,,,,,us,usp00008ve,2014-11-06T23:21:27.505Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-11-21 19:45:05,1974-11-22 02:15:05,Magway,Kyee Kone,village
24.876,95.421,159.0,4.7,mb,,,,,us,usp00008tp,2014-11-06T23:21:27.443Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-11-16 22:07:25,1974-11-17 04:37:25,Saigang,Kwayt Pay,village
25.844,97.782,33.0,4.9,mb,,,,,us,usp000096z,2014-11-06T23:21:27.936Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1974-12-21 20:40:01,1974-12-22 03:10:01,Kachin,Injangyang,town
23.93,93.883,33.0,4.8,mb,,,,,us,usp0000919,2014-11-06T23:21:27.715Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1974-12-07 13:54:58,1974-12-07 20:24:58,Chin,Sihpek,village
24.514,95.257,110.0,4.8,mb,,,,,us,usp00008yy,2014-11-06T23:21:27.628Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1974-12-02 01:08:45,1974-12-02 07:38:45,Saigang,Sin Nar Maung,village
