latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
22.78,94.44,92.0,4.2,mb,,,,,,20160720_0000064,2016-07-20T12:05:00.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,0,1468985023,1,,,2016-07-20 03:23:43,2016-07-20 09:53:43,Saigang,Htone Pan (Htone Man),village
24.8082,95.2124,98.55,4.4,mb,,64.0,1.01,0.57,us,20160705_0000050,2016-07-07T13:59:59.518Z,"Sagaing Region, Myanmar (Burma)","116km E of Yairipok, India",MM,Asia,earthquake,0,1467711824,1,,,2016-07-05 09:43:44,2016-07-05 16:13:44,Saigang,Khauk Ngoe,village
24.9506,95.3854,132.32,4.5,mb,,53.0,1.221,1.02,us,2016-07-01_192240_5.0,2016-07-01T20:54:44.369Z,"Nawngpu-Awng, Sagaing Region, Myanmar (Burma)","119km SE of Phek, India",MM,Asia,earthquake,0,1467400960,1,,,2016-07-01 19:22:40,2016-07-02 01:52:40,Saigang,Zay Di Seik,village
20.9192,94.5789,84.07,6.8,mwp,,24.0,1.797,1.35,us,us10006gbf,2016-08-29T15:23:10.490Z,"Magway Region, Myanmar (Burma)","25km W of Chauk, Burma",MM,Asia,earthquake,0,1472034895,1,,,2016-08-24 10:34:55,2016-08-24 17:04:55,Magway,Yae Ma,village
23.8942,94.6945,106.3,5.3,mb,,39.0,0.491,1.2,us,20160823_0000010,2016-08-26T11:40:56.478Z,"Sagaing Region, Myanmar (Burma)","40km NE of Mawlaik, Burma",MM,Asia,earthquake,0,1471918273,1,,,2016-08-23 02:11:13,2016-08-23 08:41:13,Saigang,Khar Wea,village
21.29,94.91,140.0,5.1,mb,,,,,,20160801_0000030,2016-08-01T14:39:00.000Z,"Mandalay Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,0,1470045668,1,,,2016-08-01 10:01:08,2016-08-01 16:31:08,Magway,Ah Nauk Ma Gyi Kan,village
25.2718,95.5762,139.53,4.6,mb,,56.0,1.556,0.8,us,20160922_132343_4.6,2016-09-22T13:39:13.040Z,"Sagaing Region, Myanmar (Burma)","116km ESE of Phek, India",MM,Asia,earthquake,0,1474550623,1,,,2016-09-22 13:23:43,2016-09-22 19:53:43,Saigang,Yar La Kaung,village
27.1667,96.7472,59.55,4.6,mb,,41.0,3.664,0.74,us,us10006k6e,2016-09-05T22:41:16.040Z,"Sagaing Region, Myanmar (Burma)","100km SE of Tezu, India",MM,Asia,earthquake,0,1472938740,1,,,2016-09-03 21:39:00,2016-09-04 04:09:00,Saigang,Sati,village
27.12,96.77,60.0,4.6,mb,,,,,,20160903_0000184,2016-09-04T07:44:00.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar-india Border Region,MM,Asia,earthquake,0,1472938739,1,,,2016-09-03 21:38:59,2016-09-04 04:08:59,Saigang,Sati,village
22.8923,94.5887,110.08,5.0,mb,,53.0,0.946,0.9,us,20161026_022158_5.0,2016-10-26T06:54:50.336Z,"Sagaing Region, Myanmar (Burma)","83km SSE of Mawlaik, Burma",MM,Asia,earthquake,0,1477448519,1,,,2016-10-26 02:21:59,2016-10-26 08:51:59,Saigang,Nga Ohn,village
24.8327,96.2656,32.52,4.5,mb,,75.0,1.888,0.85,us,us20007d97,2016-10-12T16:43:30.040Z,"Kachin, Myanmar (Burma)","116km WNW of Bhamo, Burma",MM,Asia,earthquake,0,1476207661,1,,,2016-10-11 17:41:01,2016-10-12 00:11:01,Kachin,Pint Thar,village
25.1998,95.044,97.47,4.7,mb,,109.0,1.179,0.79,us,20161011_073014_4.7,2016-10-11T07:52:36.040Z,"Sagaing Region, Myanmar (Burma)","75km SE of Phek, India",MM,Asia,earthquake,0,1476171014,1,,,2016-10-11 07:30:14,2016-10-11 14:00:14,Saigang,Maing Taung (Shan),village
22.87,94.25,10.0,4.5,mb,,,,,,20161007_192835_4.5,2016-10-07T19:28:35.000Z,"Sagaing Region, Myanmar (Burma)",Myanmar,MM,Asia,earthquake,0,1475868515,1,,,2016-10-07 19:28:35,2016-10-08 01:58:35,Saigang,Ma Au,village
22.763,94.5877,104.09,4.2,mb,,125.0,0.92,0.79,us,us10007mx7,2016-12-27T16:27:36.040Z,"Bonmazin, Sagaing Region, Myanmar (Burma)","90km NW of Monywa, Burma",MM,Asia,earthquake,0,1482773142,1,,,2016-12-26 17:25:42,2016-12-26 23:55:42,Saigang,Ma Hu,village
23.444,94.8225,22.84,4.7,mb,,66.0,0.916,0.53,us,20161208_074620_4.7,2016-12-08T08:03:27.040Z,"Sagaing Region, Myanmar (Burma)","46km ESE of Mawlaik, Burma",MM,Asia,earthquake,0,1481183180,1,,,2016-12-08 07:46:20,2016-12-08 14:16:20,Saigang,Chin Chaung,village
