latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt
15.7030000,95.9600000,10.0000,4.50,mb,32,175.2,,1.1,us,usp000gtap,2014-11-07T01:38:16.480Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-01-31 13:56:26,2009-01-31 20:26:26
23.3390000,93.9740000,75.9000,4.50,mb,30,145.3,,0.71,us,usp000gt8h,2014-11-07T01:38:16.222Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2009-01-29 22:46:03,2009-01-30 05:16:03
15.6460000,96.0380000,35.0000,5.00,mwc,65,64.7,,1.26,us,usp000gsxc,2015-02-11T17:19:02.000Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-01-21 01:42:24,2009-01-21 08:12:24
19.9830000,95.1660000,109.3000,4.40,mb,42,170.4,,0.72,us,usp000gsp9,2014-11-07T01:38:12.633Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2009-01-16 09:31:49,2009-01-16 16:01:49
15.6630000,96.0150000,25.0000,4.60,mb,29,101.3,,1.39,us,usp000gupw,2014-11-07T01:38:32.973Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-03-06 14:19:36,2009-03-06 20:49:36
15.5600000,96.0600000,35.0000,4.50,mb,39,99.5,,0.78,us,usp000gunw,2014-11-07T01:38:32.693Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-03-05 20:31:50,2009-03-06 03:01:50
15.5770000,95.9930000,7.9000,5.10,mwc,117,35.4,,0.94,us,usp000gung,2015-02-11T17:19:04.000Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-03-05 15:49:52,2009-03-05 22:19:52
24.8230000,95.1790000,115.5000,4.70,mb,96,65.8,,0.95,us,usp000gujq,2014-11-07T01:38:31.607Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2009-03-03 01:27:41,2009-03-03 07:57:41
15.7350000,96.0130000,10.0000,4.30,mb,35,99.5,,1.26,us,usp000guj0,2014-11-07T01:38:31.366Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-03-02 12:55:37,2009-03-02 19:25:37
15.6370000,95.9400000,10.0000,4.60,mb,66,49.7,,1.09,us,usp000guhz,2014-11-07T01:38:31.351Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-03-02 12:36:34,2009-03-02 19:06:34
22.9570000,94.5350000,113.5000,4.30,mb,33,70.7,,0.57,us,usp000gwpm,2014-11-07T01:38:50.918Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2009-04-29 23:31:26,2009-04-30 06:01:26
25.3240000,95.0980000,104.8000,4.60,mb,111,68.2,,0.67,us,usp000gwa2,2014-11-07T01:38:47.873Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2009-04-17 21:14:25,2009-04-18 03:44:25
25.8360000,94.6700000,33.0000,4.80,mb,74,66.4,,1.01,us,usp000guc8,2014-11-07T01:38:26.791Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2009-02-24 17:46:16,2009-02-25 00:16:16
15.6040000,96.1710000,34.3000,4.30,mb,23,146.1,,0.45,us,usp000gtmd,2014-11-07T01:38:21.564Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,2009-02-10 21:56:21,2009-02-11 04:26:21
24.1620000,94.6660000,53.8000,4.20,mb,34,91.6,,0.85,us,usp000gtgk,2014-11-07T01:38:20.649Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2009-02-06 07:32:37,2009-02-06 14:02:37
25.2280000,96.4630000,43.8000,4.20,mb,23,141.3,,1,us,usp000gxa9,2014-11-07T01:38:59.147Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2009-05-19 07:34:59,2009-05-19 14:04:59
24.5770000,94.5550000,74.0000,4.70,mb,83,67.3,,0.96,us,usp000gx51,2014-11-07T01:38:57.335Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2009-05-15 15:06:32,2009-05-15 21:36:32
23.5040000,94.7260000,113.0000,4.70,mb,38,115.4,,0.82,us,usp000gwv4,2014-11-07T01:38:55.311Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2009-05-05 09:23:02,2009-05-05 15:53:02
23.1670000,93.8110000,46.1000,4.50,mb,44,101.5,,0.97,us,usp000gxu8,2014-11-07T01:39:06.211Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2009-06-03 19:03:09,2009-06-04 01:33:09
23.3560000,93.2100000,45.3000,4.30,mb,39,143,,1.28,us,usp000gxu6,2014-11-07T01:39:06.145Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2009-06-03 18:42:59,2009-06-04 01:12:59
19.8830000,93.6190000,35.0000,4.10,mb,22,147,,0.78,us,usp000gzhu,2014-11-07T01:39:20.982Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2009-07-22 21:35:47,2009-07-23 04:05:47
