latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
25.79,95.662,108.7,4.5,mb,,,,1.0,us,usp0005m4m,2014-11-07T00:52:16.268Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-01-23 09:39:28,1993-01-23 16:09:28,Saigang,Maing Naung,village
15.587,95.93,33.0,4.3,mb,,,,1.5,us,usp0005kv1,2014-11-07T00:52:14.672Z,,near the south coast of Myanmar,MM,Asia,earthquake,0,0,1,,,1993-01-16 19:45:40,1993-01-17 02:15:40,,Tha Yet Pin Seik,village
23.157,94.778,95.5,4.3,mb,,,,0.5,us,usp0005k70,2014-11-07T00:52:09.530Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-01-01 23:49:47,1993-01-02 06:19:47,Saigang,Za Loke Ma,village
22.711,94.378,125.2,4.4,mb,,,,0.6,us,usp0005n74,2014-11-07T00:52:24.796Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-02-17 02:28:22,1993-02-17 08:58:22,Saigang,Htone Gyi,village
22.422,94.917,33.0,4.5,mb,,,,1.4,us,usp0005n37,2014-11-07T00:52:24.279Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-02-14 16:48:26,1993-02-14 23:18:26,Saigang,In Chaung (South/North),village
21.736,94.806,121.6,4.0,mb,,,,0.5,us,usp0005mrn,2014-11-07T00:52:22.474Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-02-07 13:02:44,1993-02-07 19:32:44,Magway,Kan Gyi,village
23.048,94.428,133.5,3.7,mb,,,,0.7,us,usp0005mkh,2014-11-07T00:52:21.040Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-02-04 03:23:22,1993-02-04 09:53:22,Saigang,Inn Kone Gyi,village
24.68,95.1,114.7,5.0,mb,,,,0.9,us,usp0005q75,2014-11-07T00:52:39.586Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-03-27 09:42:59,1993-03-27 16:12:59,Saigang,Taung Chay Yin,village
20.024,93.308,33.0,4.3,mb,,,,0.3,us,usp0005q1x,2014-11-07T00:52:38.245Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-03-24 14:24:08,1993-03-24 20:54:08,,Hmaik Chaung,village
23.93,94.209,92.5,4.6,mb,,,,0.9,us,usp0005ps1,2014-11-07T00:52:36.671Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-03-18 23:00:45,1993-03-19 05:30:45,Saigang,Boke Kan,village
23.437,95.833,33.0,4.1,mb,,,,1.6,us,usp0005pp6,2014-11-07T00:52:36.126Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-03-17 13:37:10,1993-03-17 20:07:10,Saigang,Zin,village
24.622,95.952,33.0,4.3,mb,,,,0.7,us,usp0005rdh,2014-11-07T00:52:50.425Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-04-19 02:46:01,1993-04-19 09:16:01,Saigang,Khaung Tone,village
26.519,96.479,22.8,4.6,mb,,,,1.3,us,usp0005r67,2014-11-07T00:52:49.159Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1993-04-14 20:04:09,1993-04-15 02:34:09,Kachin,Daik Hpar,village
