latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km
25.621,95.214,61.8,4.3,mb,,,,0.8,us,usp0003r9m,2014-11-07T00:43:29.214Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1989-01-27 16:14:48,1989-01-27 22:44:48,Saigang,Hkamti,Hkamti,,village,6.1
22.881,99.611,33.0,4.5,mb,,,,1.1,us,usp0003r67,2014-11-07T00:43:28.766Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1989-01-24 10:32:03,1989-01-24 17:02:03,,,,Galou,village,5.0
18.215,96.04,33.0,4.4,mb,,,,0.9,us,usp0003r4n,2014-11-07T00:43:28.609Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1989-01-23 03:06:20,1989-01-23 09:36:20,Bago,Thayarwady,Okpho,Ywar Thar Kone,village,19.0
18.299,94.123,33.0,5.2,mb,,,,0.9,us,usp0003r4f,2014-11-07T00:43:28.599Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1989-01-22 23:55:13,1989-01-23 06:25:13,,,,Kyauk Ka Lat,village,21.6
24.743,94.21,77.6,4.0,mb,,,,1.4,us,usp0003r43,2014-11-07T00:43:28.513Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1989-01-22 19:41:10,1989-01-23 02:11:10,,,,,village,1.8
22.701,99.379,33.0,4.3,mb,,,,1.5,us,usp0003qxk,2014-11-07T00:43:27.316Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1989-01-16 23:28:56,1989-01-17 05:58:56,,,,Yuesong,town,2.8
24.986,95.078,105.0,4.2,mb,,,,0.7,us,usp0003qey,2014-11-07T00:43:23.089Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1989-01-02 22:50:52,1989-01-03 05:20:52,Saigang,Hkamti,Homalin,Ton Mar He,village,5.1
25.991,98.941,46.0,4.7,mb,,,,1.1,us,usp0003s6v,2014-11-07T00:43:37.970Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1989-02-22 19:04:36,1989-02-23 01:34:36,,,,Daxingdi,town,9.7
26.216,96.866,33.0,5.3,mw,,,,1.2,us,usp0003rty,2015-02-11T17:15:41.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1989-02-12 07:55:47,1989-02-12 14:25:47,Kachin,Myitkyina,Tanai,Chakrai Gahtawng,village,13.4
22.111,97.798,33.0,3.7,mb,,,,0.7,us,usp0003t09,2014-11-07T00:43:49.537Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1989-03-17 11:14:20,1989-03-17 17:44:20,Shan,Kyaukme,Hsipaw,Man Shoe,village,1.1
