latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
27.207,96.984,54.7,3.6,mb,8,129.3,,1.1,us,usp000fxa5,2014-11-07T01:34:45.322Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-01-23 17:49:51,2008-01-24 00:19:51,,Vijaynagar,village
24.188,96.214,44.6,0.0,,10,128.3,,0.68,us,usp000fxa3,2014-11-07T01:34:45.319Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-23 16:58:23,2008-01-23 23:28:23,Saigang,Ku Seik,village
27.294,98.705,35.0,3.9,mb,13,163.1,,0.61,us,usp000fx6m,2014-11-07T01:34:44.548Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2008-01-22 00:48:52,2008-01-22 07:18:52,Kachin,Nyi Tar Dee,village
22.243,94.677,123.4,4.2,mb,13,140.6,,0.84,us,usp000fwwg,2014-11-07T01:34:43.152Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-17 13:49:45,2008-01-17 20:19:45,Saigang,Tha Lauk,village
22.643,94.568,109.2,4.1,mb,37,134.4,,0.55,us,usp000fwr6,2014-11-07T01:34:42.289Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-14 22:54:50,2008-01-15 05:24:50,Saigang,Nat Bu Sut,village
25.852,98.872,57.6,4.1,mb,18,135.0,,1.13,us,usp000fwqs,2014-11-07T01:34:42.172Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2008-01-14 17:50:00,2008-01-15 00:20:00,,六库,village
24.591,94.934,123.4,3.8,mb,9,179.5,,0.84,us,usp000fwq6,2014-11-07T01:34:42.088Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-01-14 13:00:01,2008-01-14 19:30:01,Saigang,Nat Nan,village
24.728,95.112,134.0,0.0,,16,165.0,,0.74,us,usp000fwmz,2014-11-07T01:34:41.367Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-13 15:05:50,2008-01-13 21:35:50,Saigang,Taw Si,village
26.486,96.355,35.0,4.3,mb,17,132.7,,0.9,us,usp000fwjw,2014-11-07T01:34:41.137Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-12 16:40:37,2008-01-12 23:10:37,Kachin,Daik Hpar,village
22.929,96.036,10.0,4.0,mb,18,130.5,,0.64,us,usp000fwgc,2014-11-07T01:34:40.484Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-11 19:41:58,2008-01-12 02:11:58,Mandalay,Chauk Maing Sakhan Thar,village
20.739,93.146,35.0,0.0,,7,207.8,,0.27,us,usp000fwfj,2014-11-07T01:34:40.250Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-11 11:52:12,2008-01-11 18:22:12,Rakhine,Ma Kyar Se,village
20.846,93.291,41.6,0.0,,10,122.7,,0.43,us,usp000fwdm,2014-11-07T01:34:40.042Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-01-10 17:12:41,2008-01-10 23:42:41,Chin,Pa Lein,village
26.491,95.754,79.9,3.9,mb,27,118.4,,1.18,us,usp000g058,2014-11-07T01:35:04.550Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-02-27 20:10:59,2008-02-28 02:40:59,Saigang,Hansin,village
23.193,94.114,70.8,4.5,mb,104,54.8,,1.23,us,usp000g02e,2014-11-07T01:35:04.218Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-26 22:20:58,2008-02-27 04:50:58,Saigang,Inn Kyaw,village
24.037,94.379,78.7,0.0,,10,192.0,,0.77,us,usp000fzy2,2014-11-07T01:35:03.559Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-02-25 16:12:39,2008-02-25 22:42:39,Saigang,Put Thar,village
22.53,94.223,91.7,0.0,,17,163.2,,0.39,us,usp000fzxa,2014-11-07T01:35:03.451Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-25 09:46:32,2008-02-25 16:16:32,Magway,Moe So,village
25.73,94.871,63.4,4.5,mb,59,116.6,,0.86,us,usp000fyv8,2014-11-07T01:34:56.793Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-02-14 01:35:13,2008-02-14 08:05:13,,,village
25.095,98.048,10.0,4.1,mb,8,142.8,,0.91,us,usp000fyur,2014-11-07T01:34:56.750Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2008-02-13 20:59:17,2008-02-14 03:29:17,,,village
26.42,95.675,85.0,3.7,mb,18,142.6,,0.77,us,usp000fykk,2014-11-07T01:34:55.725Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-02-10 08:39:00,2008-02-10 15:09:00,Saigang,Kapalangdevo,village
19.203,95.571,76.7,4.2,mb,18,163.4,,0.86,us,usp000fy6t,2014-11-07T01:34:53.995Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-05 03:02:15,2008-02-05 09:32:15,Magway,Kyaukpyokkon,village
19.364,95.794,40.4,4.6,mb,80,78.2,,0.81,us,usp000fy6h,2014-11-07T01:34:53.975Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-05 01:31:14,2008-02-05 08:01:14,Magway,Than Ku Tin,village
23.237,94.062,46.0,4.3,mb,31,105.2,,0.68,us,usp000fy69,2014-11-07T01:34:53.956Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-04 22:17:38,2008-02-05 04:47:38,Saigang,Ahr War,village
23.824,93.525,73.4,0.0,,9,203.0,,0.7,us,usp000fy5b,2014-11-07T01:34:53.724Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-02-04 14:18:30,2008-02-04 20:48:30,Chin,Mauvom,village
20.353,93.405,35.0,3.9,mb,17,99.6,,0.53,us,usp000fy43,2014-11-07T01:34:53.476Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-04 02:54:15,2008-02-04 09:24:15,Rakhine,Ngan Tet,village
19.55,95.086,78.1,4.6,mb,34,72.4,,0.65,us,usp000fy2k,2014-11-07T01:34:53.131Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-03 13:24:00,2008-02-03 19:54:00,Magway,Gon Ma Ni,village
24.665,94.892,111.3,0.0,,7,179.4,,1.43,us,usp000fy0x,2014-11-07T01:34:52.580Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-02-02 21:58:15,2008-02-03 04:28:15,Saigang,Yar Za,village
22.327,96.52,35.0,4.0,mb,13,178.8,,0.8,us,usp000fxzz,2014-11-07T01:34:52.293Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-02 15:44:33,2008-02-02 22:14:33,Shan,Hsin Gaung,village
18.018,95.286,73.7,4.6,mb,55,70.2,,0.59,us,usp000fxz3,2014-11-07T01:34:52.024Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-02-02 05:59:49,2008-02-02 12:29:49,Ayeyarwady,Shan Taw,village
23.857,94.517,7.7,4.0,mb,13,182.8,,0.67,us,usp000g2jv,2014-11-07T01:35:20.271Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-03-28 17:49:22,2008-03-29 00:19:22,Saigang,Let Pan,village
24.031,94.593,123.0,4.2,mb,26,151.7,,1.04,us,usp000g2hj,2014-11-07T01:35:20.107Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-03-28 06:01:26,2008-03-28 12:31:26,Saigang,He Nein,village
24.691,95.232,122.4,3.7,mb,10,149.3,,0.98,us,usp000g2cc,2014-11-07T01:35:19.333Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-03-25 23:26:42,2008-03-26 05:56:42,Saigang,Man Maw,village
