latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,district,township,nearest_city,place_type,distance_km,shakemapURL,shakemapLastUpdated
20.655,99.93,11.1,4.8,mb,63.0,94.8,,1.0,us,usp000hyfz,2014-11-07T01:44:19.208Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-24 14:23:53,2011-03-24 20:53:53,Shan,Tachileik,Tachileik,Nam Tun,village,2.9,,
20.65,99.77,10.0,5.7,mwc,210.0,23.5,,1.1,us,usp000hyg5,2015-02-12T21:00:39.936Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-24 15:54:35,2011-03-24 22:24:35,Shan,Tachileik,Tachileik,Mae Hoke,village,5.6,,
20.751,100.161,10.0,4.4,mb,33.0,93.1,,1.07,us,usp000hygb,2014-11-07T01:44:19.260Z,,"44 km NE of Tachilek, Myanmar",MM,Asia,earthquake,0,0,1,,,2011-03-24 17:20:10,2011-03-24 23:50:10,Shan,Tachileik,Tachileik,Wein Lan,village,0.5,,
20.712,99.879,10.0,5.0,mwc,125.0,35.1,,1.01,us,usp000hyhd,2014-11-07T01:44:19.402Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-25 00:22:39,2011-03-25 06:52:39,Shan,Tachileik,Tachileik,Loi Si Mein,village,4.9,,
20.583,99.586,10.0,4.1,mb,23.0,120.2,,0.99,us,usp000hyhq,2014-11-07T01:44:19.450Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-25 03:26:02,2011-03-25 09:56:02,Shan,Monghsat,Monghsat,Pa Lawng Pu Tun,village,1.1,,
20.702,100.114,8.1,4.6,mb,22.0,106.6,,0.6,us,usp000hyj0,2014-11-07T01:44:19.512Z,,"37 km NE of Tachilek, Myanmar",MM,Asia,earthquake,0,0,1,,,2011-03-25 06:30:39,2011-03-25 13:00:39,Shan,Tachileik,Tachileik,Wan Hsar,village,0.5,,
20.737,100.114,27.7,5.0,mwc,108.0,73.0,,0.83,us,usp000hymj,2022-04-08T21:43:50.687Z,,"40 km NE of Tachilek, Myanmar",MM,Asia,earthquake,0,0,1,,,2011-03-26 05:57:33,2011-03-26 12:27:33,Shan,Tachileik,Tachileik,Kyaw Aung,village,1.0,,
20.572,99.816,10.0,4.3,mb,17.0,115.6,,1.33,us,usp000hyp9,2014-11-07T01:44:20.391Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-26 20:49:42,2011-03-27 03:19:42,Shan,Tachileik,Tachileik,Hway Ae,village,3.5,,
20.535,99.851,10.0,4.1,mb,26.0,90.0,,0.68,us,usp000hypq,2014-11-07T01:44:20.462Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-03-27 00:35:48,2011-03-27 07:05:48,Shan,Tachileik,Tachileik,Ping Hu,village,2.3,,
24.686,98.168,10.0,4.0,mb,12.0,137.0,,0.98,us,usp000hz15,2014-11-07T01:44:23.114Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2011-03-31 22:54:30,2011-04-01 05:24:30,,,,Guojiazhai,village,2.2,,
22.09,94.806,118.6,4.2,mb,31.0,68.2,,0.78,us,usp000hzew,2014-11-07T01:44:29.811Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-04-07 10:34:40,2011-04-07 17:04:40,Saigang,Yinmarbin,Yinmarbin,Lar Boet,village,0.6,,
21.654,94.679,103.9,4.5,mb,43.0,68.9,,0.79,us,usp000hzh3,2014-11-07T01:44:30.306Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-04-08 05:39:38,2011-04-08 12:09:38,Magway,Pakokku,Myaing,Kyauk Khwet,village,1.5,,
26.923,97.2,29.2,4.4,mb,37.0,115.0,,0.62,us,usp000hzk8,2014-11-07T01:44:30.613Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-04-09 03:33:01,2011-04-09 10:03:01,Kachin,Myitkyina,Tanai,land mark,village,29.7,,
26.119,95.279,85.1,4.1,mb,27.0,146.0,,0.55,us,usp000j06h,2014-11-07T01:44:35.019Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-04-18 09:33:31,2011-04-18 16:03:31,Saigang,Hkamti,Lahe,Tsupao,village,2.4,,
24.487,94.561,84.9,4.5,mb,69.0,58.1,,0.69,us,usp000j07t,2014-11-07T01:44:35.235Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2011-04-19 03:34:07,2011-04-19 10:04:07,Saigang,Tamu,Tamu,Ywar Thar,village,5.4,,
23.857,96.067,47.3,4.3,mb,25.0,142.8,,0.95,us,usp000j0de,2014-11-07T01:44:36.356Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-04-22 08:13:16,2011-04-22 14:43:16,Saigang,Katha,Tigyaing,Me Zar Lay,village,0.9,,
25.361,95.099,105.0,4.3,mb,50.0,110.9,,0.6,us,usp000j0r9,2014-11-07T01:44:38.993Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-04-29 02:39:20,2011-04-29 09:09:20,Saigang,Hkamti,Homalin,,village,4.3,,
26.027,97.045,35.0,4.0,mb,21.0,139.9,,1.18,us,usp000j0s1,2014-11-07T01:44:39.197Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-04-29 14:25:48,2011-04-29 20:55:48,Kachin,Myitkyina,Tanai,,village,14.3,,
20.431,94.08,62.3,4.2,mb,19.0,185.8,,0.6,us,usp000j0wu,2014-11-07T01:44:43.745Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2011-05-02 13:46:17,2011-05-02 20:16:17,Magway,Minbu,Sidoktaya,Ma Htein (West),village,14.5,,
